Slice,Count,Total Area,Average Size,%Area,Major,Minor,Angle
10.40 s,4,940,235.000,0.367,30.105,4.114,50.395
10.43 s,4,945,236.250,0.369,30.124,4.069,48.176
10.47 s,3,936,312.000,0.366,39.723,5.025,62.820
10.50 s,3,906,302.000,0.354,39.356,4.734,75.456
10.53 s,3,921,307.000,0.360,39.637,4.975,60.006
10.57 s,5,933,186.600,0.365,24.219,3.461,35.172
10.60 s,3,926,308.667,0.362,39.520,5.006,57.290
10.63 s,3,924,308.000,0.361,39.643,4.986,56.027
10.67 s,3,926,308.667,0.362,39.455,5.012,54.917
10.70 s,3,924,308.000,0.361,39.129,5.032,52.967
10.73 s,4,931,232.750,0.364,29.827,3.900,50.494
10.77 s,3,924,308.000,0.361,39.490,5.001,53.016
10.80 s,3,928,309.333,0.363,39.661,5.000,53.027
10.83 s,3,925,308.333,0.362,39.820,4.920,59.550
10.87 s,3,930,310.000,0.364,39.429,5.026,53.031
10.90 s,3,937,312.333,0.366,39.798,5.021,54.964
10.93 s,3,936,312.000,0.366,39.822,5.015,56.074
10.97 s,3,929,309.667,0.363,39.770,4.994,57.322
11.00 s,3,944,314.667,0.369,39.721,5.056,58.653
11.03 s,3,931,310.333,0.364,39.742,4.797,75.068
11.07 s,3,923,307.667,0.361,39.685,4.772,76.471
11.10 s,4,946,236.500,0.370,30.701,4.001,74.273
11.13 s,4,940,235.000,0.367,30.020,3.910,59.480
11.17 s,3,937,312.333,0.366,39.370,5.059,64.624
11.20 s,3,931,310.333,0.364,39.666,5.011,66.923
11.23 s,3,934,311.333,0.365,39.624,5.027,68.055
11.27 s,3,940,313.333,0.367,39.524,4.853,83.977
11.30 s,3,938,312.667,0.367,39.710,5.034,69.522
11.33 s,4,941,235.250,0.368,30.067,4.063,52.289
11.37 s,3,941,313.667,0.368,39.758,5.041,69.504
11.40 s,3,939,313.000,0.367,39.500,5.054,67.886
11.43 s,3,938,312.667,0.367,39.790,5.026,68.042
11.47 s,3,936,312.000,0.366,39.479,4.838,80.899
11.50 s,3,943,314.333,0.369,39.815,5.043,65.664
11.53 s,3,938,312.667,0.367,39.652,5.036,63.267
11.57 s,3,931,310.333,0.364,39.498,4.817,76.875
11.60 s,3,933,311.000,0.365,39.634,5.022,61.470
11.63 s,3,920,306.667,0.360,39.596,4.769,75.050
11.67 s,3,928,309.333,0.363,39.313,4.823,72.650
11.70 s,3,918,306.000,0.359,39.238,4.630,56.291
11.73 s,3,926,308.667,0.362,39.353,5.018,55.021
