 ,Area,XM,YM,Major,Minor,Angle
1,2299,109.640,6.875,197.516,14.820,0.039
2,57,223.289,2.658,11.227,6.464,173.680
3,78,242.231,2.205,19.672,5.048,3.230
4,117,273.628,2.628,24.731,6.024,0.881
5,140,303.257,2.864,27.432,6.498,178.320
6,10,326.200,1.400,4.510,2.823,147.260
7,7,333.071,1.786,4.154,2.146,98.350
8,14,339.857,2.500,5.849,3.048,27.175
9,3,353.500,1.500,3.385,1.128,90.000
10,4,421.250,1.250,3.192,1.596,108.435
11,19,437.711,0.816,12.078,2.003,177.594
12,16,453.562,2.625,6.408,3.179,101.587
13,3,461.167,0.833,2.365,1.615,135.000
14,52,468.692,5.654,13.774,4.807,113.793
15,1,486.500,0.500,1.128,1.128,0.000
16,1,581.500,0.500,1.128,1.128,0.000
17,1,589.500,0.500,1.128,1.128,0.000
18,1,597.500,0.500,1.128,1.128,0.000
19,1,618.500,0.500,1.128,1.128,0.000
20,12,624.750,1.833,4.164,3.669,109.805
21,7,629.071,1.786,4.154,2.146,98.350
22,11,635.227,1.227,4.738,2.956,9.992
23,2095,686.137,16.674,75.105,35.516,14.332
24,36697,756.017,198.031,306.479,152.454,25.839
25,2,359.000,1.500,2.257,1.128,0.000
26,2,573.500,2.000,2.257,1.128,90.000
27,4,517.500,4.000,4.514,1.128,90.000
28,34,769.706,3.971,9.869,4.387,178.462
29,14,778.000,3.500,5.614,3.175,0.000
30,10,322.000,4.700,4.198,3.033,180.000
31,8,783.375,4.625,3.538,2.879,135.000
32,2,255.000,5.500,2.257,1.128,0.000
33,1,350.500,5.500,1.128,1.128,0.000
34,16,82.000,8.250,5.225,3.899,0.000
35,1,326.500,6.500,1.128,1.128,0.000
36,9,448.611,7.056,4.428,2.588,170.783
37,24,611.500,10.000,9.027,3.385,90.000
38,2,763.500,7.000,2.257,1.128,90.000
39,51,79.735,13.147,14.589,4.451,143.953
40,24,746.000,8.500,9.027,3.385,0.000
41,10,87.300,10.000,4.111,3.097,90.000
42,1,237.500,8.500,1.128,1.128,0.000
43,12,242.000,9.500,4.514,3.385,0.000
44,3,261.500,8.500,3.385,1.128,0.000
45,6,548.833,9.333,2.930,2.607,153.435
46,2,805.000,8.500,2.257,1.128,0.000
47,29,63.155,10.638,13.428,2.750,9.323
48,9,293.722,10.611,5.487,2.088,24.699
49,1,461.500,9.500,1.128,1.128,0.000
50,2,526.500,10.000,2.257,1.128,90.000
51,3,566.833,9.833,2.365,1.615,45.000
52,2,605.500,10.000,2.257,1.128,90.000
53,2,230.000,11.000,2.596,0.981,135.000
54,30,618.000,12.967,8.311,4.596,180.000
55,17,632.206,14.206,6.038,3.585,151.816
56,2,799.000,11.500,2.257,1.128,0.000
57,61,97.697,15.057,17.393,4.465,176.261
58,2,115.500,13.000,2.257,1.128,90.000
59,51,757.147,16.931,8.680,7.481,165.424
60,42,765.929,18.738,9.485,5.638,121.175
61,4,826.000,13.000,2.257,2.257,0.000
62,20,0.750,21.500,14.795,1.721,92.476
63,8,130.000,13.500,9.027,1.128,0.000
64,1,237.500,13.500,1.128,1.128,0.000
65,2,805.000,13.500,2.257,1.128,0.000
66,3,55.500,14.500,3.385,1.128,0.000
67,3,60.500,14.500,3.385,1.128,0.000
68,2,71.000,14.500,2.257,1.128,0.000
69,12,117.917,18.167,6.537,2.337,92.397
70,10,402.000,16.100,3.970,3.207,90.000
71,8,776.125,14.875,5.110,1.993,8.677
72,16,811.000,18.000,9.027,2.257,90.000
73,4,77.000,16.000,2.257,2.257,0.000
74,1,198.500,16.500,1.128,1.128,0.000
75,3,623.500,16.500,3.385,1.128,0.000
76,64,699.594,21.500,9.463,8.611,47.843
77,12,826.000,18.000,3.909,3.909,0.000
78,4,125.250,18.500,2.734,1.863,90.000
79,2,422.500,18.000,2.257,1.128,90.000
80,2,429.500,18.000,2.257,1.128,90.000
81,8,612.625,18.625,3.538,2.879,45.000
82,5,718.900,18.700,3.144,2.025,108.435
83,1,413.500,18.500,1.128,1.128,0.000
84,19,777.658,19.658,8.852,2.733,16.112
85,2,202.000,19.500,2.257,1.128,0.000
86,10,658.000,20.700,4.198,3.033,180.000
87,2,45.500,21.000,2.257,1.128,90.000
88,4,242.000,21.000,2.257,2.257,0.000
89,3,816.833,21.167,2.365,1.615,135.000
90,3,12.500,21.500,3.385,1.128,0.000
91,4,198.000,22.000,4.218,1.207,22.500
92,2,205.000,21.500,2.257,1.128,0.000
93,2,527.000,21.500,2.257,1.128,0.000
94,2,607.000,21.500,2.257,1.128,0.000
95,3,628.500,21.500,3.385,1.128,0.000
96,1,638.500,21.500,1.128,1.128,0.000
97,1,645.500,21.500,1.128,1.128,0.000
98,12,734.500,21.583,10.924,1.399,180.000
99,1,6.500,22.500,1.128,1.128,0.000
100,3,93.500,22.500,3.385,1.128,0.000
101,29,108.776,26.534,7.950,4.645,143.394
102,2,122.000,22.500,2.257,1.128,0.000
103,1,165.500,22.500,1.128,1.128,0.000
104,1,405.500,22.500,1.128,1.128,0.000
105,2,485.000,22.500,2.257,1.128,0.000
106,3,687.500,22.500,3.385,1.128,0.000
107,1,741.500,22.500,1.128,1.128,0.000
108,1,744.500,22.500,1.128,1.128,0.000
109,4,87.000,24.000,2.257,2.257,0.000
110,14,12.214,26.000,4.264,4.181,90.000
111,4,29.000,25.000,2.257,2.257,0.000
112,2,605.500,25.000,2.257,1.128,90.000
113,1,42.500,25.500,1.128,1.128,0.000
114,2,46.500,26.000,2.257,1.128,90.000
115,2,53.500,26.000,2.257,1.128,90.000
116,2,93.500,26.000,2.257,1.128,90.000
117,2,181.500,26.000,2.257,1.128,90.000
118,4,191.000,26.000,2.257,2.257,0.000
119,2,773.500,26.000,2.257,1.128,90.000
120,6,122.167,27.333,4.606,1.658,150.767
121,3,22.833,27.833,2.365,1.615,45.000
122,5,71.300,27.900,3.144,2.025,18.435
123,4,167.000,28.000,2.257,2.257,0.000
124,1,398.500,27.500,1.128,1.128,0.000
125,3,692.500,27.500,3.385,1.128,0.000
126,4,604.750,29.250,3.192,1.596,18.435
127,2,6.000,29.500,2.257,1.128,0.000
128,4,159.250,30.250,3.589,1.419,45.000
129,2,197.000,29.500,2.257,1.128,0.000
130,2,479.000,29.500,2.257,1.128,0.000
131,11,698.682,30.227,8.197,1.709,5.565
132,1,766.500,29.500,1.128,1.128,0.000
133,1,70.500,30.500,1.128,1.128,0.000
134,5,88.900,31.300,3.144,2.025,71.565
135,4,140.000,31.000,2.257,2.257,0.000
136,4,143.000,31.000,2.257,2.257,0.000
137,1,163.500,30.500,1.128,1.128,0.000
138,4,186.000,30.500,4.514,1.128,0.000
139,2,207.000,30.500,2.257,1.128,0.000
140,2,224.000,30.500,2.257,1.128,0.000
141,1,233.500,30.500,1.128,1.128,0.000
142,1,237.500,30.500,1.128,1.128,0.000
143,7,470.500,31.214,3.086,2.888,0.000
144,1,592.500,30.500,1.128,1.128,0.000
145,2,625.500,31.000,2.257,1.128,90.000
146,3,629.167,30.833,2.365,1.615,135.000
