 ,Area,XM,YM,Major,Minor,Angle
30546,2,715.500,46.000,2.257,1.128,90.000
30547,10,521.700,47.800,4.456,2.857,108.222
30548,1,656.500,46.500,1.128,1.128,0.000
30549,1,690.500,46.500,1.128,1.128,0.000
30550,6,700.167,47.167,3.489,2.190,45.000
30551,4,549.750,48.500,2.734,1.863,90.000
30552,7,554.357,51.357,6.247,1.427,84.488
30553,13,493.731,51.500,6.574,2.518,43.166
30554,42,716.214,54.452,9.134,5.855,161.380
30555,7,482.071,52.786,4.154,2.146,98.350
30556,14,511.000,53.643,6.657,2.678,0.000
30557,8,537.625,52.625,3.538,2.879,45.000
30558,19,723.237,54.763,6.634,3.646,57.382
30559,1,378.500,52.500,1.128,1.128,0.000
30560,1,739.500,53.500,1.128,1.128,0.000
30561,2,378.500,55.000,2.257,1.128,90.000
30562,1,475.500,54.500,1.128,1.128,0.000
30563,2,564.000,54.500,2.257,1.128,0.000
30564,2,680.500,55.000,2.257,1.128,90.000
30565,10,497.300,57.500,3.966,3.210,0.000
30566,1,570.500,56.500,1.128,1.128,0.000
30567,50,175.540,66.960,17.796,3.577,95.297
30568,4,479.000,58.000,2.257,2.257,0.000
30569,1,570.500,59.500,1.128,1.128,0.000
30570,1,475.500,61.500,1.128,1.128,0.000
30571,1,482.500,61.500,1.128,1.128,0.000
30572,2,564.000,61.500,2.257,1.128,0.000
30573,1,178.500,62.500,1.128,1.128,0.000
30574,32,486.000,66.000,9.027,4.514,90.000
30575,3,537.500,62.500,3.385,1.128,0.000
30576,2,570.000,70.500,2.257,1.128,0.000
30577,2,695.000,70.500,2.257,1.128,0.000
30578,5,347.900,72.700,3.144,2.025,108.435
30579,1,523.500,71.500,1.128,1.128,0.000
30580,92,713.696,76.598,12.131,9.656,51.146
30581,6,698.167,74.000,3.718,2.055,90.000
30582,4,695.250,78.250,3.192,1.596,108.435
30583,1,227.500,78.500,1.128,1.128,0.000
30584,3,583.167,78.833,2.365,1.615,135.000
30585,5,175.900,81.700,3.144,2.025,108.435
30586,20,702.050,82.550,8.682,2.933,17.017
30587,84,190.702,85.833,12.676,8.437,178.294
30588,2,682.500,83.000,2.257,1.128,90.000
30589,1,583.500,85.500,1.128,1.128,0.000
30590,2,677.000,85.500,2.257,1.128,0.000
30591,1,571.500,86.500,1.128,1.128,0.000
30592,2,651.500,87.000,2.257,1.128,90.000
30593,4,672.500,88.000,4.514,1.128,90.000
30594,2,688.500,87.000,2.257,1.128,90.000
30595,1,658.500,89.500,1.128,1.128,0.000
30596,9,666.389,92.722,4.200,2.729,29.518
30597,2,186.500,93.000,2.257,1.128,90.000
30598,39,688.295,97.551,7.779,6.383,23.228
30599,5,715.900,95.300,3.144,2.025,71.565
30600,21,19.071,99.500,7.284,3.671,101.815
30601,327,654.148,115.430,30.982,13.439,47.704
30602,15,696.433,99.100,4.973,3.841,170.538
30603,3,42.167,101.167,2.365,1.615,45.000
30604,2,519.000,101.500,2.257,1.128,0.000
30605,1,434.500,102.500,1.128,1.128,0.000
30606,1,442.500,102.500,1.128,1.128,0.000
30607,2,506.500,103.000,2.257,1.128,90.000
30608,1,643.500,102.500,1.128,1.128,0.000
30609,1,682.500,102.500,1.128,1.128,0.000
30610,2,695.000,102.500,2.257,1.128,0.000
30611,2,650.500,106.000,2.257,1.128,90.000
30612,2,658.000,105.500,2.257,1.128,0.000
30613,3,675.167,105.833,2.365,1.615,135.000
30614,2,691.500,106.000,2.257,1.128,90.000
30615,2,698.500,106.000,2.257,1.128,90.000
30616,13,519.885,107.577,5.502,3.008,174.954
30617,10,708.700,107.500,3.966,3.210,0.000
30618,12,669.000,108.500,4.514,3.385,0.000
30619,2,499.500,109.000,2.257,1.128,90.000
30620,4,513.000,109.000,2.257,2.257,0.000
30621,6,652.000,109.333,3.479,2.196,24.183
30622,1,154.500,109.500,1.128,1.128,0.000
30623,1,682.500,109.500,1.128,1.128,0.000
30624,2,695.000,109.500,2.257,1.128,0.000
30625,1,386.500,110.500,1.128,1.128,0.000
30626,1,530.500,110.500,1.128,1.128,0.000
30627,26,575.808,112.577,8.042,4.116,132.733
30628,8,691.500,114.000,9.027,1.128,90.000
30629,10,619.000,114.800,5.065,2.514,84.557
30630,2,631.000,112.500,2.257,1.128,0.000
30631,16,679.000,113.000,9.027,2.257,0.000
30632,2,2.500,114.000,2.257,1.128,90.000
30633,2,7.000,114.500,2.257,1.128,0.000
30634,17,628.324,118.794,7.241,2.989,136.575
30635,25,634.700,120.700,10.490,3.034,93.022
30636,1,379.500,117.500,1.128,1.128,0.000
30637,1,530.500,117.500,1.128,1.128,0.000
30638,32,679.000,119.000,9.027,4.514,0.000
30639,1,2.500,118.500,1.128,1.128,0.000
30640,1,138.500,118.500,1.128,1.128,0.000
30641,2,195.500,119.000,2.257,1.128,90.000
30642,2,418.500,119.000,2.257,1.128,90.000
30643,5,666.100,119.300,3.144,2.025,108.435
30644,22,669.636,123.318,9.968,2.810,80.375
30645,18,10.833,122.000,5.959,3.846,90.000
30646,24,688.167,122.000,6.332,4.826,180.000
30647,9,616.278,124.944,4.178,2.743,146.599
30648,10,663.000,124.700,4.198,3.033,180.000
30649,1,375.500,125.500,1.128,1.128,0.000
30650,2,415.000,125.500,2.257,1.128,0.000
30651,1,2.500,126.500,1.128,1.128,0.000
30652,1,35.500,126.500,1.128,1.128,0.000
30653,2,379.500,127.000,2.257,1.128,90.000
30654,4,383.000,127.000,2.257,2.257,0.000
30655,2,386.500,127.000,2.257,1.128,90.000
30656,1,611.500,126.500,1.128,1.128,0.000
30657,6,624.000,126.500,6.770,1.128,0.000
30658,1,675.500,126.500,1.128,1.128,0.000
30659,8,690.500,130.000,9.027,1.128,90.000
30660,14,663.000,128.500,5.614,3.175,0.000
30661,1,275.500,128.500,1.128,1.128,0.000
30662,6,673.500,129.000,3.385,2.257,0.000
30663,2,332.000,129.500,2.257,1.128,0.000
30664,2,0.500,131.000,2.257,1.128,90.000
30665,6,668.500,131.000,3.385,2.257,0.000
30666,3,335.500,132.500,3.385,1.128,0.000
30667,8,663.000,133.250,5.468,1.863,0.000
30668,2,516.000,133.500,2.257,1.128,0.000
30669,4,522.000,134.000,2.257,2.257,0.000
30670,1,539.500,133.500,1.128,1.128,0.000
30671,1,546.500,133.500,1.128,1.128,0.000
30672,1,611.500,133.500,1.128,1.128,0.000
30673,1,618.500,133.500,1.128,1.128,0.000
30674,6,624.000,133.500,6.770,1.128,0.000
30675,9,0.722,136.944,7.225,1.586,84.012
30676,1,395.500,134.500,1.128,1.128,0.000
30677,1,402.500,134.500,1.128,1.128,0.000
30678,70,633.329,138.000,11.363,7.844,0.000
30679,1,515.500,136.500,1.128,1.128,0.000
30680,2,538.000,136.500,2.257,1.128,0.000
30681,10,572.700,137.500,3.966,3.210,0.000
30682,7,73.786,138.500,3.086,2.888,90.000
30683,3,98.167,138.167,2.365,1.615,45.000
30684,2,386.500,138.000,2.257,1.128,90.000
30685,74,617.703,142.973,13.704,6.875,170.914
30686,1,330.500,141.500,1.128,1.128,0.000
30687,1,395.500,141.500,1.128,1.128,0.000
30688,1,402.500,141.500,1.128,1.128,0.000
30689,2,1.000,142.500,2.257,1.128,0.000
30690,116,72.474,151.267,17.247,8.563,67.849
30691,1,80.500,142.500,1.128,1.128,0.000
30692,8,649.625,143.375,3.538,2.879,135.000
30693,2,0.500,146.000,2.257,1.128,90.000
30694,2,362.000,145.500,2.257,1.128,0.000
30695,1,66.500,146.500,1.128,1.128,0.000
30696,81,355.278,150.796,17.930,5.752,4.370
30697,9,608.944,149.389,4.030,2.843,120.695
30698,1,64.500,149.500,1.128,1.128,0.000
30699,2,439.000,149.500,2.257,1.128,0.000
30700,1,80.500,150.500,1.128,1.128,0.000
30701,1,258.500,150.500,1.128,1.128,0.000
30702,1,338.500,150.500,1.128,1.128,0.000
30703,2,370.000,150.500,2.257,1.128,0.000
30704,11,373.500,151.955,4.730,2.961,90.000
30705,127,560.445,165.201,13.883,11.647,35.894
30706,7,253.357,153.786,6.034,1.477,34.538
30707,6,1.500,154.000,3.385,2.257,0.000
30708,6,367.000,153.833,3.718,2.055,0.000
30709,6,604.500,155.000,3.385,2.257,0.000
30710,1,586.500,155.500,1.128,1.128,0.000
30711,4,4.000,157.000,2.257,2.257,0.000
30712,1,80.500,157.500,1.128,1.128,0.000
30713,1,331.500,157.500,1.128,1.128,0.000
30714,2,370.000,157.500,2.257,1.128,0.000
30715,3,422.833,158.167,2.365,1.615,135.000
30716,2,580.000,157.500,2.257,1.128,0.000
30717,2,10.000,158.500,2.257,1.128,0.000
30718,1,394.500,158.500,1.128,1.128,0.000
30719,1,437.500,158.500,1.128,1.128,0.000
30720,4,499.750,159.250,3.192,1.596,71.565
30721,7,518.786,159.357,3.507,2.542,120.473
30722,2,586.500,159.000,2.257,1.128,90.000
30723,1,237.500,160.500,1.128,1.128,0.000
30724,12,268.667,162.000,4.110,3.718,0.000
30725,5,389.900,161.300,3.144,2.025,71.565
30726,24,434.375,163.208,6.262,4.880,107.512
30727,7,440.500,161.214,3.086,2.888,0.000
30728,16,551.000,161.125,8.407,2.423,0.000
30729,4,383.000,163.000,2.257,2.257,0.000
30730,10,581.500,164.300,3.966,3.210,90.000
30731,2,3.500,164.000,2.257,1.128,90.000
30732,17,374.500,165.971,5.035,4.299,45.842
30733,4,506.250,164.750,3.192,1.596,71.565
30734,6,9.333,165.167,4.134,1.848,12.933
30735,3,243.833,165.167,2.365,1.615,135.000
30736,2,290.500,165.000,2.257,1.128,90.000
30737,2,299.500,165.000,2.257,1.128,90.000
30738,2,394.500,165.000,2.257,1.128,90.000
30739,9,428.167,165.611,3.919,2.924,159.699
30740,2,515.500,165.000,2.257,1.128,90.000
30741,1,259.500,165.500,1.128,1.128,0.000
30742,1,266.500,165.500,1.128,1.128,0.000
30743,1,419.500,165.500,1.128,1.128,0.000
30744,1,442.500,165.500,1.128,1.128,0.000
30745,1,547.500,165.500,1.128,1.128,0.000
30746,2,2.000,166.500,2.257,1.128,0.000
30747,2,172.000,166.500,2.257,1.128,0.000
30748,1,327.500,166.500,1.128,1.128,0.000
30749,1,467.500,166.500,1.128,1.128,0.000
30750,14,472.643,170.000,6.276,2.840,90.000
30751,153,576.134,175.663,18.464,10.550,64.685
30752,5,609.700,166.900,3.144,2.025,161.565
30753,7,192.500,168.500,3.772,2.363,45.000
30754,20,80.500,170.000,5.642,4.514,0.000
30755,2,187.500,169.000,2.257,1.128,90.000
30756,10,604.300,170.000,4.111,3.097,90.000
30757,4,176.000,170.000,2.257,2.257,0.000
30758,2,205.500,170.000,2.257,1.128,90.000
30759,2,442.500,170.000,2.257,1.128,90.000
30760,410,515.927,187.315,29.973,17.416,73.106
30761,8,423.000,170.500,9.027,1.128,0.000
30762,4,523.750,171.500,2.734,1.863,90.000
30763,4,530.250,171.500,2.734,1.863,90.000
30764,1,0.500,171.500,1.128,1.128,0.000
30765,28,377.786,177.643,11.375,3.134,110.896
30766,8,564.500,173.750,5.862,1.737,116.565
30767,870,191.354,202.995,34.618,31.999,45.026
30768,5,609.700,173.100,3.144,2.025,18.435
30769,4,50.000,173.750,3.969,1.283,162.391
30770,2,122.000,173.500,2.257,1.128,0.000
30771,2,172.000,173.500,2.257,1.128,0.000
30772,4,191.500,174.000,3.216,1.583,31.717
30773,1,435.500,173.500,1.128,1.128,0.000
30774,1,467.500,173.500,1.128,1.128,0.000
30775,1,3.500,174.500,1.128,1.128,0.000
30776,1,10.500,174.500,1.128,1.128,0.000
30777,10,27.300,179.000,9.535,1.335,84.406
30778,16,78.000,178.000,9.027,2.257,90.000
30779,7,126.214,175.357,3.507,2.542,59.527
30780,1,162.500,174.500,1.128,1.128,0.000
30781,8,179.500,178.000,9.027,1.128,90.000
30782,1,227.500,174.500,1.128,1.128,0.000
30783,2,530.500,175.000,2.257,1.128,90.000
30784,6,535.000,174.833,3.718,2.055,0.000
30785,7,584.786,175.357,3.507,2.542,120.473
30786,4,7.000,178.000,2.257,2.257,0.000
30787,15,40.833,179.967,5.157,3.703,148.147
30788,5,563.700,180.300,4.183,1.522,100.901
30789,10,568.500,180.300,3.966,3.210,90.000
30790,32,590.500,180.719,9.484,4.296,174.021
30791,93,583.532,187.661,12.118,9.772,103.358
