 ,Area,XM,YM,Major,Minor,Angle
1,21,102.833,1.643,9.847,2.715,8.423
2,129,128.531,9.407,15.119,10.864,163.986
3,52,154.885,4.327,14.748,4.489,156.550
4,11,203.864,0.773,7.781,1.800,1.149
5,98,279.816,9.673,15.365,8.121,163.445
6,16,299.750,0.750,11.739,1.735,177.013
7,15,312.500,2.167,4.976,3.838,7.628
8,81,396.265,6.710,13.950,7.393,17.124
9,135,430.967,4.826,17.828,9.642,11.900
10,16,472.000,0.500,18.054,1.128,0.000
11,424,481.967,21.264,25.623,21.069,149.064
12,79,497.247,2.348,24.228,4.152,4.091
13,75,531.247,3.193,17.042,5.603,175.329
14,28,550.786,6.286,8.861,4.024,96.390
15,156,556.692,10.603,20.394,9.739,18.625
16,42,576.238,2.643,14.398,3.714,12.842
17,32,621.844,5.375,10.897,3.739,74.208
18,17,643.853,3.794,8.825,2.453,114.562
19,34,671.176,6.559,11.356,3.812,86.956
20,101,715.728,7.252,12.991,9.899,60.551
21,104,735.808,6.962,16.459,8.045,151.587
22,24,749.667,3.333,9.891,3.089,15.051
23,13,762.962,1.038,7.564,2.188,11.090
24,894,765.075,29.592,50.740,22.433,28.667
25,176,812.006,15.386,17.841,12.560,106.746
26,58,825.810,2.638,14.396,5.130,171.550
27,14,850.357,3.857,7.860,2.268,82.460
28,13,855.654,2.577,6.240,2.653,120.437
29,28,880.571,5.857,10.765,3.312,70.657
30,41,890.402,6.402,9.609,5.433,123.649
31,11,903.227,4.318,8.127,1.723,87.707
32,28,927.179,7.000,10.969,3.250,122.644
33,22,942.273,4.409,7.406,3.782,97.730
34,24,947.792,5.333,9.465,3.229,75.204
35,101,989.054,9.708,16.707,7.697,106.503
36,43,175.942,4.802,10.842,5.050,33.352
37,67,379.067,7.157,10.231,8.338,7.739
38,39,591.244,4.731,7.568,6.561,158.604
39,60,38.150,8.417,11.473,6.658,6.215
40,27,934.870,7.352,9.356,3.674,105.556
41,39,951.218,10.577,12.336,4.025,73.041
42,151,193.533,10.434,22.092,8.703,8.354
43,229,230.487,13.723,22.812,12.781,18.001
44,15,303.033,4.833,7.258,2.631,17.446
45,20,690.550,6.150,8.326,3.059,159.942
46,76,9.132,9.789,13.393,7.225,19.990
47,122,66.582,12.238,18.986,8.181,153.298
48,26,514.500,6.962,7.748,4.273,21.564
49,35,798.300,10.157,13.049,3.415,38.355
50,89,921.545,17.500,17.720,6.395,90.800
51,50,603.320,10.280,12.103,5.260,156.688
52,75,756.033,10.780,13.796,6.922,157.151
53,39,845.885,8.628,10.179,4.879,160.295
54,124,967.742,13.097,16.349,9.657,111.881
55,80,84.075,13.275,13.653,7.461,73.247
56,38,358.921,8.658,11.193,4.323,0.729
57,12,298.000,8.667,6.655,2.296,171.905
58,49,338.582,9.378,14.148,4.410,176.622
59,60,867.833,13.450,8.914,8.570,109.125
60,59,110.856,13.483,14.065,5.341,154.988
61,42,152.000,11.476,11.250,4.754,161.602
62,127,164.705,19.768,15.971,10.124,95.665
63,40,261.575,11.650,9.075,5.612,143.704
64,76,582.513,11.658,18.472,5.239,164.563
65,63,638.024,10.897,23.619,3.396,2.489
66,17,680.441,12.559,6.791,3.188,102.502
67,13,660.885,10.808,7.951,2.082,164.096
68,228,694.671,27.421,19.940,14.559,59.381
69,68,517.294,15.588,12.793,6.768,13.605
70,26,889.154,14.808,8.266,4.005,15.876
71,82,46.159,18.659,11.223,9.303,123.590
72,34,299.265,15.412,10.886,3.977,13.728
73,30,612.833,17.633,10.585,3.608,38.554
74,68,627.868,17.838,14.031,6.170,165.011
75,219,648.445,22.075,25.042,11.135,25.342
76,40,906.900,16.150,10.847,4.695,177.550
77,32,938.000,15.906,12.862,3.168,17.436
78,64,99.516,21.688,10.383,7.848,122.302
79,19,174.711,16.184,6.496,3.724,168.096
80,109,379.060,18.995,22.977,6.040,13.785
81,36,914.944,21.472,16.030,2.860,96.689
82,12,257.000,15.917,7.475,2.044,19.523
83,81,416.660,18.574,12.197,8.456,157.632
84,43,453.663,22.174,10.194,5.371,86.258
85,46,575.848,19.783,10.755,5.446,43.623
86,10,603.100,15.400,9.413,1.353,177.203
87,13,734.038,16.269,6.014,2.752,12.406
88,26,746.000,18.000,6.878,4.813,48.005
89,42,955.048,19.595,10.752,4.973,14.148
90,26,399.577,20.308,10.299,3.214,86.507
91,113,838.810,21.332,16.624,8.655,158.646
92,41,10.037,20.061,11.451,4.559,155.293
93,37,132.959,18.905,9.734,4.840,10.015
94,25,149.420,19.980,9.507,3.348,117.410
95,138,191.239,31.928,14.351,12.243,86.075
96,41,202.890,25.500,12.502,4.176,109.348
97,21,312.881,18.167,6.165,4.337,158.872
98,16,325.688,18.250,8.926,2.282,12.273
99,18,405.278,19.944,8.705,2.633,87.664
100,102,441.912,20.745,13.295,9.768,1.238
101,522,523.207,41.305,31.158,21.331,163.949
102,14,536.714,19.571,4.893,3.643,60.804
103,16,997.250,19.875,8.028,2.538,91.149
104,176,19.568,29.375,21.737,10.309,176.720
105,31,36.726,20.629,10.228,3.859,149.107
106,110,251.500,24.564,16.587,8.444,159.735
107,43,686.895,19.965,14.414,3.798,9.964
108,26,855.000,21.077,7.683,4.309,136.091
109,25,548.940,20.740,10.993,2.896,163.716
110,30,305.267,21.900,8.552,4.466,23.391
111,31,177.919,26.242,11.285,3.498,117.787
112,78,716.628,26.679,13.143,7.556,158.224
113,26,734.385,25.692,8.342,3.968,86.916
114,65,358.823,26.269,12.251,6.755,1.932
115,594,77.116,52.527,42.806,17.668,114.806
116,14,215.929,26.286,7.321,2.435,66.447
117,49,275.908,27.602,8.294,7.522,133.199
118,103,931.024,34.811,19.564,6.703,61.290
119,206,134.218,32.660,17.912,14.643,5.764
120,81,593.006,27.969,14.750,6.992,159.836
121,13,88.038,27.731,6.362,2.602,84.758
122,199,387.977,33.435,18.421,13.755,129.094
123,30,414.500,28.000,6.533,5.847,90.000
124,289,447.552,37.981,20.641,17.827,35.530
125,79,548.146,31.057,11.278,8.918,149.343
126,27,561.907,26.648,9.607,3.578,146.937
127,42,626.310,29.857,8.887,6.017,56.438
128,162,864.667,32.988,21.602,9.548,16.632
129,32,894.562,26.875,9.289,4.386,13.962
130,98,975.694,33.816,14.710,8.483,42.392
131,28,51.679,28.250,9.214,3.869,6.980
132,15,153.167,28.433,5.543,3.445,16.658
133,255,658.018,36.178,27.807,11.676,11.933
134,38,269.000,33.026,12.518,3.865,104.200
135,163,574.831,35.377,20.644,10.053,13.232
136,42,752.143,30.452,15.570,3.434,174.677
137,31,958.435,32.048,12.281,3.214,177.694
138,41,105.354,36.695,11.725,4.452,74.814
139,21,169.976,31.690,9.924,2.694,10.145
140,127,210.083,41.248,14.338,11.278,140.374
141,12,807.083,31.417,4.653,3.284,120.875
142,166,232.886,40.139,16.177,13.065,128.386
143,76,364.763,35.632,11.934,8.108,24.270
144,11,991.227,34.136,7.781,1.800,88.851
145,15,375.900,36.700,8.248,2.315,79.765
146,321,822.693,41.460,32.692,12.502,15.182
147,138,890.957,39.167,19.593,8.968,177.447
148,35,112.700,38.214,13.386,3.329,74.524
149,89,172.702,38.174,15.753,7.194,179.431
150,112,259.777,40.571,13.566,10.512,118.576
151,21,300.310,33.452,8.238,3.246,176.055
152,129,316.895,38.012,24.591,6.679,179.926
153,134,348.813,43.731,17.253,9.889,110.130
154,321,421.129,45.030,26.375,15.496,154.124
155,24,491.000,38.125,8.422,3.628,106.637
156,29,606.086,37.224,10.415,3.545,80.280
157,52,919.577,37.481,16.133,4.104,33.918
158,89,953.062,39.983,16.194,6.997,5.252
159,28,705.857,37.321,6.607,5.396,156.922
160,69,721.674,41.790,11.133,7.891,8.768
161,259,15.230,54.824,21.756,15.158,87.384
162,110,42.155,45.545,13.892,10.082,120.008
163,47,148.564,43.904,12.197,4.906,56.185
164,26,161.231,42.500,10.184,3.251,118.787
165,78,459.474,44.654,11.877,8.362,92.979
166,11,551.864,42.682,8.644,1.620,81.436
167,18,630.944,42.778,10.143,2.260,93.115
168,16,55.500,41.062,8.608,2.367,171.595
169,73,91.390,46.240,16.392,5.670,1.121
170,50,271.800,45.680,12.646,5.034,34.175
171,65,587.623,47.900,11.853,6.982,65.200
172,15,597.433,43.833,7.466,2.558,87.477
173,33,698.045,43.652,8.311,5.056,14.925
174,64,760.250,46.172,12.930,6.302,149.165
175,97,872.851,46.923,16.089,7.676,130.518
176,34,994.882,48.029,16.524,2.620,92.069
177,21,1000.071,45.357,11.488,2.327,90.473
178,115,170.135,53.100,14.309,10.233,149.915
179,22,312.318,44.636,7.096,3.948,143.814
180,47,188.074,47.947,11.657,5.134,148.602
181,119,634.147,52.693,14.391,10.529,59.522
182,167,778.422,55.290,17.713,12.004,81.915
183,40,2.750,50.200,11.573,4.401,92.491
184,24,131.083,47.208,7.173,4.260,161.796
185,12,384.500,50.000,13.541,1.128,90.000
186,55,675.318,48.173,10.784,6.494,14.886
187,72,710.792,50.819,11.026,8.314,175.714
188,27,792.648,47.093,6.828,5.035,75.325
189,37,907.500,47.608,11.349,4.151,166.300
190,33,973.742,48.045,10.038,4.186,40.384
191,18,560.500,48.389,7.922,2.893,44.936
192,28,570.893,48.536,8.609,4.141,23.849
193,45,660.789,48.767,10.798,5.306,162.542
