 ,Area,XM,YM,Major,Minor,Angle
1,344,17.041,5.555,33.046,13.254,5.897
2,105,85.338,2.871,22.376,5.975,173.516
3,387,148.593,6.611,34.312,14.361,178.234
4,163,658.696,2.218,39.766,5.219,0.263
5,33527,869.496,195.889,280.322,152.282,61.588
6,256,817.297,142.695,20.420,15.962,78.178
7,206,833.500,161.490,23.829,11.007,90.351
8,210,769.867,201.400,21.552,12.406,115.895
9,195,753.310,210.879,23.148,10.726,166.566
10,35,1.357,217.414,16.278,2.738,85.927
11,18,99.833,227.389,7.503,3.055,168.746
12,45,80.589,235.744,9.823,5.833,66.258
13,48,446.688,249.396,9.631,6.346,106.191
14,922,243.905,279.740,36.019,32.592,3.724
15,220,20.873,264.268,27.190,10.302,26.372
16,30,81.167,257.700,9.239,4.134,163.210
17,30,3.900,262.900,10.639,3.590,45.615
18,254,361.000,269.386,25.258,12.804,131.641
19,476,200.750,278.605,26.161,23.166,107.992
20,109,300.693,274.060,12.176,11.398,75.500
21,31,616.984,271.629,10.673,3.698,31.138
22,111,176.203,278.203,15.513,9.111,47.006
23,102,12.049,280.696,19.175,6.773,14.073
24,209,65.237,286.572,57.040,4.665,178.637
25,16,234.000,290.000,15.766,1.292,95.392
26,106,250.962,288.519,14.152,9.536,144.601
27,201,282.629,294.893,20.757,12.330,41.012
28,16,635.562,297.188,7.407,2.750,157.336
29,375,17.807,5.788,34.304,13.919,6.849
30,100,82.510,2.730,25.971,4.903,172.665
31,65,131.192,2.962,14.452,5.727,164.785
32,320,154.603,6.450,27.401,14.869,10.796
33,153,192.232,8.559,18.530,10.513,79.616
34,120,834.550,5.725,17.281,8.841,175.481
35,33172,869.268,197.564,279.607,151.054,60.934
36,205,814.973,141.432,17.085,15.277,91.296
37,61,826.500,170.795,24.805,3.131,103.945
38,402,760.709,205.677,36.093,14.181,13.586
39,25,39.860,198.620,6.536,4.870,28.565
40,18,779.222,218.389,11.301,2.028,172.930
41,15,748.233,226.567,8.783,2.174,166.005
