 ,Area,XM,YM,Major,Minor,Angle
1412,5,401.300,272.900,3.144,2.025,18.435
1413,11,762.955,277.227,6.327,2.214,93.058
1414,1,260.500,281.500,1.128,1.128,0.000
1415,904,282.801,64.897,110.054,10.459,65.743
1416,4,401.000,273.000,2.257,2.257,0.000
1417,11,762.955,277.227,6.327,2.214,93.058
1418,915,279.662,68.449,110.656,10.528,65.464
1419,5,401.300,272.900,3.144,2.025,18.435
1420,10,763.000,277.500,5.642,2.257,90.000
1421,926,276.143,73.106,110.742,10.647,66.191
1422,5,401.300,272.900,3.144,2.025,18.435
1423,11,762.955,277.227,6.327,2.214,93.058
1424,1,260.500,282.500,1.128,1.128,0.000
1425,909,272.503,78.700,110.433,10.480,67.887
1426,4,401.000,273.000,2.257,2.257,0.000
1427,10,763.000,277.500,5.642,2.257,90.000
1428,1,260.500,282.500,1.128,1.128,0.000
1429,926,269.137,85.298,110.556,10.664,70.508
1430,5,401.300,272.900,3.144,2.025,18.435
1431,11,762.955,277.227,6.327,2.214,93.058
1432,927,266.046,92.884,110.743,10.658,73.538
1433,5,401.300,272.900,3.144,2.025,18.435
1434,11,762.955,277.227,6.327,2.214,93.058
1435,1,260.500,282.500,1.128,1.128,0.000
1436,921,263.635,100.865,110.504,10.612,77.197
1437,5,401.300,272.900,3.144,2.025,18.435
1438,11,762.955,277.227,6.327,2.214,93.058
1439,1,260.500,282.500,1.128,1.128,0.000
1440,930,262.051,108.943,111.300,10.639,81.160
1441,5,401.300,272.900,3.144,2.025,18.435
1442,11,762.955,277.227,6.327,2.214,93.058
1443,940,261.260,117.037,110.934,10.789,85.370
1444,5,401.300,272.900,3.144,2.025,18.435
1445,11,762.955,277.227,6.327,2.214,93.058
1446,917,261.112,124.026,111.217,10.498,89.307
1447,5,401.300,272.900,3.144,2.025,18.435
1448,10,763.000,277.500,5.642,2.257,90.000
1449,932,261.602,130.869,110.498,10.739,93.745
1450,5,401.300,272.900,3.144,2.025,18.435
1451,11,762.955,277.227,6.327,2.214,93.058
1452,918,262.361,136.747,110.336,10.593,97.901
1453,2,401.000,272.500,2.257,1.128,0.000
1454,10,763.000,277.500,5.642,2.257,90.000
1455,927,263.131,140.840,110.732,10.659,102.068
1456,5,401.300,272.900,3.144,2.025,18.435
1457,11,762.955,277.227,6.327,2.214,93.058
1458,920,263.686,143.790,110.176,10.632,106.044
1459,4,401.000,273.000,2.257,2.257,0.000
1460,11,762.955,277.227,6.327,2.214,93.058
1461,1,260.500,282.500,1.128,1.128,0.000
1462,921,263.460,145.034,110.161,10.645,109.722
1463,5,401.300,272.900,3.144,2.025,18.435
1464,11,762.955,277.227,6.327,2.214,93.058
1465,927,262.291,144.710,110.539,10.678,112.880
1466,3,400.833,272.833,2.365,1.615,45.000
1467,11,762.955,277.227,6.327,2.214,93.058
1468,930,260.356,143.273,110.600,10.706,115.026
1469,5,401.300,272.900,3.144,2.025,18.435
1470,10,763.000,277.500,5.642,2.257,90.000
1471,935,257.225,140.006,110.575,10.766,116.143
1472,4,401.000,273.000,2.257,2.257,0.000
1473,11,762.955,277.227,6.327,2.214,93.058
1474,930,253.868,136.268,110.990,10.669,115.877
1475,4,401.000,273.000,2.257,2.257,0.000
1476,11,762.955,277.227,6.327,2.214,93.058
1477,922,249.685,130.585,110.882,10.587,114.646
1478,5,401.300,272.900,3.144,2.025,18.435
1479,10,763.000,277.500,5.642,2.257,90.000
1480,2,260.500,282.000,2.257,1.128,90.000
1481,925,245.448,123.711,110.713,10.638,112.345
1482,5,401.300,272.900,3.144,2.025,18.435
1483,11,762.955,277.227,6.327,2.214,93.058
1484,921,241.770,116.143,110.766,10.587,109.308
1485,5,401.300,272.900,3.144,2.025,18.435
1486,11,762.955,277.227,6.327,2.214,93.058
1487,915,238.767,107.979,110.658,10.528,105.636
1488,5,401.300,272.900,3.144,2.025,18.435
1489,11,762.955,277.227,6.327,2.214,93.058
1490,1,260.500,282.500,1.128,1.128,0.000
1491,919,236.466,99.602,110.912,10.550,101.766
1492,3,401.167,273.167,2.365,1.615,45.000
1493,10,763.000,277.500,5.642,2.257,90.000
1494,923,235.150,91.285,110.931,10.594,97.509
1495,5,401.300,272.900,3.144,2.025,18.435
1496,10,763.000,277.500,5.642,2.257,90.000
1497,1,9.500,25.500,1.128,1.128,0.000
1498,946,234.555,83.016,110.795,10.871,93.271
1499,5,401.300,272.900,3.144,2.025,18.435
1500,11,762.955,277.227,6.327,2.214,93.058
1501,2,260.500,282.000,2.257,1.128,90.000
1502,926,234.684,75.435,110.335,10.686,89.212
1503,5,401.300,272.900,3.144,2.025,18.435
1504,10,763.000,277.500,5.642,2.257,90.000
1505,911,235.269,69.340,110.226,10.523,84.975
1506,3,401.500,272.500,3.385,1.128,0.000
1507,12,762.833,277.083,6.187,2.469,97.804
1508,915,236.101,64.240,109.880,10.603,80.814
1509,4,401.000,273.000,2.257,2.257,0.000
1510,11,762.955,277.227,6.327,2.214,93.058
1511,910,236.678,60.767,110.171,10.517,76.886
1512,5,401.300,272.900,3.144,2.025,18.435
1513,10,763.000,277.500,5.642,2.257,90.000
1514,918,237.009,58.011,109.510,10.673,73.216
1515,4,401.000,273.000,2.257,2.257,0.000
1516,11,762.955,277.227,6.327,2.214,93.058
1517,915,236.418,57.241,110.323,10.560,70.032
1518,4,401.000,273.000,2.257,2.257,0.000
1519,11,762.955,277.227,6.327,2.214,93.058
1520,917,235.189,57.577,109.894,10.624,67.456
1521,4,401.000,273.000,2.257,2.257,0.000
1522,10,763.000,277.500,5.642,2.257,90.000
1523,933,233.008,59.326,110.537,10.747,65.968
1524,3,401.500,272.500,3.385,1.128,0.000
1525,11,762.955,277.227,6.327,2.214,93.058
1526,930,229.961,62.605,110.472,10.719,65.430
1527,4,401.000,273.000,2.257,2.257,0.000
1528,11,762.955,277.227,6.327,2.214,93.058
1529,929,226.520,66.771,110.573,10.697,65.925
1530,5,401.300,272.900,3.144,2.025,18.435
1531,11,762.955,277.227,6.327,2.214,93.058
1532,1,260.500,282.500,1.128,1.128,0.000
1533,933,222.802,72.474,111.005,10.702,67.488
1534,5,401.300,272.900,3.144,2.025,18.435
1535,11,762.955,277.227,6.327,2.214,93.058
1536,927,219.244,78.924,110.798,10.653,69.744
1537,4,401.000,273.000,2.257,2.257,0.000
1538,10,763.000,277.500,5.642,2.257,90.000
1539,1,9.500,26.500,1.128,1.128,0.000
1540,935,216.022,86.299,110.624,10.761,72.823
1541,5,401.300,272.900,3.144,2.025,18.435
1542,11,762.955,277.227,6.327,2.214,93.058
1543,920,213.501,94.135,110.745,10.577,76.442
1544,5,401.300,272.900,3.144,2.025,18.435
1545,11,762.955,277.227,6.327,2.214,93.058
1546,932,211.602,102.542,110.621,10.727,80.340
1547,5,401.300,272.900,3.144,2.025,18.435
1548,11,762.955,277.227,6.327,2.214,93.058
1549,924,210.568,110.636,110.607,10.637,84.402
1550,5,401.300,272.900,3.144,2.025,18.435
1551,11,762.955,277.227,6.327,2.214,93.058
1552,928,210.440,117.695,110.433,10.699,88.367
1553,5,401.300,272.900,3.144,2.025,18.435
1554,11,762.955,277.227,6.327,2.214,93.058
1555,925,210.771,124.959,110.491,10.659,92.759
1556,5,401.300,272.900,3.144,2.025,18.435
1557,10,763.000,277.500,5.642,2.257,90.000
1558,937,211.453,130.519,110.409,10.805,97.076
1559,5,401.300,272.900,3.144,2.025,18.435
1560,11,762.955,277.227,6.327,2.214,93.058
1561,926,212.311,134.787,110.419,10.678,101.234
1562,4,401.000,273.000,2.257,2.257,0.000
1563,10,763.000,277.500,5.642,2.257,90.000
1564,929,212.892,138.122,110.269,10.727,105.257
1565,4,401.000,273.000,2.257,2.257,0.000
1566,12,762.833,277.083,6.187,2.469,97.804
1567,919,212.677,139.518,110.151,10.623,108.936
1568,4,401.000,273.000,2.257,2.257,0.000
1569,11,762.955,277.227,6.327,2.214,93.058
1570,925,211.979,139.754,110.479,10.660,112.203
1571,4,401.250,272.750,3.192,1.596,18.435
1572,10,763.000,277.500,5.642,2.257,90.000
