 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle
1,358,255,255,255,629.561,89.263,85.518,5.330,90.997
2,352,255,255,255,627.528,89.054,85.252,5.257,91.028
3,355,255,255,255,625.554,89.221,85.101,5.311,91.078
4,358,255,255,255,623.587,88.687,84.890,5.370,91.009
5,373,255,255,255,621.720,88.103,85.727,5.540,90.910
6,379,255,255,255,619.814,87.793,86.376,5.587,90.948
7,367,255,255,255,618.007,87.489,86.641,5.393,91.058
8,356,255,255,255,616.376,88.787,86.357,5.249,90.735
9,369,255,255,255,614.587,87.047,85.809,5.475,90.506
10,375,255,255,255,612.748,86.884,85.317,5.596,90.711
11,369,255,255,255,610.909,86.736,86.119,5.456,90.877
12,348,255,255,255,609.221,87.629,86.164,5.142,90.679
13,377,255,255,255,607.527,86.688,86.985,5.518,90.202
14,372,255,255,255,605.618,85.763,85.860,5.517,90.284
15,341,255,255,255,603.843,85.597,84.245,5.154,90.185
16,351,255,255,255,602.346,86.093,86.241,5.182,90.022
17,380,255,255,255,600.545,85.789,87.612,5.522,90.013
18,373,255,255,255,598.642,85.814,85.761,5.538,89.919
19,347,255,255,255,596.829,85.889,85.022,5.196,89.915
20,343,255,255,255,595.235,84.206,85.972,5.080,89.603
21,379,255,255,255,593.524,85.289,87.483,5.516,89.857
22,371,255,255,255,591.624,85.697,86.082,5.487,89.700
23,356,255,255,255,589.899,85.520,86.266,5.254,89.245
24,351,255,255,255,588.315,83.474,86.279,5.180,89.270
25,370,255,255,255,586.638,85.249,85.569,5.505,89.499
26,362,255,255,255,584.959,85.166,86.349,5.338,89.121
27,355,255,255,255,583.272,83.525,86.039,5.253,89.243
28,364,255,255,255,581.544,84.937,86.007,5.389,89.523
29,366,255,255,255,579.689,85.303,85.750,5.434,89.381
30,372,255,255,255,578.081,84.581,86.833,5.455,88.824
31,350,255,255,255,576.434,83.691,86.069,5.178,89.191
32,364,255,255,255,574.808,85.069,86.563,5.354,89.126
33,373,255,255,255,573.133,84.535,86.792,5.472,88.838
34,369,255,255,255,571.627,84.947,86.204,5.450,89.317
35,375,255,255,255,570.103,84.468,87.186,5.476,88.858
36,343,255,255,255,568.415,83.503,86.063,5.074,89.147
37,366,255,255,255,566.672,85.208,86.099,5.412,89.407
38,376,255,255,255,565.072,84.609,87.087,5.497,88.856
39,338,255,255,255,563.402,83.636,85.913,5.009,89.107
40,364,255,255,255,561.745,85.236,86.264,5.373,89.222
41,375,255,255,255,560.113,84.689,86.969,5.490,88.846
42,344,255,255,255,558.570,84.323,85.168,5.143,88.979
43,367,255,255,255,557.116,85.606,85.816,5.445,88.684
44,345,255,255,255,555.454,84.584,85.334,5.148,88.885
45,368,255,255,255,553.856,85.682,86.304,5.429,88.894
46,372,255,255,255,552.094,85.715,86.142,5.498,88.635
47,370,255,255,255,550.327,85.570,85.748,5.494,88.432
48,364,255,255,255,548.860,85.503,86.197,5.377,88.804
49,369,255,255,255,547.118,86.161,86.025,5.461,88.573
50,358,255,255,255,545.464,85.821,85.955,5.303,88.351
51,362,255,255,255,543.992,86.434,86.154,5.350,88.548
52,358,255,255,255,542.360,86.718,85.983,5.301,88.444
53,365,255,255,255,540.842,86.525,86.606,5.366,88.804
54,367,255,255,255,539.078,86.980,86.399,5.408,88.684
