 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle
1,364,255,255,255,625.723,73.725,84.417,5.490,89.996
2,358,255,255,255,623.922,73.573,83.586,5.453,90.104
3,365,255,255,255,622.218,73.527,84.442,5.504,90.157
4,377,255,255,255,620.394,74.381,85.930,5.586,90.094
5,364,255,255,255,618.755,73.832,84.469,5.487,90.313
6,368,255,255,255,617.106,74.141,84.731,5.530,90.509
7,376,255,255,255,615.391,74.723,85.213,5.618,90.246
8,364,255,255,255,613.736,73.635,84.175,5.506,90.526
9,372,255,255,255,612.102,74.452,84.660,5.595,90.733
10,375,255,255,255,610.329,74.681,85.270,5.599,90.466
11,362,255,255,255,608.729,73.948,84.112,5.480,90.694
12,375,255,255,255,607.071,74.407,84.865,5.626,90.850
13,374,255,255,255,605.321,74.567,85.135,5.593,90.533
14,360,255,255,255,603.744,73.914,84.156,5.447,90.842
15,374,255,255,255,602.078,74.235,84.980,5.604,90.878
16,367,255,255,255,600.345,74.317,84.450,5.533,90.654
17,358,255,255,255,598.723,73.520,83.302,5.472,90.923
18,378,255,255,255,597.063,74.011,85.103,5.655,90.916
19,375,255,255,255,595.295,74.228,84.851,5.627,90.688
20,357,255,255,255,593.704,73.200,83.577,5.439,90.881
21,376,255,255,255,592.072,74.016,85.512,5.599,90.844
22,375,255,255,255,590.340,73.913,85.233,5.602,90.626
23,360,255,255,255,588.797,73.139,84.095,5.451,90.847
24,376,255,255,255,587.112,73.795,85.656,5.589,90.760
25,378,255,255,255,585.386,73.497,85.490,5.630,90.543
26,364,255,255,255,583.841,72.890,83.959,5.520,90.654
27,371,255,255,255,582.150,73.567,85.176,5.546,90.655
28,378,255,255,255,580.458,73.347,84.716,5.681,90.302
29,369,255,255,255,578.982,72.354,84.053,5.590,90.510
30,372,255,255,255,577.277,73.013,86.001,5.507,90.298
31,379,255,255,255,575.600,72.241,84.576,5.706,90.201
32,359,255,255,255,574.110,72.494,83.965,5.444,90.271
33,378,255,255,255,572.384,72.492,86.040,5.594,90.043
34,369,255,255,255,570.798,71.915,83.988,5.594,89.980
35,366,255,255,255,569.230,72.134,84.637,5.506,89.770
36,389,255,255,255,567.467,72.004,86.294,5.740,89.879
37,366,255,255,255,565.934,72.057,84.491,5.515,89.634
38,369,255,255,255,564.316,71.224,85.430,5.500,89.678
39,388,255,255,255,562.740,71.670,84.873,5.821,89.641
40,370,255,255,255,561.135,71.486,85.004,5.542,89.346
41,379,255,255,255,559.434,71.083,85.453,5.647,89.655
42,370,255,255,255,558.008,72.230,84.870,5.551,89.160
43,375,255,255,255,556.289,71.052,86.185,5.540,89.335
44,372,255,255,255,554.828,71.836,83.673,5.661,89.116
45,377,255,255,255,553.105,71.285,85.785,5.596,89.022
46,373,255,255,255,551.409,71.202,85.180,5.575,89.344
47,372,255,255,255,550.027,71.618,84.727,5.590,88.996
48,378,255,255,255,548.267,71.503,86.148,5.587,89.157
49,365,255,255,255,546.870,71.993,83.373,5.574,88.964
50,376,255,255,255,545.122,71.476,86.286,5.548,88.917
51,360,255,255,255,543.606,72.492,83.666,5.478,88.895
