 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle
1,403,255,255,255,641.813,124.780,88.691,5.785,92.232
2,397,255,255,255,639.724,124.155,88.779,5.694,92.206
3,396,255,255,255,637.682,124.427,88.906,5.671,92.294
4,391,255,255,255,635.620,124.283,89.699,5.550,92.152
5,395,255,255,255,633.667,123.728,89.375,5.627,92.136
6,384,255,255,255,631.701,123.438,89.636,5.455,91.966
7,377,255,255,255,629.786,123.158,88.770,5.407,91.612
8,378,255,255,255,627.905,122.825,89.422,5.382,91.380
9,386,255,255,255,626.026,122.228,89.013,5.521,91.257
10,380,255,255,255,624.168,122.087,89.120,5.429,91.128
11,378,255,255,255,622.368,121.897,88.308,5.450,90.757
12,368,255,255,255,620.647,119.707,88.882,5.272,90.678
13,374,255,255,255,619.094,121.257,89.642,5.312,90.938
14,391,255,255,255,617.451,120.820,89.478,5.564,90.193
15,398,255,255,255,615.530,120.196,89.899,5.637,90.042
16,339,255,255,255,613.999,120.305,88.908,4.855,89.709
17,381,255,255,255,612.416,118.807,88.741,5.467,89.677
18,369,255,255,255,610.671,120.676,88.607,5.302,89.491
19,369,255,255,255,609.047,118.963,89.702,5.238,89.139
20,382,255,255,255,607.293,118.162,89.071,5.461,89.212
21,361,255,255,255,605.719,118.791,88.550,5.191,88.909
22,383,255,255,255,604.051,118.599,89.722,5.435,88.785
23,367,255,255,255,602.366,119.470,88.663,5.270,88.370
24,380,255,255,255,600.679,118.645,89.847,5.385,88.089
25,369,255,255,255,599.066,118.327,89.013,5.278,87.876
26,380,255,255,255,597.453,118.018,89.220,5.423,87.785
27,376,255,255,255,595.699,118.691,89.142,5.371,87.673
28,370,255,255,255,594.054,118.608,89.036,5.291,87.522
29,370,255,255,255,592.422,117.914,88.632,5.315,87.567
30,374,255,255,255,590.751,118.973,89.031,5.349,87.413
31,378,255,255,255,589.074,118.762,89.398,5.384,87.175
32,360,255,255,255,587.436,119.253,89.207,5.138,87.066
33,371,255,255,255,585.845,118.584,89.022,5.306,86.921
34,376,255,255,255,584.146,119.577,89.303,5.361,86.829
35,368,255,255,255,582.546,119.413,88.913,5.270,86.761
36,376,255,255,255,580.851,119.309,89.502,5.349,86.915
37,383,255,255,255,579.129,119.910,90.233,5.404,87.031
38,359,255,255,255,577.519,120.539,88.197,5.183,87.031
39,374,255,255,255,575.872,120.818,89.409,5.326,87.024
40,376,255,255,255,574.186,121.048,89.342,5.358,87.019
41,372,255,255,255,572.621,121.124,89.218,5.309,86.943
42,380,255,255,255,571.021,121.458,90.235,5.362,86.998
43,363,255,255,255,569.354,122.178,89.427,5.168,86.963
44,374,255,255,255,567.751,122.227,88.818,5.361,87.139
45,377,255,255,255,566.070,122.930,89.691,5.352,87.287
46,365,255,255,255,564.481,122.492,89.649,5.184,87.691
47,379,255,255,255,562.785,124.173,89.334,5.402,87.693
48,362,255,255,255,561.246,123.732,88.598,5.202,87.871
49,375,255,255,255,559.593,124.439,89.962,5.307,88.016
50,364,255,255,255,558.055,124.313,88.956,5.210,88.211
51,371,255,255,255,556.519,125.096,89.546,5.275,88.089
52,372,255,255,255,554.949,124.890,89.500,5.292,88.329
53,377,255,255,255,553.309,126.115,89.400,5.369,88.540
54,366,255,255,255,551.779,125.527,89.205,5.224,88.737
55,381,255,255,255,550.133,126.025,89.475,5.422,88.981
56,368,255,255,255,548.552,126.826,88.816,5.276,89.346
57,362,255,255,255,547.006,127.160,89.913,5.126,89.264
58,392,255,255,255,545.490,127.186,89.426,5.581,89.857
59,353,255,255,255,543.812,128.908,89.890,5.000,89.603
60,396,255,255,255,542.480,127.614,90.271,5.585,89.966
61,347,255,255,255,540.860,129.321,89.865,4.916,89.664
62,398,255,255,255,539.482,128.304,90.220,5.617,90.021
63,389,255,255,255,537.608,128.487,90.333,5.483,90.108
64,374,255,255,255,536.329,130.016,89.048,5.348,90.552
65,388,255,255,255,534.582,128.090,89.137,5.542,90.425
66,376,255,255,255,533.277,130.080,90.290,5.302,90.782
67,388,255,255,255,531.580,128.781,89.347,5.529,90.582
68,381,255,255,255,530.161,129.563,90.327,5.371,91.040
69,376,255,255,255,528.561,128.955,88.983,5.380,90.713
70,371,255,255,255,527.212,130.104,89.729,5.264,90.830
71,371,255,255,255,525.627,128.166,89.280,5.291,90.715
72,383,255,255,255,524.145,129.782,90.523,5.387,91.080
73,369,255,255,255,522.514,129.446,88.314,5.320,90.915
74,386,255,255,255,521.021,129.205,90.436,5.434,91.213
75,372,255,255,255,519.441,129.634,88.650,5.343,90.889
76,380,255,255,255,518.032,129.139,90.770,5.330,91.149
77,379,255,255,255,516.421,129.822,89.094,5.416,90.675
78,359,255,255,255,514.962,128.216,89.938,5.082,90.885
79,386,255,255,255,513.453,129.391,89.175,5.511,90.468
80,349,255,255,255,511.953,127.832,90.198,4.927,90.585
81,389,255,255,255,510.464,128.955,89.306,5.546,90.324
82,349,255,255,255,508.841,127.526,89.691,4.954,90.417
83,384,255,255,255,507.409,129.135,89.844,5.442,90.416
84,380,255,255,255,505.642,128.376,89.780,5.389,90.098
85,392,255,255,255,504.444,128.301,90.515,5.514,90.177
86,368,255,255,255,502.712,129.068,89.540,5.233,89.775
87,374,255,255,255,501.358,126.551,89.768,5.305,89.649
88,363,255,255,255,499.731,129.282,89.437,5.168,89.532
