 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle
1,395,255,255,255,621.538,68.905,93.898,5.356,90.889
2,410,255,255,255,619.944,67.705,96.288,5.422,90.975
3,411,255,255,255,618.330,68.583,95.225,5.495,90.937
4,415,255,255,255,616.645,69.064,94.922,5.567,91.073
5,410,255,255,255,614.956,67.602,96.922,5.386,90.955
6,403,255,255,255,613.346,68.597,94.779,5.414,90.938
7,411,255,255,255,611.661,68.488,94.750,5.523,91.093
8,400,255,255,255,610.053,66.795,97.034,5.249,91.009
9,404,255,255,255,608.403,67.710,94.724,5.430,90.974
10,404,255,255,255,606.792,67.215,95.146,5.406,91.226
11,416,255,255,255,605.231,66.315,96.256,5.503,91.217
12,403,255,255,255,603.602,67.383,94.622,5.423,91.315
13,401,255,255,255,601.892,66.914,95.403,5.352,91.282
14,413,255,255,255,600.226,65.742,95.787,5.490,91.219
15,405,255,255,255,598.559,66.740,95.293,5.411,91.273
16,396,255,255,255,596.975,65.553,95.916,5.257,91.265
17,412,255,255,255,595.396,65.036,95.763,5.478,91.418
18,397,255,255,255,593.764,65.276,95.279,5.305,91.257
19,414,255,255,255,592.242,64.278,96.218,5.478,91.226
20,398,255,255,255,590.741,65.322,95.291,5.318,91.408
21,410,255,255,255,589.288,63.922,95.793,5.450,91.706
22,411,255,255,255,587.539,63.948,95.923,5.455,91.622
23,393,255,255,255,585.953,64.060,94.579,5.291,91.569
24,415,255,255,255,584.341,63.177,96.096,5.499,91.573
25,398,255,255,255,582.736,63.593,95.492,5.307,91.417
26,409,255,255,255,581.236,62.449,95.723,5.440,91.446
27,394,255,255,255,579.680,63.114,95.049,5.278,91.362
28,413,255,255,255,578.212,61.500,95.899,5.483,91.253
29,399,255,255,255,576.698,62.187,94.616,5.369,91.201
30,409,255,255,255,575.248,60.767,95.987,5.425,91.282
31,400,255,255,255,573.735,61.740,95.697,5.322,91.512
32,420,255,255,255,572.221,61.019,95.655,5.591,91.635
33,411,255,255,255,570.566,60.858,95.765,5.464,91.454
34,414,255,255,255,569.024,59.882,95.773,5.504,91.278
35,399,255,255,255,567.550,60.482,95.275,5.332,91.146
36,417,255,255,255,565.932,58.805,96.284,5.514,91.076
37,400,255,255,255,564.482,60.035,94.648,5.381,90.852
38,405,255,255,255,563.001,58.769,96.188,5.361,90.735
39,430,255,255,255,561.579,57.888,96.857,5.653,90.254
40,386,255,255,255,560.212,59.150,96.609,5.087,90.586
41,429,255,255,255,558.666,57.693,95.667,5.710,90.601
42,403,255,255,255,557.098,57.768,96.212,5.333,90.877
43,413,255,255,255,555.517,58.294,94.612,5.558,90.585
44,395,255,255,255,554.037,57.946,95.821,5.249,90.592
45,430,255,255,255,552.542,56.865,96.762,5.658,90.193
46,379,255,255,255,551.109,57.985,96.219,5.015,90.447
47,431,255,255,255,549.567,56.739,96.415,5.692,90.174
48,376,255,255,255,548.152,57.934,95.714,5.002,90.282
49,428,255,255,255,546.593,56.507,96.460,5.649,89.975
50,400,255,255,255,545.322,57.945,95.727,5.320,90.385
51,426,255,255,255,543.629,55.988,95.813,5.661,90.241
52,401,255,255,255,542.378,57.939,95.698,5.335,90.534
53,426,255,255,255,540.613,55.624,95.737,5.666,90.240
54,397,255,255,255,539.351,57.543,95.596,5.288,90.500
55,431,255,255,255,537.621,55.451,95.738,5.732,90.233
56,402,255,255,255,536.376,57.423,95.781,5.344,90.481
57,413,255,255,255,534.732,55.953,94.621,5.557,90.106
58,432,255,255,255,533.521,55.326,97.696,5.630,90.044
59,394,255,255,255,531.843,55.784,93.554,5.362,90.076
60,430,255,255,255,530.533,55.272,97.313,5.626,90.147
61,404,255,255,255,528.950,55.134,96.459,5.333,90.710
62,414,255,255,255,527.502,56.287,95.204,5.537,90.587
63,405,255,255,255,526.009,55.362,96.106,5.366,90.700
64,412,255,255,255,524.490,56.124,95.014,5.521,90.554
65,393,255,255,255,523.055,55.469,96.619,5.179,90.708
66,427,255,255,255,521.577,54.858,96.085,5.658,90.356
67,380,255,255,255,520.245,56.305,96.481,5.015,90.493
68,422,255,255,255,518.645,54.249,95.834,5.607,90.345
69,397,255,255,255,517.349,56.455,96.082,5.261,90.545
70,428,255,255,255,515.776,54.708,95.854,5.685,90.781
71,403,255,255,255,514.411,55.882,95.112,5.395,90.779
72,414,255,255,255,512.826,54.879,96.114,5.484,90.975
73,403,255,255,255,511.396,55.728,95.068,5.397,90.843
74,413,255,255,255,509.839,54.137,96.527,5.448,90.971
75,398,255,255,255,508.450,55.528,94.883,5.341,90.826
76,411,255,255,255,506.974,53.814,96.978,5.396,90.972
77,398,255,255,255,505.543,54.894,95.112,5.328,91.006
78,402,255,255,255,504.060,53.637,97.421,5.254,90.988
79,403,255,255,255,502.604,55.279,95.042,5.399,91.172
80,405,255,255,255,501.147,53.567,97.151,5.308,91.184
81,401,255,255,255,499.667,54.966,95.615,5.340,91.325
82,419,255,255,255,498.233,53.300,97.143,5.492,91.308
83,401,255,255,255,496.692,54.470,95.992,5.319,91.315
84,412,255,255,255,495.226,53.177,96.576,5.432,91.216
85,405,255,255,255,493.769,53.599,95.919,5.376,91.262
86,402,255,255,255,492.433,53.405,95.647,5.351,91.054
87,404,255,255,255,490.916,53.205,96.512,5.330,91.178
88,404,255,255,255,489.473,53.198,95.501,5.386,91.174
89,399,255,255,255,487.926,53.284,96.103,5.286,91.369
90,407,255,255,255,486.559,53.471,95.951,5.401,91.308
91,405,255,255,255,485.100,52.302,96.357,5.352,91.313
92,404,255,255,255,483.616,53.215,95.315,5.397,91.249
93,406,255,255,255,482.131,51.722,96.467,5.359,91.181
94,404,255,255,255,480.624,53.002,95.090,5.409,91.169
95,407,255,255,255,479.284,52.041,96.401,5.376,90.983
96,423,255,255,255,477.772,51.278,96.564,5.577,90.865
97,401,255,255,255,476.408,52.348,95.905,5.324,90.732
98,415,255,255,255,474.878,50.408,96.432,5.479,90.907
99,399,255,255,255,473.445,52.014,94.580,5.371,90.757
100,400,255,255,255,472.033,50.030,98.194,5.187,90.913
101,408,255,255,255,470.596,51.228,95.188,5.457,90.942
102,405,255,255,255,469.154,50.369,97.105,5.310,90.936
103,428,255,255,255,467.685,49.678,96.006,5.676,90.663
104,400,255,255,255,466.365,51.465,96.003,5.305,90.547
105,404,255,255,255,464.750,49.111,95.569,5.382,90.245
106,428,255,255,255,463.507,49.430,97.000,5.618,90.191
107,364,255,255,255,462.047,49.769,96.648,4.795,90.220
108,434,255,255,255,460.537,49.060,97.432,5.671,90.138
109,370,255,255,255,459.176,50.181,96.812,4.866,90.362
110,424,255,255,255,457.630,48.651,96.197,5.612,90.126
111,417,255,255,255,456.450,49.829,96.248,5.516,90.337
112,374,255,255,255,454.968,49.230,94.920,5.017,90.113
113,432,255,255,255,453.549,48.688,97.639,5.633,90.071
114,387,255,255,255,452.242,48.071,96.607,5.100,89.920
115,407,255,255,255,450.701,49.861,96.087,5.393,89.715
116,418,255,255,255,449.397,47.842,96.772,5.500,89.774
117,392,255,255,255,447.834,50.357,95.631,5.219,89.692
118,431,255,255,255,446.537,48.382,97.334,5.638,89.990
119,415,255,255,255,445.078,48.449,95.928,5.508,89.388
120,416,255,255,255,443.615,49.517,96.093,5.512,89.712
121,420,255,255,255,442.433,47.810,96.606,5.535,89.848
122,391,255,255,255,440.843,49.769,95.406,5.218,89.710
123,420,255,255,255,439.614,49.390,96.578,5.537,89.765
124,424,255,255,255,438.340,47.974,96.072,5.619,89.623
125,403,255,255,255,436.766,49.895,96.267,5.330,89.492
126,426,255,255,255,435.523,48.714,96.377,5.628,89.881
127,399,255,255,255,433.926,49.380,96.063,5.288,89.524
128,420,255,255,255,432.621,49.552,96.229,5.557,89.784
129,411,255,255,255,431.410,47.549,96.728,5.410,89.823
130,399,255,255,255,429.793,50.214,95.311,5.330,89.724
131,430,255,255,255,428.551,48.663,97.246,5.630,89.975
132,370,255,255,255,427.162,48.968,95.955,4.910,90.169
133,410,255,255,255,425.741,49.856,95.369,5.474,89.844
134,433,255,255,255,424.537,48.391,97.654,5.646,90.027
135,378,255,255,255,422.926,49.717,94.962,5.068,89.941
136,436,255,255,255,421.553,48.654,97.851,5.673,90.076
137,381,255,255,255,420.224,50.198,96.686,5.017,90.428
138,425,255,255,255,418.648,48.561,95.995,5.637,90.206
139,408,255,255,255,417.412,50.297,96.114,5.405,90.481
140,424,255,255,255,415.835,49.167,96.048,5.621,90.597
141,428,255,255,255,414.563,48.509,96.287,5.660,90.205
142,400,255,255,255,413.377,50.850,95.527,5.331,90.576
143,434,255,255,255,411.820,48.894,96.678,5.716,90.729
144,407,255,255,255,410.461,49.805,95.612,5.420,90.635
145,409,255,255,255,409.194,49.625,96.720,5.384,90.820
146,432,255,255,255,407.782,48.771,96.174,5.719,90.747
147,404,255,255,255,406.450,50.272,95.446,5.389,90.721
148,408,255,255,255,405.118,48.848,97.902,5.306,90.982
149,420,255,255,255,403.707,49.157,95.848,5.579,90.964
150,403,255,255,255,402.438,50.096,95.424,5.377,90.739
151,409,255,255,255,401.121,48.632,97.628,5.334,91.015
152,420,255,255,255,399.693,49.702,95.518,5.599,91.072
153,412,255,255,255,398.352,49.078,95.477,5.494,91.063
154,421,255,255,255,396.942,48.350,97.019,5.525,91.070
155,406,255,255,255,395.581,49.793,95.827,5.394,91.104
156,412,255,255,255,394.153,48.146,97.605,5.374,91.079
157,418,255,255,255,392.677,49.301,95.944,5.547,91.135
158,417,255,255,255,391.382,48.800,96.287,5.514,91.030
159,414,255,255,255,389.966,47.659,97.051,5.431,90.963
160,416,255,255,255,388.647,49.111,95.842,5.526,91.062
161,412,255,255,255,387.252,48.061,96.374,5.443,90.988
162,433,255,255,255,385.770,47.731,96.560,5.710,90.859
163,406,255,255,255,384.448,49.333,95.476,5.414,90.759
164,397,255,255,255,383.120,47.941,98.051,5.155,90.796
165,428,255,255,255,381.773,47.442,96.741,5.633,90.642
166,420,255,255,255,380.483,48.545,96.098,5.565,90.457
167,386,255,255,255,379.254,48.858,97.554,5.038,90.491
168,408,255,255,255,377.782,47.346,96.267,5.396,90.250
169,438,255,255,255,376.553,47.032,98.077,5.686,90.136
170,399,255,255,255,375.335,48.658,96.771,5.250,90.421
