 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle
1,309,255,255,255,625.364,77.772,74.925,5.251,89.729
2,318,255,255,255,623.535,78.349,75.398,5.370,89.991
3,322,255,255,255,621.615,77.705,75.535,5.428,89.848
4,322,255,255,255,619.714,77.953,75.303,5.444,89.893
5,307,255,255,255,617.953,78.425,75.918,5.149,89.697
6,307,255,255,255,616.301,77.393,75.390,5.185,89.753
7,313,255,255,255,614.554,77.650,74.569,5.344,89.967
8,319,255,255,255,612.641,77.249,75.106,5.408,89.816
9,301,255,255,255,610.872,78.108,74.670,5.132,89.646
10,302,255,255,255,609.159,77.636,75.084,5.121,89.618
11,301,255,255,255,607.447,77.191,74.683,5.132,89.806
12,318,255,255,255,605.591,77.154,75.224,5.382,89.886
13,317,255,255,255,603.683,76.860,74.811,5.395,89.775
14,301,255,255,255,601.919,77.998,74.773,5.125,89.677
15,290,255,255,255,600.259,76.807,74.803,4.936,89.792
16,313,255,255,255,598.548,77.299,74.679,5.336,89.976
17,318,255,255,255,596.645,76.748,75.238,5.381,89.806
18,299,255,255,255,594.901,77.477,74.967,5.078,89.713
19,285,255,255,255,593.188,77.054,75.084,4.833,89.914
20,302,255,255,255,591.447,76.715,75.009,5.126,89.899
21,316,255,255,255,589.601,76.921,74.575,5.395,90.103
22,319,255,255,255,587.719,76.638,74.524,5.450,89.984
23,290,255,255,255,586.045,76.928,75.913,4.864,90.045
24,296,255,255,255,584.368,76.311,75.621,4.984,90.002
25,313,255,255,255,582.573,76.826,74.660,5.338,90.102
26,322,255,255,255,580.714,76.770,75.077,5.461,90.233
27,282,255,255,255,579.096,76.766,76.162,4.714,90.156
28,303,255,255,255,577.424,76.130,75.035,5.141,90.080
29,312,255,255,255,575.577,76.314,74.159,5.357,90.201
30,322,255,255,255,573.699,76.618,75.230,5.450,90.375
31,288,255,255,255,572.049,76.542,75.580,4.852,90.214
32,287,255,255,255,570.294,75.674,75.689,4.828,90.224
33,316,255,255,255,568.554,75.766,74.695,5.386,90.323
34,322,255,255,255,566.727,76.155,74.822,5.479,90.349
35,277,255,255,255,565.146,75.594,76.661,4.601,90.326
36,319,255,255,255,563.522,75.453,75.627,5.371,90.368
37,328,255,255,255,561.634,75.421,76.378,5.468,90.555
38,312,255,255,255,559.817,74.962,74.988,5.298,90.566
39,279,255,255,255,558.206,75.443,76.263,4.658,90.434
40,320,255,255,255,556.572,74.741,75.471,5.399,90.253
41,324,255,255,255,554.707,75.688,75.889,5.436,90.375
42,285,255,255,255,553.104,74.756,75.853,4.784,90.343
43,317,255,255,255,551.528,74.661,75.144,5.371,90.345
44,322,255,255,255,549.658,75.484,75.723,5.414,90.528
45,307,255,255,255,547.862,74.565,74.195,5.268,90.623
46,281,255,255,255,546.244,74.372,75.514,4.738,90.387
47,318,255,255,255,544.594,74.915,74.596,5.428,90.557
48,323,255,255,255,542.667,75.042,75.013,5.482,90.628
49,289,255,255,255,541.064,74.351,75.792,4.855,90.476
50,316,255,255,255,539.497,73.737,75.323,5.342,90.377
51,328,255,255,255,537.674,73.832,76.613,5.451,90.348
52,296,255,255,255,535.990,73.760,75.991,4.960,90.296
53,307,255,255,255,534.412,73.493,76.083,5.138,90.334
54,323,255,255,255,532.621,73.385,75.847,5.422,90.412
55,318,255,255,255,530.824,73.248,76.080,5.322,90.314
56,284,255,255,255,529.176,72.824,77.965,4.638,90.310
57,322,255,255,255,527.531,72.534,75.842,5.406,90.322
