 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle
1,256,255,255,255,613.109,77.020,71.981,4.528,89.844
2,286,255,255,255,611.402,76.612,71.230,5.112,89.840
3,287,255,255,255,609.476,76.538,71.359,5.121,89.836
4,291,255,255,255,607.613,77.070,71.081,5.213,89.776
5,290,255,255,255,605.728,76.917,70.592,5.231,89.646
6,262,255,255,255,604.034,76.477,71.681,4.654,89.679
7,280,255,255,255,602.336,76.418,71.666,4.975,89.699
8,286,255,255,255,600.423,76.336,71.221,5.113,89.759
9,283,255,255,255,598.507,76.390,70.627,5.102,89.747
10,290,255,255,255,596.624,76.766,70.965,5.203,89.700
11,284,255,255,255,594.785,76.764,71.267,5.074,89.641
12,258,255,255,255,593.074,76.174,72.300,4.543,89.777
13,285,255,255,255,591.395,76.212,71.327,5.087,89.731
14,284,255,255,255,589.458,76.067,70.977,5.095,89.803
15,290,255,255,255,587.607,76.745,71.499,5.164,89.821
16,288,255,255,255,585.767,76.701,71.353,5.139,89.817
17,264,255,255,255,584.030,76.152,72.303,4.649,89.871
18,283,255,255,255,582.359,76.249,71.330,5.052,89.961
19,286,255,255,255,580.462,76.115,71.247,5.111,89.948
20,292,255,255,255,578.551,76.394,71.626,5.191,90.084
21,290,255,255,255,576.714,76.748,71.001,5.201,90.159
22,260,255,255,255,575.000,76.462,71.302,4.643,90.153
23,277,255,255,255,573.352,76.370,70.996,4.968,90.148
24,290,255,255,255,571.497,76.603,71.494,5.165,90.226
25,292,255,255,255,569.572,76.558,71.568,5.195,90.302
26,283,255,255,255,567.786,76.161,70.380,5.120,90.344
27,263,255,255,255,566.070,75.968,72.163,4.640,90.370
28,282,255,255,255,564.319,75.965,72.524,4.951,90.490
29,295,255,255,255,562.466,75.832,72.527,5.179,90.612
30,290,255,255,255,560.603,75.514,71.670,5.152,90.645
31,272,255,255,255,558.879,75.544,71.048,4.874,90.447
32,270,255,255,255,557.200,75.893,71.345,4.818,90.519
33,291,255,255,255,555.448,76.101,72.106,5.138,90.512
34,291,255,255,255,553.565,75.847,71.530,5.180,90.559
35,289,255,255,255,551.697,75.292,70.898,5.190,90.725
36,270,255,255,255,550.037,75.837,70.441,4.880,90.756
37,274,255,255,255,548.318,76.485,71.180,4.901,90.740
38,289,255,255,255,546.507,75.818,71.218,5.167,90.741
39,288,255,255,255,544.649,75.361,70.658,5.190,90.744
40,277,255,255,255,542.879,75.262,70.711,4.988,90.747
41,272,255,255,255,541.246,75.713,71.957,4.813,90.722
42,299,255,255,255,539.493,75.012,72.936,5.220,90.569
43,290,255,255,255,537.600,74.648,71.976,5.130,90.666
44,279,255,255,255,535.787,74.375,70.958,5.006,90.639
45,263,255,255,255,534.146,74.785,72.392,4.626,90.570
46,290,255,255,255,532.410,74.266,72.496,5.093,90.512
47,295,255,255,255,530.568,74.375,72.766,5.162,90.518
48,289,255,255,255,528.697,73.960,71.640,5.136,90.605
49,259,255,255,255,527.118,74.434,71.982,4.581,90.489
50,293,255,255,255,525.425,74.104,73.122,5.102,90.386
51,295,255,255,255,523.558,74.436,72.611,5.173,90.381
52,290,255,255,255,521.752,73.952,71.809,5.142,90.333
53,256,255,255,255,520.098,73.871,72.361,4.505,90.222
54,285,255,255,255,518.402,73.500,71.780,5.055,90.241
55,294,255,255,255,516.541,73.976,72.496,5.163,90.215
56,289,255,255,255,514.742,73.486,71.491,5.147,90.238
57,257,255,255,255,513.076,73.714,72.391,4.520,90.145
58,282,255,255,255,511.397,73.567,71.294,5.036,90.118
59,291,255,255,255,509.538,73.847,71.563,5.177,90.162
60,281,255,255,255,507.788,73.660,71.041,5.036,90.118
61,256,255,255,255,506.102,73.418,72.858,4.474,90.076
62,282,255,255,255,504.436,73.287,70.838,5.069,89.989
63,294,255,255,255,502.548,73.350,72.054,5.195,90.141
64,283,255,255,255,500.786,73.171,70.859,5.085,90.026
65,259,255,255,255,499.137,72.851,72.865,4.526,89.990
66,285,255,255,255,497.447,72.977,71.544,5.072,89.943
67,290,255,255,255,495.590,73.455,71.904,5.135,89.939
68,270,255,255,255,493.881,73.137,70.467,4.879,89.990
69,261,255,255,255,492.190,72.703,72.948,4.556,90.006
70,287,255,255,255,490.476,72.685,71.274,5.127,89.967
71,291,255,255,255,488.637,73.060,71.435,5.187,89.920
72,267,255,255,255,486.938,72.871,71.370,4.763,90.072
73,277,255,255,255,485.341,72.594,71.296,4.947,90.050
74,289,255,255,255,483.514,72.638,71.120,5.174,90.063
75,295,255,255,255,481.680,72.778,72.068,5.212,90.058
76,263,255,255,255,480.021,72.956,72.268,4.634,90.049
77,285,255,255,255,478.402,72.532,71.976,5.042,90.034
78,294,255,255,255,476.551,72.776,72.246,5.181,90.133
79,282,255,255,255,474.794,72.447,71.308,5.035,90.238
80,258,255,255,255,473.174,72.256,72.515,4.530,90.198
81,288,255,255,255,471.472,72.562,71.609,5.121,90.167
82,296,255,255,255,469.608,72.706,72.079,5.229,90.294
83,270,255,255,255,467.930,72.441,71.188,4.829,90.265
84,280,255,255,255,466.357,72.154,71.346,4.997,90.233
85,293,255,255,255,464.524,72.374,72.259,5.163,90.287
86,284,255,255,255,462.729,72.246,70.346,5.140,90.499
87,258,255,255,255,461.109,72.295,72.721,4.517,90.301
88,291,255,255,255,459.473,72.174,72.286,5.126,90.348
89,293,255,255,255,457.616,71.807,71.460,5.221,90.438
90,273,255,255,255,455.899,72.024,72.089,4.822,90.341
91,274,255,255,255,454.288,72.058,72.215,4.831,90.475
92,293,255,255,255,452.538,72.196,72.128,5.172,90.477
93,294,255,255,255,450.704,71.755,71.462,5.238,90.563
94,260,255,255,255,449.058,71.538,71.390,4.637,90.498
95,293,255,255,255,447.469,71.927,72.449,5.149,90.420
96,288,255,255,255,445.625,71.472,71.548,5.125,90.587
97,273,255,255,255,443.918,71.342,71.164,4.884,90.480
98,295,255,255,255,442.392,71.225,72.469,5.183,90.497
99,295,255,255,255,440.558,71.463,72.339,5.192,90.480
100,291,255,255,255,438.751,71.098,71.165,5.206,90.561
101,276,255,255,255,437.293,71.504,71.340,4.926,90.412
102,293,255,255,255,435.497,71.538,72.703,5.131,90.390
103,295,255,255,255,433.663,70.886,71.519,5.252,90.540
104,263,255,255,255,432.078,70.949,72.835,4.598,90.420
105,290,255,255,255,430.448,70.976,72.201,5.114,90.336
106,295,255,255,255,428.642,70.608,71.237,5.273,90.494
107,270,255,255,255,426.978,70.478,71.282,4.823,90.360
108,288,255,255,255,425.431,70.861,71.922,5.098,90.351
109,297,255,255,255,423.567,71.042,72.597,5.209,90.394
110,285,255,255,255,421.816,70.198,70.982,5.112,90.306
111,275,255,255,255,420.300,70.573,71.595,4.891,90.358
112,294,255,255,255,418.531,70.558,72.278,5.179,90.263
113,289,255,255,255,416.753,70.119,71.032,5.180,90.348
114,268,255,255,255,415.187,70.369,72.511,4.706,90.336
115,297,255,255,255,413.510,70.268,73.193,5.167,90.254
116,302,255,255,255,411.682,69.964,72.332,5.316,90.292
117,263,255,255,255,410.146,70.150,72.687,4.607,90.274
118,295,255,255,255,408.490,69.873,72.562,5.176,90.220
119,302,255,255,255,406.649,69.735,71.923,5.346,90.201
120,268,255,255,255,405.041,69.832,72.301,4.720,90.123
121,290,255,255,255,403.434,69.452,71.519,5.163,90.122
122,299,255,255,255,401.634,69.557,71.796,5.302,90.158
123,269,255,255,255,399.961,69.838,71.917,4.762,90.107
124,286,255,255,255,398.423,69.402,71.585,5.087,90.075
125,298,255,255,255,396.597,69.802,72.725,5.217,90.124
126,278,255,255,255,394.924,69.763,71.776,4.931,90.074
127,286,255,255,255,393.416,69.213,71.948,5.061,90.051
128,299,255,255,255,391.577,69.731,72.757,5.232,90.199
129,279,255,255,255,389.880,69.608,70.717,5.023,90.091
130,286,255,255,255,388.409,68.979,71.964,5.060,90.047
131,300,255,255,255,386.587,69.567,72.370,5.278,90.209
132,281,255,255,255,384.884,69.422,70.775,5.055,90.141
133,284,255,255,255,383.412,69.204,71.819,5.035,90.117
134,301,255,255,255,381.600,69.457,72.229,5.306,90.214
135,281,255,255,255,379.888,69.219,70.970,5.041,90.164
136,291,255,255,255,378.428,69.091,72.422,5.116,90.122
137,297,255,255,255,376.591,69.153,72.225,5.236,90.236
138,281,255,255,255,374.870,69.119,70.876,5.048,90.203
139,291,255,255,255,373.452,69.036,72.160,5.135,90.214
140,297,255,255,255,371.614,69.281,71.778,5.268,90.343
141,282,255,255,255,369.911,69.291,71.270,5.038,90.249
142,292,255,255,255,368.466,68.671,72.032,5.161,90.356
143,303,255,255,255,366.625,68.985,72.336,5.333,90.418
144,279,255,255,255,364.948,68.801,71.110,4.996,90.286
145,291,255,255,255,363.459,68.747,71.883,5.154,90.278
146,300,255,255,255,361.640,68.500,71.939,5.310,90.494
147,276,255,255,255,360.004,68.623,70.982,4.951,90.364
148,292,255,255,255,358.486,68.846,72.086,5.158,90.396
149,296,255,255,255,356.625,68.405,71.847,5.246,90.513
150,264,255,255,255,355.068,68.636,71.739,4.686,90.315
151,292,255,255,255,353.486,68.846,72.086,5.158,90.396
152,290,255,255,255,351.666,68.090,71.304,5.178,90.547
153,258,255,255,255,350.132,68.295,73.234,4.486,90.386
154,294,255,255,255,348.497,68.051,72.531,5.161,90.438
155,292,255,255,255,346.682,67.866,71.559,5.195,90.657
156,256,255,255,255,345.148,68.117,72.615,4.489,90.394
157,291,255,255,255,343.500,68.167,71.998,5.146,90.370
158,292,255,255,255,341.723,67.575,71.608,5.192,90.485
159,264,255,255,255,340.208,67.879,72.173,4.657,90.456
160,295,255,255,255,338.520,67.981,72.394,5.188,90.426
161,291,255,255,255,336.771,67.201,71.426,5.187,90.366
162,275,255,255,255,335.296,67.482,72.021,4.862,90.426
163,296,255,255,255,333.568,67.554,71.879,5.243,90.347
164,284,255,255,255,331.817,67.292,70.978,5.095,90.317
165,285,255,255,255,330.374,67.275,71.408,5.082,90.244
166,296,255,255,255,328.568,67.307,71.892,5.242,90.350
167,280,255,255,255,326.900,67.454,71.432,4.991,90.223
168,287,255,255,255,325.427,66.963,72.272,5.056,90.195
169,299,255,255,255,323.620,67.176,71.889,5.296,90.360
170,269,255,255,255,321.965,66.954,71.035,4.822,90.277
171,286,255,255,255,320.434,66.462,71.324,5.106,90.118
172,300,255,255,255,318.650,66.553,71.853,5.316,90.293
173,259,255,255,255,317.068,66.693,72.199,4.568,90.185
174,289,255,255,255,315.479,66.631,71.664,5.135,90.191
175,301,255,255,255,313.673,66.274,71.674,5.347,90.294
176,258,255,255,255,312.159,66.403,72.638,4.522,90.186
177,293,255,255,255,310.507,66.363,72.231,5.165,90.214
178,301,255,255,255,308.706,66.277,71.627,5.351,90.296
179,271,255,255,255,307.245,66.430,72.472,4.761,90.312
180,300,255,255,255,305.557,66.373,72.418,5.275,90.208
181,281,255,255,255,303.859,66.425,71.094,5.033,90.169
182,285,255,255,255,302.391,66.065,71.789,5.055,90.117
183,295,255,255,255,300.568,66.320,71.747,5.235,90.231
184,278,255,255,255,298.932,66.396,71.860,4.926,90.180
185,289,255,255,255,297.452,66.054,72.027,5.109,90.166
186,299,255,255,255,295.647,66.005,71.451,5.328,90.224
187,266,255,255,255,294.034,65.989,72.121,4.696,90.218
188,294,255,255,255,292.497,66.048,72.255,5.181,90.260
189,298,255,255,255,290.691,65.570,71.442,5.311,90.332
190,264,255,255,255,289.117,65.451,72.874,4.613,90.150
191,293,255,255,255,287.514,65.807,71.985,5.182,90.285
192,291,255,255,255,285.771,65.469,71.354,5.193,90.295
193,279,255,255,255,284.332,65.099,71.838,4.945,90.194
194,296,255,255,255,282.551,65.510,72.319,5.211,90.319
195,285,255,255,255,280.823,65.409,71.187,5.097,90.343
196,287,255,255,255,279.395,65.308,72.338,5.052,90.180
197,296,255,255,255,277.598,65.544,71.747,5.253,90.484
198,273,255,255,255,275.936,65.211,71.717,4.847,90.306
199,287,255,255,255,274.437,65.267,71.993,5.076,90.203
200,297,255,255,255,272.641,65.190,71.785,5.268,90.508
201,264,255,255,255,271.072,65.341,71.974,4.670,90.330
202,295,255,255,255,269.503,65.181,72.724,5.165,90.348
203,294,255,255,255,267.721,64.653,71.792,5.214,90.523
204,261,255,255,255,266.186,64.665,72.549,4.581,90.340
205,295,255,255,255,264.534,65.147,72.420,5.187,90.427
206,292,255,255,255,262.784,64.627,71.947,5.167,90.483
207,274,255,255,255,261.343,64.971,71.122,4.905,90.322
208,296,255,255,255,259.584,64.672,71.719,5.255,90.482
209,270,255,255,255,257.963,64.759,71.143,4.832,90.351
210,292,255,255,255,256.466,64.829,71.975,5.165,90.305
211,292,255,255,255,254.640,64.623,70.922,5.242,90.498
212,259,255,255,255,253.110,64.662,72.002,4.580,90.312
