 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle
1,314,255,255,255,596.939,92.608,74.287,5.382,89.111
2,310,255,255,255,595.129,92.323,74.728,5.282,89.039
3,307,255,255,255,593.458,91.862,75.044,5.209,89.277
4,318,255,255,255,591.588,91.796,75.868,5.337,89.420
5,314,255,255,255,589.637,92.360,75.168,5.319,89.509
6,307,255,255,255,587.757,92.878,74.461,5.250,89.330
7,307,255,255,255,586.002,93.125,74.914,5.218,89.056
8,301,255,255,255,584.384,92.058,75.297,5.090,89.292
9,317,255,255,255,582.595,92.276,75.606,5.338,89.480
10,316,255,255,255,580.668,92.677,75.700,5.315,89.516
11,312,255,255,255,578.795,93.269,74.694,5.318,89.362
12,305,255,255,255,576.956,93.310,74.779,5.193,89.185
13,302,255,255,255,575.295,92.464,75.260,5.109,89.357
14,314,255,255,255,573.554,93.038,75.135,5.321,89.692
15,317,255,255,255,571.632,92.913,75.552,5.342,89.667
16,311,255,255,255,569.783,93.818,74.825,5.292,89.593
17,288,255,255,255,568.188,92.997,74.842,4.900,89.579
18,317,255,255,255,566.560,93.298,75.669,5.334,89.808
19,320,255,255,255,564.672,93.353,76.019,5.360,89.808
20,310,255,255,255,562.787,93.406,74.358,5.308,89.757
21,291,255,255,255,560.998,93.321,74.104,5.000,89.773
22,315,255,255,255,559.506,93.249,75.318,5.325,89.883
23,318,255,255,255,557.619,93.503,75.740,5.346,89.983
24,320,255,255,255,555.741,93.447,74.728,5.452,90.035
25,292,255,255,255,554.301,93.945,74.632,4.982,90.270
26,314,255,255,255,552.570,93.764,74.700,5.352,90.155
27,317,255,255,255,550.651,93.822,74.762,5.399,90.249
28,306,255,255,255,548.784,93.552,73.123,5.328,90.547
29,313,255,255,255,547.161,93.724,74.155,5.374,90.958
30,315,255,255,255,545.497,93.849,75.689,5.299,90.560
31,318,255,255,255,543.642,93.761,75.171,5.386,90.550
32,307,255,255,255,541.819,93.428,73.113,5.346,90.890
33,310,255,255,255,540.187,93.745,74.292,5.313,91.206
34,318,255,255,255,538.566,93.538,75.438,5.367,90.713
35,312,255,255,255,536.772,93.173,74.243,5.351,90.923
36,313,255,255,255,535.129,93.481,74.357,5.360,91.204
