 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle
1,339,255,255,255,617.940,81.279,79.755,5.412,86.045
2,335,255,255,255,616.076,81.631,79.202,5.385,86.062
3,341,255,255,255,614.348,81.312,80.157,5.417,85.738
4,343,255,255,255,612.550,81.430,79.959,5.462,85.532
5,339,255,255,255,610.745,82.246,80.028,5.393,85.722
6,340,255,255,255,608.938,82.388,79.764,5.427,85.959
7,335,255,255,255,607.085,82.858,79.145,5.389,86.083
8,332,255,255,255,605.235,83.151,79.101,5.344,86.202
9,327,255,255,255,603.583,83.310,78.349,5.314,86.605
10,345,255,255,255,601.877,83.468,79.765,5.507,86.456
11,341,255,255,255,600.084,83.790,79.716,5.446,86.519
12,333,255,255,255,598.314,84.497,79.885,5.308,86.963
13,334,255,255,255,596.458,85.033,79.647,5.339,87.223
14,332,255,255,255,594.666,85.295,79.466,5.319,87.237
15,336,255,255,255,592.943,86.170,79.857,5.357,87.936
16,333,255,255,255,591.137,86.386,79.224,5.352,88.243
17,333,255,255,255,589.317,87.761,79.399,5.340,88.606
18,319,255,255,255,587.694,86.939,78.861,5.150,88.861
19,347,255,255,255,586.079,87.860,79.944,5.527,89.093
20,326,255,255,255,584.347,86.883,79.507,5.221,89.279
21,347,255,255,255,582.615,88.048,79.897,5.530,89.862
22,334,255,255,255,580.796,88.826,79.589,5.343,89.973
23,296,255,255,255,579.081,88.419,80.153,4.702,90.127
24,348,255,255,255,577.552,88.971,81.175,5.458,90.515
25,344,255,255,255,575.619,88.515,79.886,5.483,90.572
26,338,255,255,255,573.929,89.186,80.135,5.370,91.192
27,324,255,255,255,572.414,90.099,80.539,5.122,91.081
28,335,255,255,255,570.572,88.554,78.301,5.447,90.791
29,346,255,255,255,568.902,89.662,79.826,5.519,91.474
30,334,255,255,255,567.192,89.362,79.676,5.337,91.647
31,331,255,255,255,565.476,90.002,79.535,5.299,91.576
32,341,255,255,255,563.784,89.386,79.627,5.453,91.644
33,333,255,255,255,562.035,88.893,79.567,5.329,91.832
34,336,255,255,255,560.315,89.205,80.000,5.348,92.039
35,330,255,255,255,558.715,89.624,79.261,5.301,91.816
36,327,255,255,255,557.023,88.417,79.485,5.238,91.798
37,331,255,255,255,555.400,88.965,80.050,5.265,91.825
38,345,255,255,255,553.883,89.129,79.506,5.525,91.711
39,335,255,255,255,552.216,88.360,80.144,5.322,91.728
40,326,255,255,255,550.518,88.988,79.408,5.227,91.330
41,347,255,255,255,548.823,88.316,79.993,5.523,91.428
42,336,255,255,255,547.161,88.098,80.207,5.334,91.509
43,330,255,255,255,545.470,88.358,80.283,5.234,91.022
44,339,255,255,255,543.674,86.993,79.109,5.456,90.681
45,314,255,255,255,542.318,88.672,81.260,4.920,90.878
46,345,255,255,255,540.567,87.303,80.486,5.458,90.510
47,341,255,255,255,538.699,86.532,78.757,5.513,90.234
48,294,255,255,255,537.133,86.827,79.733,4.695,90.212
49,352,255,255,255,535.585,86.858,81.232,5.517,90.302
50,349,255,255,255,533.683,86.686,80.176,5.542,90.036
51,320,255,255,255,531.984,86.513,78.817,5.169,89.587
52,323,255,255,255,530.413,84.506,79.889,5.148,89.545
53,350,255,255,255,528.700,86.700,80.648,5.526,89.844
54,347,255,255,255,527.088,86.048,79.847,5.533,89.169
55,317,255,255,255,525.424,84.746,79.665,5.066,89.211
56,327,255,255,255,523.864,85.659,79.735,5.222,88.933
57,346,255,255,255,522.202,85.697,80.620,5.464,88.761
58,329,255,255,255,520.631,85.631,79.797,5.250,88.634
59,343,255,255,255,519.013,85.354,80.261,5.441,88.499
60,341,255,255,255,517.216,86.248,80.832,5.371,88.446
61,333,255,255,255,515.644,86.128,80.486,5.268,88.180
62,347,255,255,255,514.030,85.451,80.788,5.469,88.340
63,332,255,255,255,512.205,86.440,80.418,5.256,88.167
64,335,255,255,255,510.569,86.473,80.101,5.325,87.827
65,345,255,255,255,509.039,85.784,80.341,5.468,88.096
66,336,255,255,255,507.280,86.312,80.266,5.330,87.891
67,340,255,255,255,505.585,86.518,80.331,5.389,87.816
68,341,255,255,255,504.057,86.433,80.300,5.407,88.199
69,330,255,255,255,502.239,86.991,79.605,5.278,88.055
70,339,255,255,255,500.568,86.919,80.006,5.395,88.169
71,340,255,255,255,499.029,86.550,80.604,5.371,88.326
72,335,255,255,255,497.204,87.396,79.215,5.385,88.409
73,330,255,255,255,495.597,87.121,79.854,5.262,88.549
74,339,255,255,255,494.022,86.940,79.794,5.409,88.520
75,343,255,255,255,492.261,87.873,80.390,5.433,88.812
76,322,255,255,255,490.671,87.553,78.986,5.191,88.946
77,353,255,255,255,489.103,88.290,80.312,5.596,89.102
78,322,255,255,255,487.441,86.916,80.239,5.110,89.362
79,339,255,255,255,485.774,89.096,80.241,5.379,89.700
80,332,255,255,255,484.099,88.373,79.911,5.290,89.441
81,343,255,255,255,482.520,88.109,80.452,5.428,89.902
82,345,255,255,255,480.729,89.057,80.435,5.461,90.013
