 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle
1,361,139.305,108,195,623.081,97.132,87.781,5.236,90.059
2,383,141.433,107,195,621.465,95.446,88.420,5.515,89.814
3,362,137.704,106,195,619.913,97.573,88.128,5.230,89.497
4,388,141.008,105,195,618.222,95.045,89.239,5.536,89.113
5,360,137.011,105,195,616.529,96.853,88.329,5.189,88.854
6,389,141.013,105,195,615.095,94.197,88.952,5.568,88.632
7,370,137.916,105,195,613.268,96.008,88.815,5.304,88.582
8,387,140.798,105,195,611.755,94.678,88.693,5.556,88.195
9,377,138.570,103,195,610.057,94.967,88.158,5.445,88.078
10,370,137.422,103,195,608.492,94.666,89.132,5.285,87.807
11,388,139.637,103,195,606.842,94.247,88.358,5.591,87.800
12,376,136.923,102,195,605.265,94.234,89.130,5.371,87.406
13,379,137.385,101,195,603.657,94.422,88.337,5.463,87.257
14,381,137.593,103,195,602.105,94.854,88.845,5.460,87.223
15,376,136.404,102,194,600.364,94.223,89.891,5.326,87.241
16,382,137.147,101,195,598.715,94.610,88.202,5.514,87.067
17,384,136.760,100,195,597.133,95.176,89.726,5.449,87.139
18,377,135.363,100,195,595.513,94.951,88.753,5.408,87.074
19,377,135.605,101,195,593.938,94.816,88.729,5.410,87.061
20,379,135.464,101,195,592.285,95.784,90.027,5.360,87.140
21,383,135.723,100,195,590.684,95.677,88.283,5.524,86.983
22,386,136.093,100,195,589.171,96.134,89.947,5.464,87.130
23,385,136.132,100,195,587.533,95.273,89.201,5.495,87.265
24,383,135.914,100,195,585.872,96.636,89.079,5.474,87.467
25,379,135.230,101,195,584.225,96.848,89.737,5.377,87.508
26,388,136.420,101,195,582.686,96.306,88.583,5.577,87.625
27,380,135.158,100,195,580.974,98.285,87.999,5.498,87.828
28,372,134.239,102,195,579.465,97.840,89.315,5.303,87.842
29,394,136.914,100,195,577.861,97.462,89.083,5.631,88.098
30,367,132.507,100,195,576.280,99.608,88.527,5.278,88.396
31,394,136.784,100,195,574.901,98.074,89.200,5.624,88.228
32,389,136.257,100,195,573.154,98.583,90.093,5.498,88.861
33,362,132.298,102,195,571.535,100.896,88.672,5.198,88.867
34,393,136.473,100,195,570.183,99.267,90.056,5.556,89.043
35,392,136.724,101,195,568.384,99.821,89.875,5.553,89.493
36,365,132.392,101,195,567.002,101.720,88.444,5.255,89.547
37,395,136.944,102,195,565.520,100.369,89.644,5.610,89.968
38,374,133.861,101,195,563.896,100.820,89.045,5.348,90.076
39,388,135.593,102,194,562.434,101.516,89.355,5.529,90.301
40,384,135.096,100,195,560.796,100.412,89.426,5.467,90.368
41,381,134.701,101,195,559.322,102.140,89.739,5.406,90.628
42,372,134.032,102,195,557.726,100.926,88.042,5.380,90.795
43,387,136.075,101,195,556.125,101.077,90.459,5.447,91.065
44,375,134.843,103,195,554.457,100.961,87.974,5.427,91.241
45,385,135.919,102,195,553.016,101.918,89.863,5.455,91.416
46,383,136.441,103,195,551.277,100.756,89.322,5.459,91.413
47,386,136.510,102,195,549.943,102.011,89.639,5.483,91.689
48,377,135.408,103,195,548.219,100.956,89.124,5.386,91.687
49,386,135.896,102,195,546.961,102.180,90.152,5.452,91.764
50,372,134.774,103,195,545.357,100.011,88.973,5.323,91.793
51,386,136.751,103,195,543.934,101.851,89.860,5.469,91.821
52,370,134.941,103,195,542.230,100.841,89.251,5.278,91.869
53,392,138.270,103,194,540.801,101.334,89.803,5.558,92.092
54,372,135.210,103,195,539.076,100.370,89.252,5.307,91.880
55,385,137.416,103,195,537.855,100.956,89.525,5.476,92.013
56,374,136.612,103,195,536.246,100.189,89.340,5.330,91.887
57,384,136.961,102,195,534.891,100.744,89.311,5.474,91.926
58,382,136.359,103,195,533.101,100.352,89.673,5.424,91.517
59,382,136.099,103,195,531.898,100.283,88.977,5.466,91.774
60,389,136.519,103,195,530.090,99.509,90.623,5.465,91.372
61,371,134.151,102,195,528.719,98.505,88.408,5.343,91.583
62,387,135.643,102,195,527.037,98.677,89.695,5.494,91.348
63,386,135.593,102,195,525.304,98.893,89.517,5.490,90.994
64,393,136.791,102,195,524.071,97.943,89.977,5.561,91.181
65,384,135.484,101,195,522.333,98.873,89.502,5.463,90.720
66,386,136.179,100,195,520.907,96.667,89.117,5.515,90.686
67,386,135.298,102,195,519.388,97.994,89.332,5.502,90.493
68,381,135.241,102,195,517.911,97.294,89.551,5.417,90.276
69,396,137.679,102,195,516.504,96.176,89.921,5.607,90.024
70,372,133.997,103,195,515.006,97.327,89.376,5.299,89.725
71,395,137.463,102,195,513.436,96.096,89.724,5.605,89.658
72,366,132.781,103,195,511.995,97.397,89.371,5.214,89.553
73,391,136.524,103,195,510.403,95.326,89.656,5.553,89.540
74,387,135.979,102,194,509.226,95.456,89.845,5.484,89.094
75,379,135.148,103,195,507.509,96.490,89.074,5.417,89.168
76,390,135.685,101,194,506.211,95.009,90.269,5.501,88.946
77,375,133.733,102,195,504.460,97.169,88.791,5.377,88.761
