 ,XM,YM,Major,Minor,Angle
1,233.444,21.910,26.701,2.174,94.387
2,232.728,21.551,25.158,2.171,93.917
3,232.047,21.379,26.801,2.166,94.482
4,231.338,21.302,24.619,2.161,94.047
5,230.660,21.068,26.816,2.175,94.492
6,229.978,21.005,25.059,2.055,94.087
7,229.254,20.674,26.595,2.193,94.502
8,228.604,20.754,26.121,2.059,94.172
9,227.863,20.236,26.651,2.253,94.479
10,227.243,20.600,26.687,2.079,94.286
11,226.459,19.798,26.280,2.274,94.457
12,225.856,20.261,26.789,2.124,94.385
13,225.126,19.966,25.019,2.206,94.162
14,224.463,19.836,26.656,2.178,94.378
15,223.761,19.638,25.285,2.161,93.764
16,223.093,19.522,27.041,2.178,94.263
17,222.396,19.040,26.273,2.036,93.476
18,221.747,19.407,25.728,2.234,93.990
19,221.003,18.804,26.388,2.049,93.374
20,220.407,19.262,25.987,2.223,93.406
21,219.645,18.653,26.004,2.090,93.000
22,219.032,18.767,26.237,2.180,93.296
23,218.316,18.765,25.818,2.193,93.378
24,217.675,18.500,26.486,2.084,93.201
25,217.034,18.677,25.677,2.261,93.271
26,216.295,18.084,26.506,2.093,93.090
27,215.691,18.386,26.317,2.281,93.196
28,214.926,18.016,25.453,2.157,92.942
29,214.338,18.153,26.297,2.175,93.155
30,213.680,18.173,25.450,2.325,93.336
31,212.962,17.680,26.850,2.109,93.076
32,212.369,18.061,26.185,2.260,93.251
33,211.606,17.345,26.349,2.138,93.070
34,210.989,17.678,26.246,2.190,93.366
35,210.256,17.112,25.418,2.160,93.185
36,209.646,17.218,26.875,2.075,93.192
37,209.042,17.568,26.069,2.237,93.261
38,208.262,16.828,26.366,2.072,93.196
39,207.681,17.095,26.403,2.209,93.285
40,206.916,16.675,24.825,2.132,93.061
41,206.327,16.796,26.587,2.140,93.103
42,205.713,17.128,26.084,2.247,93.257
43,204.943,16.382,26.212,2.106,93.160
44,204.365,16.784,26.094,2.224,93.355
45,203.681,16.714,26.168,2.218,93.561
46,203.028,16.283,26.738,2.107,93.160
47,202.429,16.721,25.810,2.315,93.375
48,201.659,16.124,25.722,2.091,93.066
49,201.074,16.200,26.382,2.189,93.220
50,200.442,16.177,25.471,2.279,93.241
51,199.726,15.813,26.719,2.130,92.990
52,199.134,16.135,26.550,2.304,93.038
53,198.421,15.622,25.711,2.125,92.337
54,197.844,15.876,26.351,2.170,92.569
55,197.113,15.397,25.959,2.137,92.105
56,196.474,15.599,26.152,2.143,92.435
57,195.871,15.692,26.695,2.270,92.593
58,195.164,15.302,26.221,2.073,92.075
59,194.564,15.513,26.196,2.161,92.517
60,193.885,15.150,25.849,2.168,92.316
61,193.239,15.142,26.468,2.085,92.100
62,192.647,15.523,25.992,2.178,92.480
63,191.918,14.851,25.953,2.083,91.923
64,191.310,15.115,26.302,2.077,92.276
65,190.702,15.231,26.774,2.168,92.594
66,189.980,14.795,26.407,2.026,92.112
67,189.369,14.898,26.323,2.151,92.510
68,188.758,14.898,26.830,2.206,92.843
69,188.045,14.556,26.391,2.038,92.302
70,187.430,14.662,26.738,2.128,92.878
71,186.812,14.658,26.287,2.219,92.893
72,186.112,14.554,25.911,2.064,92.579
73,185.523,14.601,26.790,2.114,92.991
74,184.829,14.215,25.761,2.087,92.687
75,184.181,14.353,25.775,2.086,92.932
76,183.604,14.380,26.711,2.130,93.051
77,182.864,13.948,25.495,1.998,92.395
78,182.277,14.205,25.993,2.091,92.893
79,181.669,14.224,26.146,2.198,93.053
80,180.946,13.869,25.392,2.017,92.525
81,180.347,13.867,26.834,2.099,93.107
82,179.746,13.945,26.251,2.211,93.208
83,179.007,13.556,25.410,2.083,92.884
84,178.439,13.614,26.798,2.092,93.098
85,177.857,13.924,25.908,2.229,93.264
86,177.099,13.375,25.501,2.053,93.114
87,176.548,13.534,26.834,2.046,93.280
88,175.944,13.883,25.969,2.169,93.507
89,175.188,13.110,25.662,2.040,93.309
90,174.652,13.450,26.241,2.082,93.389
91,174.046,13.654,25.428,2.182,93.696
92,173.276,12.623,25.753,2.066,93.410
93,172.756,13.229,26.043,2.076,93.351
94,172.144,13.446,25.393,2.163,93.447
95,171.429,12.926,25.247,2.085,92.947
96,170.877,13.064,26.226,2.094,93.034
97,170.174,12.823,25.456,2.090,92.284
98,169.590,13.177,25.633,2.076,92.261
99,169.013,13.012,25.460,2.202,92.116
100,168.340,13.032,25.184,2.011,91.595
101,167.724,13.030,25.752,2.110,91.693
102,167.139,13.184,25.481,2.177,91.277
103,166.468,12.841,24.961,1.995,90.982
104,165.857,12.952,24.523,2.170,91.144
105,165.260,12.812,24.486,2.196,91.020
106,164.637,12.929,25.363,2.030,90.707
107,164.024,13.521,25.897,2.142,91.267
108,163.385,13.466,25.742,2.211,90.987
109,162.802,13.546,25.613,2.133,90.960
110,162.149,13.490,25.496,2.120,91.259
111,161.540,13.513,25.712,2.202,91.500
112,160.953,13.480,26.227,2.224,91.613
113,160.283,13.424,25.163,2.092,91.759
114,159.674,13.399,25.997,2.112,92.112
115,159.108,13.774,25.902,2.153,92.612
116,158.501,13.559,26.212,2.258,92.945
117,157.800,13.396,25.272,2.027,92.519
118,157.190,13.299,26.412,2.079,93.241
119,156.625,13.534,25.638,2.208,93.513
120,156.010,13.736,25.571,2.214,93.862
121,155.302,12.796,26.006,2.057,93.383
122,154.752,13.303,25.674,2.161,93.514
123,154.162,13.720,24.993,2.152,93.816
124,153.430,12.787,25.545,2.049,93.375
125,152.916,13.231,26.458,2.065,93.260
126,152.313,13.444,25.758,2.154,93.314
127,151.629,13.206,24.933,2.043,92.555
128,151.063,13.410,25.642,2.097,92.922
129,150.482,13.335,26.380,2.146,92.865
130,149.785,13.108,25.829,2.016,92.161
131,149.222,13.327,25.796,2.151,92.128
132,148.647,13.553,25.414,2.172,92.101
133,147.954,13.220,25.799,2.062,91.739
134,147.377,13.395,26.033,2.131,91.749
135,146.814,13.425,25.892,2.165,91.646
136,146.173,13.356,25.590,2.024,91.480
137,145.585,13.462,25.471,2.067,91.578
138,145.021,13.407,26.071,2.128,91.648
139,144.477,13.684,26.155,2.165,91.734
140,143.897,13.770,25.304,2.148,91.929
141,143.210,13.254,25.806,2.073,91.948
142,142.659,13.463,26.144,2.057,92.140
143,142.095,13.660,25.519,2.163,92.588
144,141.527,13.735,26.206,2.193,92.755
145,140.831,13.203,25.628,2.043,92.348
146,140.257,13.613,25.573,2.058,92.701
147,139.709,13.514,26.506,2.093,93.059
148,139.177,13.520,26.610,2.117,93.052
149,138.595,13.715,26.234,2.202,93.017
150,137.936,13.417,25.625,1.999,92.488
151,137.388,13.730,25.871,2.101,92.787
152,136.835,13.701,26.930,2.103,92.990
153,136.236,13.699,26.410,2.209,93.035
154,135.547,13.410,25.086,2.064,92.507
155,134.992,13.544,25.698,2.126,92.779
156,134.457,13.657,26.312,2.163,92.688
157,133.827,13.318,25.742,2.166,92.372
158,133.220,13.292,26.225,2.105,91.969
159,132.679,13.615,25.955,2.149,92.008
160,132.124,13.755,26.082,2.193,91.970
161,131.449,13.433,25.368,1.996,91.626
162,130.887,13.394,26.404,2.080,91.866
163,130.318,13.616,26.033,2.131,91.946
164,129.746,13.656,26.010,2.177,91.929
165,129.169,13.606,25.483,2.054,91.709
166,128.572,13.483,26.042,2.043,91.815
167,128.033,13.455,26.211,2.041,91.951
168,127.505,13.599,26.193,2.075,92.048
169,126.960,13.778,25.927,2.173,92.305
170,126.417,14.003,25.777,2.163,92.417
171,125.710,13.270,25.898,2.054,92.047
172,125.173,13.638,26.073,2.063,92.156
173,124.603,13.652,25.955,2.171,92.218
174,124.049,13.875,25.726,2.157,92.020
175,123.408,13.384,25.876,1.990,91.729
176,122.874,13.488,26.013,2.067,91.943
177,122.339,13.497,26.321,2.076,92.015
178,121.812,13.799,25.936,2.128,92.063
179,121.275,13.868,26.280,2.187,92.192
180,120.711,14.037,25.825,2.159,92.089
181,120.048,13.490,26.456,2.033,91.988
182,119.487,13.659,26.113,2.070,92.183
183,118.939,13.720,25.598,2.168,92.466
184,118.405,14.088,26.140,2.166,92.437
185,117.757,13.389,25.955,2.039,92.207
186,117.180,13.277,26.471,1.999,92.057
187,116.655,13.792,26.539,2.048,92.115
188,116.107,13.791,25.854,2.157,92.288
189,115.560,14.114,25.989,2.179,92.494
190,114.874,13.324,26.051,2.010,92.153
191,114.317,13.586,26.464,2.011,92.109
192,113.776,13.844,25.956,2.105,92.237
193,113.244,13.974,25.960,2.170,92.468
194,112.696,13.887,25.507,2.153,92.393
195,112.025,13.036,25.048,2.090,92.063
196,111.502,13.505,26.258,2.070,91.954
197,110.968,13.859,26.301,2.066,92.189
198,110.410,14.025,25.879,2.144,92.630
199,109.846,13.921,26.448,2.119,92.655
200,109.168,13.267,26.074,2.008,92.049
201,108.633,13.634,26.165,2.044,92.168
202,108.101,13.950,26.002,2.101,92.249
203,107.554,14.036,25.702,2.137,92.550
204,106.976,13.819,25.518,2.085,92.239
205,106.332,13.485,26.183,2.021,91.947
206,105.797,13.757,26.713,2.002,92.152
207,105.249,13.820,26.189,2.129,92.263
208,104.713,14.214,26.010,2.155,92.441
209,104.075,13.664,25.591,2.001,91.976
210,103.480,13.495,26.459,2.032,92.048
211,102.942,13.809,26.575,2.034,92.134
212,102.411,13.906,25.733,2.123,92.281
213,101.879,14.236,26.104,2.147,92.425
214,101.208,13.636,25.687,2.049,91.945
215,100.636,13.448,26.247,2.049,91.995
216,100.096,13.780,26.197,2.053,92.172
217,99.556,13.926,25.944,2.161,92.266
218,98.999,14.016,25.619,2.155,92.170
219,98.371,13.693,25.618,1.999,91.627
220,97.807,13.632,26.143,2.035,91.818
221,97.265,13.732,26.412,2.122,91.740
222,96.725,13.974,26.098,2.159,91.735
223,96.133,13.806,26.003,2.112,91.511
224,95.525,13.852,26.059,1.998,91.490
225,94.973,13.711,26.372,2.071,91.670
226,94.424,13.816,26.203,2.139,91.666
227,93.869,13.866,25.881,2.155,91.456
228,93.296,13.756,26.106,2.093,91.406
229,92.704,13.832,26.167,1.957,91.477
230,92.135,13.859,26.659,2.039,91.770
231,91.597,13.896,26.610,2.064,91.889
232,91.049,14.065,26.347,2.171,91.927
233,90.483,14.011,25.797,2.151,91.962
234,89.830,13.853,25.719,2.036,91.679
235,89.288,13.726,26.324,2.075,91.849
236,88.746,13.985,26.351,2.084,91.996
237,88.210,13.985,26.373,2.169,92.002
238,87.642,14.155,25.661,2.151,91.999
239,86.988,13.749,25.410,2.049,91.683
240,86.446,13.796,26.125,2.102,91.829
241,85.907,13.919,26.499,2.126,91.755
242,85.350,14.023,26.177,2.185,91.645
243,84.753,13.821,26.089,2.039,91.421
244,84.172,13.981,25.928,2.030,91.400
245,83.622,14.050,25.964,2.082,91.452
246,83.049,13.931,25.956,2.160,91.192
247,82.502,13.989,26.124,2.135,90.785
248,81.908,13.866,26.578,1.980,90.603
249,81.354,13.996,26.126,2.047,90.856
250,80.776,14.127,26.295,2.110,90.664
251,80.213,14.245,25.526,2.196,90.611
252,79.652,14.109,26.078,2.117,90.407
253,79.076,13.945,26.722,1.959,90.326
254,78.539,13.996,26.803,1.985,90.276
255,77.939,14.121,26.005,2.145,90.347
256,77.372,14.183,25.621,2.188,90.156
257,76.820,14.406,25.975,2.114,90.273
258,76.240,14.209,26.891,1.957,90.213
259,75.701,14.239,26.804,2.049,90.280
260,75.085,14.286,25.707,2.180,90.311
261,74.544,14.362,25.605,2.167,90.307
262,73.974,14.266,26.115,2.103,90.424
263,73.402,14.280,26.548,1.951,90.448
264,72.843,14.283,26.103,2.027,90.781
265,72.247,14.428,26.145,2.133,90.471
266,71.708,14.257,26.079,2.171,89.595
267,71.198,14.088,25.673,2.161,88.155
268,70.658,14.252,26.957,2.069,86.843
269,70.189,14.019,24.842,1.981,85.932
270,69.632,14.042,25.802,2.095,83.908
271,69.143,14.088,26.461,2.108,82.217
272,68.652,13.930,26.062,2.074,80.773
273,68.134,13.889,26.053,2.097,79.264
274,67.670,13.737,25.850,2.102,77.881
275,67.128,13.862,26.308,2.087,76.579
276,66.617,13.838,25.966,2.082,75.264
277,66.090,13.860,26.009,2.068,74.451
278,65.533,13.940,25.882,2.067,74.253
279,64.960,14.093,26.060,2.064,74.624
280,64.363,14.291,25.864,2.123,75.571
281,63.756,14.638,25.803,2.062,76.567
282,63.139,14.876,26.061,2.053,77.692
283,62.626,14.854,26.376,2.071,78.682
284,62.054,15.037,25.965,2.049,79.669
