 ,XM,YM,Major,Minor,Angle
1,241.556,27.613,27.187,2.145,90.166
2,240.803,27.613,27.714,2.454,90.098
3,239.999,27.667,27.302,2.355,90.243
4,239.335,28.009,27.348,2.372,90.823
5,238.542,27.729,27.239,2.434,90.888
6,237.898,28.098,27.640,2.347,91.057
7,237.081,27.897,27.145,2.411,91.555
8,236.412,27.864,27.413,2.429,91.779
9,235.651,27.901,27.678,2.344,91.795
10,234.953,27.898,27.264,2.390,92.255
11,234.187,27.969,27.900,2.315,92.143
12,233.433,27.659,27.420,2.314,92.518
13,232.698,27.708,27.191,2.386,92.685
14,231.958,27.587,27.477,2.247,92.675
15,231.213,27.626,27.583,2.373,93.048
16,230.471,27.560,27.562,2.178,92.622
17,229.771,27.500,27.594,2.403,93.147
18,228.987,27.327,27.310,2.271,92.899
19,228.310,27.322,27.120,2.403,93.039
20,227.499,27.184,27.346,2.393,92.834
21,226.795,26.950,27.297,2.314,92.603
22,226.046,27.084,27.388,2.421,92.865
23,225.286,26.755,27.574,2.239,92.260
24,224.571,26.652,27.390,2.400,92.425
25,223.803,26.724,27.649,2.326,91.988
26,223.118,26.521,27.358,2.361,91.879
27,222.373,26.523,27.694,2.353,91.569
28,221.636,25.975,27.514,2.223,91.372
29,220.896,26.222,27.413,2.398,91.312
30,220.178,25.732,27.549,2.344,90.949
31,219.474,26.099,27.403,2.367,90.635
32,218.680,25.674,27.527,2.470,90.089
33,218.022,25.694,27.194,2.291,90.031
34,217.230,25.552,27.582,2.465,89.846
35,216.567,25.572,27.609,2.236,89.486
36,215.796,25.492,27.380,2.463,89.517
37,215.176,25.048,27.936,2.281,89.032
38,214.378,25.419,27.247,2.464,89.291
39,213.734,25.183,27.647,2.357,88.763
40,212.934,25.285,27.071,2.449,89.179
41,212.276,25.152,27.568,2.353,88.618
42,211.491,25.240,27.549,2.406,88.934
43,210.829,25.117,27.772,2.336,88.611
44,210.068,25.332,27.339,2.404,88.950
45,209.370,25.352,27.668,2.283,88.828
46,208.653,25.339,27.412,2.418,89.066
47,207.952,25.608,27.810,2.241,89.155
48,207.242,25.295,27.537,2.449,89.502
49,206.534,25.713,27.614,2.205,89.443
50,205.824,25.442,27.862,2.451,89.862
51,205.104,25.545,27.622,2.184,90.041
52,204.403,25.742,27.473,2.455,90.316
53,203.696,25.536,28.178,2.181,90.691
54,202.956,25.988,27.520,2.347,91.018
55,202.246,25.497,28.105,2.207,91.199
56,201.549,25.869,27.482,2.309,91.395
57,200.807,25.691,27.286,2.252,91.763
58,200.140,26.104,27.541,2.335,91.970
59,199.402,25.738,27.656,2.284,92.358
60,198.696,25.993,27.450,2.322,92.623
61,197.985,25.577,27.249,2.276,92.795
62,197.249,25.761,27.447,2.343,93.013
63,196.585,25.808,27.553,2.293,93.202
64,195.824,25.671,27.506,2.327,93.353
65,195.211,25.835,27.386,2.338,93.464
66,194.391,25.346,27.523,2.316,93.511
67,193.785,25.576,27.239,2.319,93.634
68,192.971,25.179,27.589,2.320,93.460
69,192.315,25.271,27.280,2.253,93.294
70,191.535,25.003,27.431,2.355,93.362
71,190.853,24.711,27.390,2.202,92.990
72,190.130,24.767,27.563,2.374,93.045
73,189.447,24.441,27.671,2.242,92.557
74,188.742,24.680,27.520,2.368,92.542
75,187.999,24.143,27.768,2.223,92.073
76,187.338,24.234,27.493,2.329,91.774
77,186.603,23.859,27.379,2.245,91.688
78,185.926,24.056,27.510,2.317,91.205
79,185.217,23.454,27.781,2.222,91.009
80,184.531,23.846,27.223,2.404,90.564
81,183.847,23.382,27.918,2.110,90.065
82,183.135,23.200,27.670,2.437,89.822
83,182.432,23.495,27.227,2.132,89.611
84,181.732,22.994,27.509,2.420,89.450
85,181.055,22.973,27.945,2.199,89.039
86,180.332,23.109,26.970,2.416,89.080
87,179.700,22.864,27.291,2.356,88.453
88,178.969,22.985,27.722,2.258,88.108
89,178.290,22.977,27.052,2.377,88.244
90,177.584,23.081,28.053,2.272,88.022
91,176.898,22.942,27.083,2.353,88.147
92,176.174,23.243,28.225,2.248,88.042
93,175.505,22.882,27.079,2.301,88.253
94,174.785,23.359,27.711,2.269,88.167
95,174.100,23.156,27.057,2.324,88.378
96,173.408,23.383,27.546,2.334,88.322
97,172.701,23.354,27.323,2.364,88.563
98,172.076,23.306,27.506,2.338,88.643
99,171.344,23.594,27.383,2.452,89.193
100,170.733,23.348,27.761,2.316,89.048
101,169.981,23.783,26.968,2.564,89.695
102,169.359,23.633,27.819,2.322,89.724
103,168.595,23.780,27.644,2.408,90.132
104,167.989,24.035,27.411,2.439,90.498
105,167.287,23.741,27.942,2.230,90.920
106,166.604,24.190,27.079,2.375,91.252
107,165.939,24.078,27.484,2.360,91.766
108,165.251,24.202,28.173,2.272,92.025
109,164.576,24.223,27.397,2.368,92.543
110,163.897,24.271,28.004,2.205,92.532
111,163.202,24.250,27.613,2.349,93.094
112,162.575,24.341,27.587,2.310,93.324
113,161.816,24.038,27.588,2.269,93.454
114,161.209,24.362,27.725,2.340,93.566
115,160.470,24.100,27.184,2.303,93.974
116,159.837,24.237,27.492,2.308,93.739
117,159.136,24.113,27.718,2.340,94.211
118,158.429,23.786,27.468,2.310,93.731
119,157.783,24.010,27.372,2.318,93.964
120,157.041,23.413,27.684,2.292,93.604
121,156.456,23.686,27.528,2.326,93.565
122,155.679,23.387,27.587,2.290,93.246
123,155.063,23.269,27.782,2.325,93.247
124,154.353,23.267,27.317,2.219,92.503
125,153.686,22.996,27.171,2.377,92.501
126,152.991,22.599,27.776,2.243,92.046
127,152.348,22.681,27.503,2.328,91.500
128,151.651,22.324,28.018,2.254,91.337
129,150.990,22.641,27.125,2.413,90.929
130,150.336,22.370,27.895,2.111,90.398
131,149.623,22.218,27.447,2.426,89.981
132,149.026,21.876,27.738,2.298,89.564
133,148.305,22.506,27.289,2.283,89.119
134,147.657,22.033,27.585,2.383,88.937
135,146.997,22.144,27.361,2.361,88.358
136,146.310,21.786,28.193,2.311,88.017
137,145.658,22.000,26.939,2.398,87.938
138,144.961,22.158,27.530,2.274,87.755
139,144.334,21.667,27.731,2.401,87.520
140,143.672,22.180,26.784,2.486,87.402
141,143.001,21.967,28.106,2.217,87.586
142,142.321,22.302,27.064,2.471,87.379
143,141.627,22.406,28.065,2.159,87.474
144,141.007,21.927,27.870,2.389,87.547
145,140.337,22.652,27.104,2.414,87.675
146,139.671,22.334,28.205,2.300,87.791
147,139.023,22.589,27.102,2.404,88.182
148,138.310,22.957,27.291,2.325,88.605
149,137.680,22.727,27.603,2.288,88.819
150,137.003,23.398,27.375,2.203,89.314
151,136.349,23.114,27.440,2.437,89.813
152,135.686,23.276,27.739,2.113,90.279
153,134.979,23.337,27.291,2.429,90.626
154,134.387,23.639,27.627,2.317,91.057
155,133.699,23.424,27.610,2.205,91.572
156,133.047,23.725,27.693,2.312,91.873
157,132.404,23.707,26.990,2.372,92.795
158,131.749,23.686,27.346,2.216,92.767
159,131.056,23.739,27.609,2.339,93.267
160,130.475,23.915,27.461,2.331,93.610
161,129.754,23.628,27.275,2.358,94.143
162,129.109,23.799,27.398,2.274,93.954
163,128.456,23.762,27.847,2.350,94.697
164,127.788,23.606,27.565,2.343,94.538
165,127.092,23.452,27.482,2.330,94.575
166,126.447,23.373,27.972,2.299,94.807
167,125.775,23.306,27.082,2.269,94.155
168,125.106,23.103,27.679,2.344,94.718
169,124.419,22.837,27.110,2.320,94.060
170,123.803,23.117,27.476,2.340,94.219
171,123.024,22.266,27.089,2.269,93.737
172,122.451,22.469,27.367,2.360,93.511
173,121.726,22.147,27.095,2.216,92.968
174,121.103,22.153,27.370,2.381,92.908
175,120.415,21.766,27.820,2.219,92.182
176,119.791,21.817,27.563,2.312,91.746
177,119.106,21.408,27.963,2.249,91.206
178,118.437,21.523,27.898,2.448,90.814
179,117.842,21.589,27.364,2.340,90.550
180,117.172,21.367,27.737,2.154,89.760
181,116.500,21.123,27.425,2.417,89.561
182,115.905,20.713,27.791,2.273,88.861
183,115.231,20.958,27.914,2.283,88.426
184,114.551,20.908,26.971,2.300,88.325
185,113.935,20.900,27.010,2.444,87.844
186,113.255,20.903,27.868,2.175,87.488
187,112.613,20.697,27.698,2.394,87.182
188,111.955,21.082,26.914,2.315,86.959
189,111.322,20.848,27.640,2.172,87.268
190,110.660,20.894,27.698,2.455,86.773
191,109.976,21.213,27.344,2.196,87.194
192,109.326,21.057,27.710,2.341,87.025
193,108.694,21.435,26.870,2.425,87.014
194,108.022,21.351,27.855,2.196,87.471
195,107.377,21.589,27.121,2.402,87.844
196,106.710,21.802,28.014,2.214,88.062
197,106.041,21.781,27.012,2.328,88.417
198,105.397,21.932,27.917,2.212,88.843
199,104.718,22.153,27.226,2.456,89.517
200,104.143,21.955,27.830,2.341,89.670
201,103.486,22.148,27.770,2.100,90.266
202,102.809,22.422,27.102,2.446,90.712
203,102.200,22.641,27.375,2.339,91.359
204,101.500,22.608,27.509,2.234,91.980
205,100.870,22.873,27.557,2.333,92.293
206,100.239,22.834,27.564,2.364,93.087
207,99.599,22.827,26.738,2.213,93.230
208,98.895,22.716,27.467,2.300,93.686
209,98.321,23.122,27.582,2.280,93.913
210,97.638,22.890,27.962,2.310,94.709
211,96.981,22.849,26.980,2.246,94.571
212,96.302,22.559,27.394,2.337,95.061
213,95.707,22.933,27.498,2.307,95.144
214,94.952,22.279,27.287,2.336,95.290
215,94.345,22.493,27.526,2.295,95.194
216,93.721,22.496,26.858,2.278,94.989
217,92.990,22.005,27.162,2.336,95.071
218,92.369,22.074,27.303,2.345,94.879
219,91.674,21.967,27.365,2.308,94.439
220,91.010,21.725,27.754,2.358,94.487
221,90.335,21.355,27.579,2.342,93.754
222,89.714,21.387,27.412,2.252,93.353
223,89.007,21.154,27.309,2.386,93.037
224,88.357,20.610,27.249,2.318,92.618
225,87.690,20.691,27.406,2.388,91.810
226,87.101,20.570,27.829,2.290,91.259
227,86.391,20.152,27.408,2.315,90.831
228,85.764,20.053,27.916,2.436,90.121
229,85.106,20.160,27.546,2.128,89.773
230,84.461,20.361,27.018,2.306,89.184
231,83.822,19.774,27.469,2.331,88.651
232,83.184,19.935,27.109,2.383,88.114
233,82.519,19.677,27.867,2.205,87.547
234,81.895,19.471,27.803,2.405,87.308
235,81.256,19.522,27.016,2.328,86.898
236,80.564,19.743,27.317,2.208,87.052
237,79.936,19.694,27.766,2.418,86.518
238,79.307,19.627,27.588,2.217,86.522
239,78.585,20.084,27.110,2.299,86.574
240,78.007,19.764,27.663,2.397,86.350
241,77.263,20.229,27.143,2.180,86.957
242,76.638,20.200,27.779,2.428,86.686
243,75.953,20.606,27.164,2.210,87.131
244,75.318,20.431,27.633,2.317,87.318
245,74.685,20.896,26.672,2.443,87.759
246,73.992,20.606,27.615,2.308,87.903
247,73.352,21.028,27.374,2.328,88.555
248,72.690,21.704,27.028,2.242,89.192
249,72.052,21.462,27.406,2.409,89.671
250,71.399,21.627,27.843,2.095,90.277
251,70.727,21.683,27.204,2.437,90.670
252,70.128,21.902,27.455,2.332,91.291
253,69.435,21.999,27.582,2.269,92.119
254,68.777,22.209,27.543,2.324,92.400
255,68.141,22.260,27.484,2.340,93.285
256,67.540,22.429,27.420,2.335,93.737
257,66.816,21.975,27.145,2.327,94.217
258,66.203,22.388,26.889,2.264,94.196
259,65.538,22.267,27.652,2.356,94.987
260,64.913,22.454,27.473,2.320,95.405
261,64.152,21.862,26.919,2.336,95.330
262,63.573,22.273,27.005,2.329,95.393
263,62.857,21.926,27.450,2.394,96.001
264,62.195,21.744,26.971,2.353,95.473
265,61.502,21.758,27.746,2.389,96.007
266,60.804,21.425,26.944,2.365,95.338
267,60.178,21.555,27.322,2.343,95.440
268,59.422,20.979,27.261,2.327,95.065
269,58.819,21.147,27.532,2.387,94.833
270,58.131,20.906,27.017,2.370,94.044
271,57.428,20.572,27.196,2.417,93.917
272,56.763,20.399,27.674,2.426,93.306
273,56.081,20.165,27.512,2.306,92.606
274,55.436,20.025,27.233,2.403,92.339
275,54.755,19.652,27.257,2.317,91.751
276,54.090,19.680,26.937,2.419,90.930
277,53.444,19.295,27.557,2.117,90.419
278,52.733,19.087,27.086,2.469,89.911
279,52.151,19.008,27.407,2.315,89.329
280,51.449,19.120,27.659,2.273,88.612
281,50.795,18.508,27.751,2.379,88.130
282,50.139,18.921,26.901,2.475,87.743
283,49.424,18.937,27.362,2.215,87.434
284,48.778,18.737,27.381,2.442,86.934
285,48.190,18.454,27.597,2.361,86.320
286,47.373,19.493,27.020,2.317,86.449
287,46.808,18.971,27.354,2.392,86.176
288,46.103,19.046,27.483,2.412,85.845
289,45.404,19.309,27.266,2.379,86.148
290,44.766,19.035,27.664,2.345,86.017
291,44.001,19.734,27.003,2.402,86.270
292,43.398,19.432,27.618,2.277,86.425
293,42.652,19.968,26.978,2.352,86.752
294,41.984,20.101,27.086,2.321,86.966
295,41.320,20.089,27.636,2.265,87.550
296,40.631,20.443,26.781,2.422,87.881
297,39.935,20.425,27.310,2.386,88.501
298,39.277,20.790,27.250,2.402,88.682
299,38.558,20.971,26.907,2.453,89.611
300,37.944,21.379,27.243,2.287,90.202
301,37.192,21.246,27.047,2.462,90.730
302,36.587,21.639,27.083,2.332,91.421
303,35.911,21.718,26.661,2.337,92.108
304,35.194,21.793,27.221,2.300,92.487
305,34.554,21.915,27.653,2.397,93.328
306,33.885,22.061,27.189,2.376,93.920
307,33.167,21.757,27.043,2.304,94.002
308,32.513,22.098,26.972,2.352,94.654
309,31.867,22.216,27.540,2.314,95.124
310,31.129,21.870,27.594,2.361,95.662
311,30.462,21.979,26.974,2.289,95.419
312,29.774,22.032,27.765,2.418,96.150
313,29.057,21.893,26.674,2.272,95.757
314,28.362,21.815,27.585,2.403,96.323
315,27.657,21.665,26.649,2.328,95.678
316,26.945,21.547,27.789,2.396,96.161
317,26.201,21.154,26.939,2.292,95.434
318,25.517,21.099,27.842,2.391,95.934
319,24.778,20.867,27.272,2.358,95.083
320,24.045,20.627,26.416,2.337,94.623
321,23.361,20.476,27.654,2.397,94.579
322,22.679,20.368,27.620,2.338,93.790
323,21.902,19.865,26.728,2.342,93.071
324,21.252,19.903,27.307,2.438,92.959
325,20.538,19.764,27.328,2.332,91.957
326,19.795,19.341,27.036,2.389,91.503
327,19.139,19.238,27.138,2.411,90.570
328,18.426,19.261,27.203,2.186,90.108
329,17.739,18.891,27.359,2.454,89.573
330,17.036,18.910,27.077,2.364,88.656
331,16.354,18.540,27.188,2.397,88.459
332,15.666,18.468,27.010,2.486,87.602
333,14.918,18.728,27.243,2.214,87.498
334,14.254,18.547,27.258,2.432,86.830
335,13.566,18.313,27.303,2.386,86.198
336,12.811,18.822,27.136,2.391,86.248
337,12.131,18.582,27.357,2.382,85.622
338,11.383,19.103,26.903,2.369,85.909
339,10.726,18.571,27.007,2.392,85.512
340,9.975,19.133,26.814,2.366,85.826
341,9.273,19.029,27.337,2.404,85.628
342,8.534,19.551,26.985,2.383,86.123
343,7.847,19.243,27.494,2.411,85.776
344,7.118,19.679,27.214,2.436,86.392
345,6.349,20.104,26.977,2.257,87.119
346,5.721,19.749,27.434,2.500,87.096
347,4.943,20.078,27.476,2.330,87.863
348,4.194,20.637,27.110,2.309,88.215
