 ,XM,YM,Major,Minor,Angle
1,12.025,0.443,4.708,0.967,176.043
2,18.909,0.236,3.200,0.533,0.000
3,33.327,11.379,2.065,0.964,49.065
4,32.145,16.782,2.206,0.774,7.235
5,148.199,31.436,5.868,0.533,90.000
6,127.320,31.909,2.018,0.846,167.819
7,36.177,37.463,5.540,3.493,92.654
8,110.499,40.182,2.093,0.544,126.091
9,27.276,49.211,1.697,0.838,121.717
10,26.709,53.339,1.156,0.738,0.000
11,14.300,57.790,3.975,0.859,81.687
12,69.874,56.845,3.118,1.460,5.548
13,144.338,57.830,1.804,0.946,8.130
14,79.339,58.618,1.525,1.119,111.355
15,26.236,58.539,1.156,0.738,0.000
16,148.199,30.727,9.601,0.533,90.000
17,147.987,30.180,10.555,1.024,88.712
18,147.776,29.101,13.475,1.394,87.075
19,147.582,27.681,18.177,1.644,86.179
20,147.410,25.911,23.168,1.891,86.018
21,147.193,23.825,28.899,2.166,86.178
22,146.853,22.550,32.253,2.408,86.454
23,146.262,23.130,31.564,2.389,87.970
24,145.742,23.481,31.601,2.458,89.250
25,145.164,24.044,31.669,2.480,91.142
26,144.605,24.506,31.435,2.525,92.395
27,144.048,24.982,31.881,2.526,93.821
28,143.416,24.864,31.365,2.540,95.347
29,143.001,25.806,31.446,2.407,96.634
30,142.381,25.685,31.427,2.444,97.907
31,141.840,25.923,31.661,2.507,99.396
32,141.274,26.017,32.077,2.501,100.424
33,140.650,25.997,31.523,2.536,101.463
34,140.050,26.025,31.633,2.501,102.255
35,139.412,25.848,31.553,2.516,102.917
36,138.719,25.586,31.856,2.492,103.534
37,138.014,25.178,31.598,2.557,103.776
38,137.308,24.932,31.463,2.523,103.962
39,136.552,24.486,31.650,2.508,103.923
40,135.856,24.154,31.793,2.497,103.609
41,135.120,23.713,31.292,2.510,103.074
42,134.295,22.988,31.859,2.510,102.555
43,133.568,22.487,31.864,2.563,101.761
44,132.858,21.945,31.972,2.501,100.698
45,132.101,21.152,32.148,2.522,99.635
46,131.401,20.546,31.439,2.507,98.050
47,130.730,19.938,31.349,2.496,96.650
48,130.059,19.265,31.784,2.516,95.169
49,129.447,18.740,31.702,2.513,93.533
50,128.878,18.316,31.414,2.536,91.896
51,128.311,17.601,31.602,2.530,90.151
52,127.728,17.083,31.261,2.567,88.366
53,127.178,16.982,31.637,2.482,86.748
54,126.688,16.385,31.600,2.521,84.994
55,126.096,16.397,31.247,2.540,83.538
56,125.595,16.007,31.801,2.532,81.691
57,125.063,15.899,31.871,2.482,80.231
58,124.488,15.819,31.553,2.507,79.059
59,123.992,15.574,31.399,2.483,77.876
60,123.313,15.931,31.712,2.494,76.747
61,122.692,16.128,31.631,2.492,75.897
62,122.039,16.403,31.583,2.495,75.347
63,121.349,16.783,31.591,2.495,74.846
64,120.581,17.365,31.595,2.495,74.745
65,119.868,17.842,31.511,2.519,74.662
66,119.112,18.397,31.857,2.528,74.873
67,118.364,18.981,31.434,2.507,75.409
68,117.613,19.706,31.181,2.509,76.120
69,116.830,20.511,31.942,2.494,76.950
70,116.116,21.176,31.534,2.463,77.977
71,115.419,21.869,31.922,2.496,79.317
72,114.766,22.545,31.731,2.493,80.771
73,114.033,23.651,31.401,2.474,82.334
74,113.488,23.979,30.818,2.419,84.286
75,112.898,24.999,31.464,2.478,85.625
76,112.330,25.359,31.361,2.504,87.387
