 ,XM,YM,Major,Minor,Angle
145,144.983,32.848,27.974,2.421,90.232
146,144.380,33.087,28.391,2.405,90.132
147,143.774,33.136,28.177,2.302,90.226
148,143.056,32.956,28.221,2.440,90.174
149,142.448,33.201,28.454,2.360,90.332
150,141.773,33.057,28.123,2.317,90.263
151,141.124,33.013,28.413,2.453,90.435
152,140.532,33.276,28.146,2.355,90.507
153,139.833,33.208,28.512,2.335,90.551
154,139.201,33.378,27.653,2.387,90.742
155,138.629,33.355,28.537,2.323,90.767
156,137.876,33.250,27.918,2.446,91.105
157,137.290,33.082,28.219,2.349,91.289
158,136.692,33.193,28.299,2.262,91.244
159,135.976,33.258,28.094,2.410,91.435
160,135.401,33.089,28.324,2.331,91.590
161,134.768,33.143,27.645,2.347,91.647
162,134.045,33.182,28.625,2.366,91.627
163,133.498,33.080,28.459,2.330,91.613
164,132.824,33.310,27.589,2.341,91.679
165,132.150,33.161,28.371,2.367,91.658
166,131.584,32.987,28.264,2.325,91.405
167,130.831,33.110,27.805,2.476,91.547
168,130.231,32.960,28.455,2.360,91.500
169,129.649,33.099,28.497,2.316,91.278
170,128.910,33.163,28.017,2.376,91.207
171,128.326,32.830,28.157,2.354,91.222
172,127.730,33.063,28.399,2.274,91.012
173,127.015,32.697,28.269,2.426,90.881
174,126.409,32.804,28.002,2.368,90.962
175,125.804,32.825,28.926,2.203,90.748
176,125.093,32.551,28.484,2.367,90.702
177,124.503,32.974,28.464,2.369,90.663
178,123.883,32.626,28.738,2.148,90.485
179,123.205,32.495,27.834,2.392,90.407
180,122.603,32.955,28.273,2.365,90.359
181,121.953,32.731,28.441,2.271,90.265
182,121.293,32.741,28.952,2.388,89.986
183,120.699,32.991,27.888,2.357,90.175
184,120.082,32.519,28.013,2.275,89.891
185,119.395,32.791,28.448,2.380,89.788
186,118.811,32.846,27.962,2.361,90.081
187,118.154,32.671,27.831,2.219,90.027
188,117.504,32.730,28.627,2.375,89.793
189,116.920,33.008,28.169,2.353,90.147
190,116.282,32.714,28.108,2.176,90.066
191,115.609,32.594,28.641,2.384,90.198
192,115.032,32.878,28.285,2.364,90.537
193,114.470,32.884,28.856,2.219,90.821
194,113.781,32.805,28.276,2.314,91.437
195,113.203,32.759,28.621,2.306,91.908
196,112.676,33.110,28.145,2.295,92.303
197,112.029,32.601,28.199,2.371,92.958
198,111.460,32.915,27.504,2.338,93.168
199,110.767,32.206,27.942,2.332,93.881
200,110.214,32.559,27.816,2.291,94.006
201,109.672,32.632,27.890,2.326,94.268
