 ,XM,YM,Major,Minor,Angle
1,242.767,29.545,28.969,2.426,90.000
2,241.977,29.796,28.553,2.352,90.482
3,241.300,29.924,28.789,2.392,90.661
4,240.467,29.962,28.887,2.413,91.083
5,239.730,30.061,28.224,2.419,91.603
6,238.988,30.156,28.833,2.339,91.712
7,238.223,30.004,28.373,2.437,92.276
8,237.506,30.203,28.912,2.362,92.228
9,236.741,30.100,28.362,2.428,92.770
10,235.951,30.204,28.493,2.457,92.984
11,235.271,30.196,28.514,2.385,92.957
12,234.468,30.064,29.289,2.399,93.421
13,233.698,29.984,28.275,2.365,93.153
14,233.000,30.113,29.294,2.380,93.426
15,232.194,29.994,28.390,2.335,93.368
16,231.527,30.022,29.054,2.380,93.241
17,230.716,29.986,28.635,2.375,93.391
18,229.968,29.560,28.316,2.331,92.740
19,229.236,29.756,28.837,2.408,93.159
20,228.484,29.523,28.791,2.322,92.671
21,227.754,29.485,28.014,2.407,92.558
22,227.000,29.198,28.812,2.410,92.426
23,226.246,29.190,28.697,2.350,91.878
24,225.500,28.952,28.635,2.454,91.785
25,224.802,28.898,28.874,2.355,91.368
26,224.034,28.779,28.553,2.392,91.079
27,223.347,28.609,28.941,2.399,90.664
28,222.570,28.570,28.366,2.377,90.326
29,221.907,28.505,28.993,2.395,90.065
30,221.102,28.278,28.633,2.365,89.627
31,220.468,28.098,29.144,2.411,89.471
32,219.658,28.288,28.788,2.412,89.134
33,219.045,27.987,28.744,2.405,88.741
34,218.227,28.109,28.750,2.375,88.570
35,217.582,28.225,28.333,2.470,88.399
36,216.785,28.204,28.818,2.370,88.265
37,216.092,28.143,28.131,2.397,88.163
38,215.353,28.246,28.973,2.347,88.051
39,214.621,28.259,28.442,2.401,87.915
40,213.923,28.297,28.818,2.360,88.009
41,213.172,28.306,28.256,2.427,87.885
42,212.489,28.327,29.293,2.360,88.039
43,211.696,28.720,28.290,2.404,88.255
44,211.061,28.523,28.993,2.365,88.274
45,210.241,28.761,28.838,2.378,88.725
46,209.640,28.534,28.984,2.415,88.616
47,208.817,28.818,28.706,2.359,89.085
48,208.187,28.895,28.648,2.354,89.282
49,207.403,28.978,28.645,2.394,89.493
50,206.755,29.210,28.887,2.344,89.864
