 ,XM,YM,Major,Minor,Angle
1,243.151,22.329,28.363,2.388,90.689
2,242.324,21.954,28.446,2.391,90.961
3,241.700,22.261,28.407,2.404,90.956
4,240.863,21.950,28.398,2.385,90.947
5,240.150,21.879,28.485,2.527,91.217
6,239.407,22.037,28.760,2.364,91.113
7,238.631,21.762,29.059,2.379,91.302
8,237.946,21.948,28.783,2.392,91.209
9,237.124,21.896,28.890,2.393,91.375
10,236.427,21.860,28.532,2.473,91.539
11,235.667,21.950,28.867,2.366,91.438
12,234.897,21.786,28.677,2.451,91.666
13,234.200,21.819,28.233,2.348,91.409
14,233.394,21.600,28.492,2.397,91.563
15,232.741,21.821,28.537,2.383,91.456
16,231.930,21.613,28.683,2.381,91.494
17,231.263,21.549,28.537,2.473,91.588
18,230.477,21.724,28.563,2.361,91.463
19,229.768,21.534,28.519,2.484,91.618
20,229.031,21.431,28.286,2.374,91.260
21,228.257,21.283,28.405,2.434,91.429
22,227.586,21.475,28.263,2.366,91.152
23,226.780,21.261,28.956,2.378,91.247
24,226.126,21.326,28.410,2.434,91.088
25,225.324,21.138,28.860,2.415,91.048
26,224.687,21.276,28.603,2.427,91.024
27,223.878,21.042,28.912,2.382,90.964
28,223.232,21.023,28.047,2.465,90.839
29,222.434,20.848,28.933,2.400,90.772
30,221.781,20.970,28.272,2.456,90.653
31,221.004,20.896,28.481,2.398,90.585
32,220.343,20.956,28.288,2.424,90.532
33,219.576,20.724,28.766,2.423,90.384
34,218.876,20.843,28.127,2.357,90.411
35,218.145,20.868,29.024,2.392,90.366
36,217.419,20.737,28.800,2.233,90.374
37,216.721,20.705,29.178,2.409,90.283
38,215.989,20.632,28.251,2.427,90.384
39,215.301,20.758,29.054,2.409,90.315
40,214.532,20.732,28.272,2.375,90.458
41,213.888,20.695,29.022,2.431,90.227
42,213.120,20.689,28.219,2.541,90.490
43,212.466,20.715,28.739,2.406,90.385
44,211.661,20.590,28.272,2.486,90.626
45,211.040,20.831,28.888,2.403,90.435
46,210.261,20.591,28.415,2.443,90.815
47,209.628,20.771,28.757,2.414,90.546
48,208.855,20.506,28.567,2.390,90.951
49,208.202,20.736,28.872,2.405,90.663
50,207.460,20.569,28.918,2.352,91.123
51,206.811,20.630,28.564,2.391,90.901
52,206.049,20.503,28.915,2.401,91.204
53,205.389,20.587,29.011,2.364,91.026
54,204.645,20.407,28.584,2.349,91.245
55,203.986,20.662,28.228,2.359,91.181
56,203.245,20.415,28.836,2.329,91.304
57,202.576,20.528,28.832,2.368,91.301
58,201.855,20.446,28.599,2.368,91.510
59,201.160,20.561,28.729,2.347,91.467
60,200.508,20.478,28.384,2.436,91.614
61,199.754,20.569,28.534,2.353,91.548
62,199.109,20.402,28.559,2.391,91.620
63,198.350,20.467,28.574,2.340,91.518
64,197.727,20.325,28.824,2.369,91.533
65,196.949,20.264,28.767,2.344,91.534
66,196.348,20.348,28.740,2.327,91.441
67,195.562,20.187,28.649,2.334,91.594
68,194.944,20.089,28.346,2.339,91.403
69,194.165,19.918,28.744,2.336,91.528
70,193.538,20.008,28.503,2.346,91.257
71,192.782,19.781,28.999,2.335,91.347
72,192.152,19.945,28.249,2.357,91.062
73,191.454,19.866,29.195,2.251,91.122
74,190.754,19.823,28.605,2.357,90.975
75,190.147,19.859,28.550,2.272,90.775
76,189.360,19.576,28.512,2.365,90.855
77,188.781,19.819,28.634,2.335,90.653
78,187.978,19.485,28.915,2.381,90.818
79,187.396,19.712,28.820,2.389,90.469
80,186.671,19.468,28.414,2.213,90.595
81,186.015,19.561,28.621,2.386,90.550
82,185.375,19.661,28.590,2.279,90.473
83,184.630,19.419,28.972,2.377,90.481
84,184.037,19.574,28.660,2.323,90.290
85,183.263,19.361,28.522,2.344,90.315
86,182.675,19.534,29.033,2.381,90.336
87,181.962,19.453,28.761,2.176,90.342
88,181.286,19.411,29.150,2.411,90.288
89,180.706,19.600,28.627,2.296,90.325
90,179.924,19.418,28.841,2.378,90.328
91,179.341,19.600,28.655,2.373,90.316
92,178.620,19.470,28.567,2.231,90.563
93,177.977,19.581,28.734,2.377,90.536
94,177.370,19.651,28.479,2.268,90.464
95,176.618,19.288,28.483,2.378,90.565
96,176.044,19.594,28.826,2.369,90.650
97,175.275,19.571,28.590,2.418,90.790
98,174.677,19.543,28.781,2.363,90.742
99,174.077,19.586,28.429,2.372,90.671
100,173.344,19.469,28.805,2.410,90.944
101,172.759,19.626,28.971,2.377,90.831
102,172.086,19.541,28.232,2.409,91.061
103,171.425,19.523,28.239,2.448,91.122
104,170.832,19.660,28.629,2.365,91.022
105,170.103,19.324,29.377,2.334,91.198
106,169.485,19.367,29.013,2.364,91.023
107,168.917,19.638,28.820,2.389,91.036
108,168.168,19.357,29.204,2.329,91.293
109,167.571,19.470,28.387,2.366,91.133
110,166.979,19.397,28.424,2.392,91.198
111,166.253,19.312,28.888,2.324,91.302
112,165.684,19.555,28.367,2.337,91.138
113,165.042,19.529,28.510,2.285,91.141
114,164.334,19.476,28.699,2.340,91.186
115,163.777,19.543,28.356,2.348,91.125
116,163.137,19.590,29.058,2.184,90.973
117,162.455,19.372,29.013,2.354,91.117
118,161.898,19.480,28.532,2.363,90.909
119,161.344,19.491,28.676,2.322,90.689
120,160.639,19.371,29.036,2.303,90.911
121,160.029,19.233,28.630,2.355,90.752
122,159.482,19.526,28.463,2.349,90.761
123,158.789,19.403,28.996,2.218,90.943
124,158.152,19.282,28.518,2.345,90.912
125,157.587,19.487,28.270,2.365,90.727
126,156.951,19.477,28.776,2.254,90.854
127,156.281,19.189,28.503,2.366,90.802
128,155.733,19.451,28.680,2.391,90.723
129,155.154,19.458,28.869,2.267,90.518
130,154.460,19.391,28.498,2.326,90.585
131,153.907,19.442,28.730,2.397,90.345
132,153.370,19.510,29.028,2.392,90.309
133,152.827,19.541,28.647,2.324,90.278
134,152.120,19.379,28.563,2.261,90.232
135,151.537,19.519,28.845,2.407,90.284
136,150.989,19.671,28.967,2.387,90.341
137,150.428,19.606,28.864,2.287,90.309
138,149.719,19.477,28.311,2.332,90.133
139,149.175,19.636,28.689,2.410,90.192
140,148.639,19.635,29.201,2.387,90.245
141,148.084,19.790,28.712,2.319,90.268
142,147.379,19.610,27.870,2.338,90.303
143,146.804,19.714,28.767,2.384,90.506
144,146.267,19.952,28.898,2.383,90.487
145,145.689,19.914,28.125,2.387,90.574
146,145.001,19.866,28.466,2.379,90.624
147,144.444,19.702,28.970,2.377,90.712
148,143.905,19.888,28.634,2.385,90.602
149,143.337,19.903,28.547,2.382,90.741
150,142.645,19.711,28.779,2.363,91.028
151,142.071,19.711,28.866,2.356,90.992
152,141.535,20.037,28.513,2.375,90.917
153,140.901,19.913,28.474,2.308,90.998
154,140.265,19.699,29.052,2.350,91.303
155,139.704,19.991,28.673,2.352,91.279
156,139.161,19.975,28.846,2.338,91.314
157,138.493,19.774,28.559,2.301,91.545
158,137.860,19.810,28.868,2.306,91.462
159,137.330,20.030,28.475,2.338,91.463
160,136.781,19.804,28.517,2.335,91.578
161,136.092,19.782,28.499,2.336,91.687
162,135.495,19.886,28.377,2.296,91.573
163,134.955,19.962,28.505,2.346,91.554
164,134.381,19.711,28.622,2.376,91.636
165,133.686,19.540,28.585,2.299,91.636
166,133.116,19.788,28.257,2.346,91.539
167,132.591,19.961,28.563,2.321,91.608
168,132.027,19.817,28.762,2.394,91.509
169,131.358,19.598,28.672,2.302,91.589
170,130.765,19.766,28.677,2.322,91.471
171,130.227,19.729,28.130,2.326,91.341
172,129.698,19.870,28.358,2.338,91.199
173,129.004,19.483,28.834,2.319,91.334
174,128.421,19.496,28.730,2.387,91.270
175,127.870,19.530,28.581,2.359,91.076
176,127.349,19.925,28.552,2.362,90.953
177,126.739,19.758,28.529,2.294,90.909
178,126.103,19.524,28.413,2.373,91.090
179,125.518,19.386,28.428,2.342,90.880
180,124.993,19.698,28.390,2.365,90.787
181,124.455,19.760,28.344,2.299,90.579
182,123.783,19.531,28.538,2.223,90.731
183,123.192,19.413,28.583,2.369,90.532
184,122.652,19.558,28.723,2.358,90.528
185,122.119,19.594,28.636,2.335,90.376
186,121.532,19.605,28.995,2.120,90.376
187,120.875,19.616,28.275,2.335,90.250
188,120.341,19.662,29.104,2.395,90.243
189,119.812,19.753,29.163,2.390,90.344
190,119.273,19.706,28.961,2.328,90.153
191,118.650,19.687,28.839,2.082,90.059
192,118.039,19.626,28.574,2.340,89.932
193,117.509,19.849,28.658,2.373,89.973
194,116.960,19.758,28.783,2.363,89.985
195,116.440,19.670,28.725,2.328,89.966
196,115.847,19.738,28.814,2.103,89.828
197,115.227,19.855,28.702,2.290,89.766
198,114.689,20.069,28.650,2.374,89.631
199,114.159,19.725,28.581,2.369,89.577
200,113.630,19.660,28.463,2.349,89.698
201,113.107,19.624,28.501,2.306,89.565
202,112.503,19.853,29.297,2.069,89.610
203,111.882,19.994,28.578,2.330,89.543
204,111.374,19.997,28.587,2.369,89.480
205,110.844,19.879,28.371,2.377,89.449
206,110.312,19.864,28.211,2.350,89.467
207,109.773,19.770,28.774,2.245,89.412
208,109.199,19.912,29.017,2.098,89.353
209,108.614,20.303,28.939,2.252,89.176
210,108.062,20.107,28.357,2.348,89.180
211,107.547,20.159,28.481,2.358,89.127
212,107.044,20.151,28.298,2.363,89.046
213,106.504,20.167,28.207,2.300,89.036
214,105.954,20.136,29.243,2.238,88.949
215,105.370,20.348,28.776,2.304,88.855
216,104.815,20.331,28.959,2.260,88.803
217,104.285,20.322,28.836,2.339,88.746
218,103.761,20.414,28.440,2.341,88.726
219,103.262,20.477,28.368,2.347,88.704
220,102.733,20.539,28.417,2.303,88.596
221,102.202,20.576,28.515,2.255,88.544
222,101.633,20.722,28.353,2.398,88.392
223,101.076,20.615,28.494,2.277,88.333
224,100.528,20.710,28.804,2.262,88.319
225,100.011,20.686,28.698,2.330,88.260
226,99.502,20.737,29.111,2.346,88.214
227,99.010,20.873,29.041,2.332,88.165
228,98.488,20.865,28.722,2.249,88.176
229,97.948,20.925,28.367,2.307,88.099
230,97.413,21.044,28.188,2.402,87.891
231,96.849,21.193,28.232,2.338,87.951
232,96.310,21.151,28.201,2.280,87.886
233,95.770,21.218,29.177,2.253,87.829
234,95.266,21.233,29.258,2.314,87.932
235,94.775,21.158,29.199,2.309,87.897
236,94.265,21.143,29.026,2.255,87.844
237,93.727,21.143,28.725,2.288,87.656
238,93.167,21.345,28.406,2.364,87.589
239,92.627,21.338,27.758,2.409,87.545
240,92.098,21.482,28.239,2.328,87.495
241,91.566,21.931,28.768,2.295,87.389
242,91.022,21.851,28.936,2.271,87.595
243,90.531,21.789,28.919,2.292,87.665
244,90.052,21.677,28.799,2.272,87.577
245,89.518,21.620,28.513,2.245,87.408
246,88.982,21.744,28.802,2.322,87.204
247,88.468,21.753,28.448,2.340,86.981
248,87.929,21.898,27.884,2.408,86.997
249,87.367,22.341,28.604,2.358,87.080
250,86.857,22.342,28.471,2.319,87.168
251,86.326,22.471,28.753,2.236,87.324
252,85.806,22.342,28.462,2.269,87.502
253,85.321,22.213,28.973,2.269,87.555
254,84.784,22.271,29.048,2.253,87.336
255,84.247,22.265,28.624,2.306,87.093
256,83.729,22.265,28.552,2.362,87.005
257,83.169,22.679,28.316,2.371,86.918
258,82.628,22.921,28.446,2.341,87.102
259,82.101,22.985,28.777,2.254,87.353
260,81.581,23.039,28.810,2.212,87.469
261,81.074,23.034,28.633,2.276,87.600
262,80.581,22.734,28.880,2.246,87.564
263,80.056,22.743,28.906,2.244,87.494
264,79.515,22.939,28.874,2.316,87.270
265,78.963,23.146,28.157,2.405,87.239
266,78.435,23.203,28.021,2.386,87.214
267,77.886,23.488,28.363,2.307,87.372
268,77.364,23.640,29.007,2.256,87.488
269,76.830,23.639,28.807,2.282,87.666
270,76.345,23.534,28.827,2.290,87.771
271,75.827,23.416,28.969,2.269,87.757
272,75.283,23.583,28.710,2.299,87.750
273,74.749,23.737,28.362,2.378,87.764
274,74.206,23.890,28.231,2.419,87.735
275,73.657,23.901,28.181,2.312,87.801
276,73.120,24.034,28.704,2.270,87.969
277,72.579,24.019,28.844,2.318,88.019
278,72.090,24.109,29.060,2.330,88.039
279,71.592,24.182,29.041,2.332,88.165
280,71.056,24.358,28.883,2.256,88.186
281,70.509,24.299,28.547,2.342,88.110
282,69.960,24.533,28.211,2.411,88.132
283,69.389,24.703,28.496,2.306,88.202
284,68.861,24.546,28.851,2.229,88.192
285,68.335,24.459,28.752,2.335,88.401
286,67.828,24.609,28.820,2.350,88.344
287,67.311,24.689,28.710,2.319,88.439
288,66.791,24.777,28.997,2.247,88.439
289,66.224,24.903,28.930,2.301,88.656
290,65.661,25.017,28.528,2.344,88.645
291,65.115,25.038,28.831,2.270,88.633
292,64.573,24.962,28.800,2.341,88.724
293,64.062,25.050,28.603,2.348,88.824
294,63.553,25.020,28.537,2.353,88.793
295,63.027,25.016,28.877,2.325,88.836
296,62.478,25.226,28.818,2.221,88.854
297,61.918,25.327,28.699,2.330,88.892
298,61.357,25.432,29.169,2.283,88.862
299,60.799,25.309,28.610,2.347,88.996
300,60.288,25.414,28.485,2.337,89.000
301,59.764,25.436,28.181,2.423,89.162
302,59.224,25.423,27.827,2.444,89.148
303,58.666,25.501,28.728,2.387,89.102
304,58.110,25.640,28.713,2.398,89.002
305,57.547,25.806,28.455,2.430,89.278
306,57.009,26.069,28.639,2.474,89.358
307,56.470,25.884,28.203,2.532,89.378
308,55.945,26.008,28.675,2.451,89.596
309,55.417,26.011,28.646,2.503,89.524
310,54.863,26.029,28.516,2.504,89.498
311,54.233,26.170,28.414,2.493,89.770
312,53.700,26.103,28.784,2.461,89.886
313,53.185,26.021,29.176,2.438,90.119
314,52.672,26.114,28.884,2.433,90.262
315,52.142,26.189,28.864,2.386,90.355
316,51.485,26.055,28.962,2.102,90.295
317,50.884,25.886,28.456,2.360,90.396
318,50.355,25.866,28.627,2.375,90.569
319,49.841,26.191,28.551,2.382,90.568
320,49.284,26.303,28.596,2.269,90.546
321,48.656,26.243,28.794,2.154,90.755
322,48.061,26.256,28.904,2.353,90.945
323,47.523,26.158,28.570,2.340,90.967
324,46.995,26.296,28.100,2.329,91.166
325,46.447,26.485,28.990,2.277,91.287
326,45.777,26.234,28.588,2.339,91.422
327,45.202,26.384,28.677,2.322,91.471
328,44.681,26.506,28.507,2.326,91.491
329,44.133,26.299,28.631,2.315,91.563
330,43.482,26.292,28.412,2.283,91.864
331,42.871,26.336,28.182,2.292,91.910
332,42.331,26.380,28.416,2.333,91.775
333,41.798,26.334,28.995,2.316,91.918
334,41.152,26.141,28.346,2.339,92.096
335,40.530,26.169,28.287,2.253,92.066
336,39.972,26.311,28.555,2.322,91.892
337,39.448,26.309,28.770,2.314,91.930
338,38.857,26.215,28.110,2.288,91.855
339,38.190,26.109,28.355,2.268,91.927
340,37.614,26.248,28.254,2.336,91.746
341,37.089,26.184,28.587,2.339,91.773
342,36.471,26.120,28.494,2.317,91.810
343,35.816,26.020,28.530,2.294,91.760
344,35.250,26.291,28.314,2.341,91.583
345,34.715,26.157,28.204,2.340,91.483
346,34.107,25.919,28.277,2.324,91.490
347,33.430,25.887,28.925,2.262,91.448
348,32.880,26.110,28.692,2.340,91.464
349,32.322,26.021,28.220,2.329,91.429
350,31.659,25.911,28.576,2.200,91.367
351,31.016,25.930,28.639,2.335,91.448
352,30.493,25.964,28.009,2.347,91.342
353,29.935,25.951,28.322,2.351,91.205
354,29.203,25.735,28.795,2.322,91.365
355,28.630,25.991,28.632,2.355,91.333
356,28.082,26.006,28.183,2.342,91.276
357,27.408,25.877,28.955,2.172,91.140
358,26.757,25.884,28.530,2.354,91.321
359,26.214,25.920,28.339,2.359,91.198
360,25.579,25.819,28.589,2.219,91.136
361,24.886,25.782,28.504,2.346,91.335
362,24.341,25.830,28.052,2.373,91.248
363,23.789,25.875,28.350,2.379,91.160
364,23.020,25.765,28.527,2.344,91.103
365,22.479,25.875,28.197,2.351,91.221
366,21.918,25.918,28.255,2.377,91.026
367,21.206,25.581,28.848,2.229,91.100
368,20.595,25.821,28.431,2.382,91.124
