 ,XM,YM,Major,Minor,Angle
1,241.577,40.495,26.171,2.066,89.816
2,240.846,40.502,26.621,2.095,89.676
3,240.141,40.385,25.941,2.062,89.743
4,239.415,40.555,26.118,2.135,89.669
5,238.713,40.441,26.131,2.047,89.708
6,237.970,40.554,26.147,2.111,89.766
7,237.286,40.327,26.069,2.041,89.738
8,236.547,40.502,26.073,2.095,89.865
9,235.850,40.410,26.119,2.037,89.853
10,235.111,40.542,26.026,2.088,90.028
11,234.418,40.286,26.294,2.013,90.008
12,233.693,40.464,25.759,2.043,90.231
13,232.982,40.090,26.029,2.033,90.267
14,232.273,40.446,25.907,2.054,90.359
15,231.559,40.096,26.394,2.027,90.373
16,230.838,40.243,25.721,2.091,90.688
17,230.146,40.272,25.929,2.030,90.585
18,229.408,40.149,25.926,2.085,90.944
19,228.750,40.425,26.363,2.061,90.892
20,227.987,40.062,25.651,2.108,91.025
21,227.339,40.383,26.318,2.043,91.176
22,226.581,40.082,26.180,2.108,91.388
23,225.946,40.365,26.068,2.041,91.386
24,225.166,39.834,26.225,2.126,91.655
25,224.545,39.984,26.268,1.982,91.643
26,223.753,39.626,26.020,2.154,91.708
27,223.139,40.120,26.171,1.935,91.826
28,222.348,39.415,26.270,2.155,91.885
29,221.727,39.882,26.333,1.956,91.839
30,220.951,39.668,26.270,2.177,92.183
31,220.331,39.750,26.355,1.965,91.898
32,219.562,39.399,26.675,2.187,92.314
33,218.907,39.612,26.153,1.947,91.950
34,218.183,39.315,26.510,2.190,92.368
35,217.511,39.383,25.779,1.987,91.987
36,216.779,39.280,26.366,2.201,92.277
37,216.104,38.940,25.637,2.009,91.938
38,215.446,39.271,26.311,2.076,92.113
39,214.705,38.831,26.208,2.041,91.880
40,214.091,39.137,26.349,1.976,91.770
41,213.319,38.596,25.894,2.110,91.870
42,212.715,38.870,26.190,1.934,91.822
43,211.923,38.260,26.657,2.156,91.697
44,211.319,38.537,26.385,1.973,91.612
45,210.550,38.090,25.823,2.171,91.336
46,209.924,38.315,26.339,1.998,91.510
47,209.180,38.246,25.413,2.127,91.161
48,208.530,37.833,26.732,2.044,91.349
49,207.854,38.125,25.586,2.002,90.945
50,207.142,37.699,26.599,2.065,91.251
51,206.494,37.931,25.473,2.011,90.835
52,205.761,37.572,25.733,2.090,90.976
53,205.124,37.818,26.159,2.045,90.765
54,204.412,37.697,25.775,2.031,90.615
55,203.766,37.473,27.221,2.049,90.842
56,203.061,37.600,25.442,2.058,90.614
57,202.400,37.329,26.123,2.037,90.742
58,201.723,37.319,25.656,1.974,90.491
59,201.012,37.265,26.182,2.108,90.663
60,200.354,37.046,26.068,2.052,90.346
61,199.670,37.332,25.610,2.066,90.477
62,198.994,36.935,26.461,2.021,90.395
63,198.295,37.204,25.567,2.092,90.411
64,197.643,37.353,27.186,2.083,90.467
65,196.958,37.051,25.579,2.080,90.463
66,196.264,37.060,26.380,2.103,90.491
67,195.623,37.003,25.941,2.018,90.499
68,194.920,36.960,25.670,2.073,90.667
69,194.254,36.644,26.826,2.026,90.428
70,193.560,37.068,25.582,2.069,90.549
71,192.893,36.983,27.227,2.048,90.828
72,192.200,37.000,25.327,2.090,90.649
73,191.551,36.898,26.544,2.047,90.897
74,190.882,36.823,26.216,2.008,90.777
75,190.168,36.580,26.135,2.101,90.924
76,189.544,37.075,26.692,2.057,91.058
77,188.815,36.752,25.602,2.089,90.953
78,188.172,36.588,26.550,2.015,91.261
79,187.475,36.746,25.818,2.094,91.003
80,186.804,36.295,26.891,2.053,91.369
81,186.183,36.876,26.065,2.019,91.151
82,185.425,36.190,26.483,2.084,91.402
83,184.832,36.528,26.192,1.999,91.472
84,184.072,36.098,26.354,2.170,91.481
85,183.460,36.329,26.822,1.994,91.606
86,182.780,36.320,26.376,2.114,91.583
87,182.090,36.220,26.470,2.064,91.663
88,181.493,36.513,26.273,2.036,91.475
89,180.733,35.870,26.859,2.150,91.657
90,180.136,36.107,26.470,1.978,91.692
91,179.403,36.023,26.644,2.200,91.740
92,178.760,35.935,26.603,2.011,91.742
93,178.107,36.128,26.138,2.155,91.660
94,177.394,35.635,26.399,2.112,91.725
95,176.809,35.976,26.579,1.948,91.718
96,176.026,35.340,26.503,2.169,91.628
97,175.441,35.733,26.609,2.010,91.681
98,174.741,35.691,26.283,2.198,91.769
99,174.063,35.267,26.451,2.065,91.713
100,173.467,35.643,26.512,2.039,91.432
101,172.721,35.187,26.309,2.141,91.428
102,172.119,35.401,26.690,2.004,91.570
103,171.417,35.125,26.581,2.237,91.381
104,170.741,34.865,26.849,2.056,91.416
105,170.135,35.232,27.057,2.061,91.241
106,169.405,34.741,26.792,2.177,91.414
107,168.787,35.057,26.851,2.056,91.330
108,168.100,34.958,26.104,2.202,91.099
109,167.445,34.492,26.941,2.091,91.305
110,166.837,34.949,27.016,2.075,91.123
111,166.115,34.509,26.367,2.158,91.172
112,165.485,34.504,26.881,2.053,91.164
113,164.804,34.614,26.092,2.159,90.977
114,164.147,34.210,26.679,2.101,91.152
115,163.531,34.687,26.779,2.082,91.051
116,162.819,34.326,26.550,2.197,91.067
117,162.194,34.202,27.038,2.052,91.056
118,161.541,34.299,26.022,2.110,90.869
119,160.859,33.985,26.539,2.101,90.968
120,160.242,34.423,27.026,2.053,91.003
121,159.544,34.129,26.165,2.153,90.833
122,158.904,33.829,26.984,2.077,90.995
123,158.271,34.004,26.365,2.072,90.614
124,157.569,33.652,26.544,2.155,90.964
125,156.962,33.866,27.533,2.056,90.911
126,156.276,33.894,25.888,2.154,90.846
127,155.613,33.382,26.953,2.101,91.098
128,155.016,34.001,26.729,2.076,90.909
129,154.297,33.637,26.216,2.171,91.070
130,153.687,33.511,27.200,2.040,91.129
131,153.014,33.636,26.001,2.178,90.819
132,152.357,33.358,26.671,2.134,91.038
133,151.759,33.814,27.058,2.082,91.111
134,151.051,33.442,26.030,2.252,91.131
135,150.418,33.251,27.064,2.103,91.177
136,149.782,33.638,26.632,2.179,91.148
137,149.108,33.256,26.353,2.224,91.179
138,148.493,33.153,27.281,2.065,91.283
139,147.821,33.415,26.178,2.228,91.288
140,147.152,32.820,27.088,2.153,91.382
141,146.598,33.196,26.203,2.074,91.316
142,145.977,33.385,26.680,2.165,91.108
143,145.333,33.020,26.579,2.227,91.673
144,144.747,33.277,26.345,2.138,91.561
145,144.053,33.182,26.419,2.208,91.912
146,143.433,33.106,26.976,2.183,92.078
147,142.810,33.159,26.463,2.150,91.818
148,142.107,33.045,26.840,2.237,92.208
149,141.500,32.902,26.379,2.146,92.082
150,140.888,33.054,26.382,2.038,91.906
151,140.200,32.586,26.445,2.292,92.284
152,139.580,32.601,26.213,2.149,92.028
153,139.004,32.789,25.954,1.973,91.927
154,138.303,32.682,27.198,2.239,92.369
155,137.681,32.684,26.049,2.097,92.007
156,137.112,32.862,27.075,1.923,91.915
157,136.421,32.489,27.039,2.231,92.327
158,135.779,32.387,26.168,2.077,91.976
159,135.216,32.533,26.565,1.939,91.901
160,134.508,32.287,27.007,2.212,92.207
161,133.901,32.236,26.209,2.084,92.049
162,133.339,32.236,26.221,1.975,91.791
163,132.653,32.222,26.369,2.180,91.936
164,132.050,32.043,26.653,2.114,92.017
165,131.447,32.218,26.638,2.008,91.610
166,130.767,32.005,26.117,2.190,91.841
167,130.149,31.964,26.432,2.110,91.882
168,129.544,31.955,26.483,1.998,91.519
169,128.851,31.785,26.169,2.164,91.675
170,128.211,31.606,26.266,2.112,91.706
171,127.652,31.664,26.670,1.974,91.448
172,127.029,31.840,26.160,1.947,91.054
173,126.383,31.495,26.178,2.109,91.282
174,125.835,31.259,26.920,2.061,91.402
175,125.307,31.601,26.188,1.988,91.513
176,124.711,31.510,25.969,1.961,91.142
177,124.040,31.323,26.162,2.142,91.257
178,123.450,31.235,25.983,2.037,91.551
179,122.891,31.521,26.370,1.975,91.306
180,122.274,31.490,25.211,2.077,91.224
181,121.648,31.131,25.788,2.118,91.606
182,121.074,31.328,26.323,2.075,91.434
183,120.445,31.322,25.462,2.078,91.413
184,119.802,31.221,26.333,2.118,91.822
185,119.203,31.259,26.435,2.099,91.593
186,118.613,31.362,26.102,2.006,91.441
187,117.935,30.940,25.825,2.237,91.808
188,117.319,31.096,26.302,2.045,91.686
189,116.775,31.243,26.192,1.966,91.713
190,116.167,31.289,25.670,1.995,91.528
191,115.569,30.818,25.725,2.124,91.565
192,115.011,30.876,26.309,2.109,91.814
193,114.462,30.976,26.573,1.981,91.803
194,113.920,31.092,26.063,1.932,91.734
195,113.215,30.758,25.779,2.130,91.993
196,112.633,30.746,25.889,2.055,92.013
197,112.067,30.780,26.149,1.959,91.776
198,111.478,30.917,26.021,2.012,91.816
199,110.808,30.643,26.538,2.091,92.201
200,110.260,30.647,26.152,2.045,92.053
201,109.626,30.914,25.972,1.983,91.812
202,108.946,30.431,26.592,2.108,92.285
203,108.381,30.550,26.398,2.059,92.056
204,107.782,30.646,26.149,1.926,91.765
205,107.098,30.474,26.560,2.175,92.200
206,106.480,30.424,26.242,2.060,91.961
207,105.911,30.480,26.503,1.932,91.777
208,105.338,30.455,25.855,2.025,91.765
209,104.720,30.177,25.939,2.183,91.959
210,104.132,30.204,25.995,2.091,91.875
211,103.568,30.166,26.298,1.969,91.796
