 ,XM,YM,Major,Minor,Angle
1,243.076,32.015,29.953,2.498,86.896
2,242.384,31.756,29.611,2.614,87.033
3,241.635,31.973,30.175,2.518,87.217
4,240.901,32.121,29.640,2.525,87.663
5,240.185,32.376,29.833,2.518,87.899
6,239.415,32.483,29.986,2.467,88.572
7,238.681,32.593,29.548,2.687,88.683
8,237.975,32.799,30.206,2.477,89.317
9,237.110,33.110,29.962,2.526,89.826
10,236.510,33.171,29.894,2.541,90.314
11,235.681,33.418,30.626,2.508,90.523
12,234.996,33.508,30.074,2.545,91.502
13,234.233,33.519,30.148,2.463,91.688
14,233.546,33.846,30.082,2.488,92.490
15,232.774,33.814,29.707,2.557,92.923
16,232.082,33.909,30.200,2.497,93.217
17,231.348,34.025,30.233,2.550,93.961
18,230.621,34.176,29.357,2.530,93.978
19,229.916,34.289,29.936,2.509,94.404
20,229.110,33.739,29.775,2.513,94.617
21,228.438,34.154,30.030,2.530,95.069
22,227.652,33.666,29.669,2.436,94.873
23,226.917,33.660,30.204,2.553,95.514
24,226.178,33.537,29.602,2.441,95.034
25,225.461,33.473,30.094,2.600,95.451
26,224.715,33.489,29.401,2.535,95.024
27,223.960,32.833,29.886,2.551,94.961
28,223.253,33.067,29.585,2.549,94.727
29,222.477,32.629,30.015,2.540,94.339
30,221.781,32.657,29.138,2.461,93.760
31,221.023,32.510,29.079,2.603,93.481
32,220.303,32.135,30.278,2.471,92.926
33,219.509,31.788,29.675,2.550,92.398
34,218.881,31.792,29.389,2.507,91.946
35,218.113,31.507,29.908,2.474,91.004
36,217.410,31.216,29.644,2.582,90.789
37,216.719,31.011,29.980,2.477,90.029
38,215.936,30.947,29.810,2.463,89.422
39,215.293,30.603,30.023,2.474,89.026
40,214.601,30.553,29.992,2.599,88.052
41,213.828,30.546,29.940,2.499,87.794
42,213.196,30.571,29.591,2.490,87.095
43,212.433,30.410,29.676,2.570,86.538
44,211.757,30.328,29.762,2.476,86.336
45,211.047,30.202,30.605,2.510,85.734
46,210.280,30.635,30.005,2.522,85.525
47,209.628,30.253,30.132,2.493,85.532
48,208.847,30.894,29.884,2.514,85.131
49,208.176,30.596,30.024,2.511,85.221
50,207.376,31.167,29.567,2.483,85.301
51,206.739,30.751,29.763,2.514,85.290
52,205.945,31.511,29.964,2.507,85.414
53,205.250,31.414,29.654,2.504,85.885
54,204.495,31.687,30.091,2.562,85.867
55,203.777,32.000,29.937,2.414,86.635
56,203.037,32.212,29.638,2.563,86.863
57,202.351,32.442,30.248,2.502,87.343
58,201.576,32.854,29.795,2.464,88.084
59,200.936,33.006,29.827,2.471,88.413
60,200.179,33.138,30.121,2.484,89.495
61,199.455,33.539,29.599,2.615,89.964
62,198.775,33.704,30.168,2.480,90.415
63,198.106,33.996,29.774,2.513,91.571
64,197.335,34.012,30.060,2.442,91.834
65,196.685,34.229,30.204,2.478,92.717
66,195.984,34.482,29.280,2.614,93.491
67,195.323,34.690,29.776,2.465,93.850
68,194.587,34.411,30.167,2.547,94.490
69,193.869,34.636,30.259,2.529,95.249
70,193.213,34.680,29.009,2.501,95.258
71,192.457,34.563,30.004,2.513,95.786
72,191.796,34.688,30.142,2.568,96.187
73,191.022,34.394,29.427,2.485,96.036
74,190.318,34.314,30.357,2.578,96.609
75,189.593,34.366,29.451,2.493,96.091
76,188.869,34.085,30.644,2.535,96.475
77,188.167,33.990,29.888,2.504,95.859
78,187.316,33.120,29.935,2.490,95.707
79,186.712,33.465,30.388,2.528,95.505
80,185.973,33.468,29.762,2.495,94.762
81,185.198,32.596,30.181,2.470,94.400
82,184.481,32.546,29.848,2.497,93.766
83,183.861,32.522,30.087,2.478,93.210
84,183.060,32.205,29.975,2.487,92.402
85,182.400,31.848,29.677,2.608,91.919
86,181.704,31.623,30.392,2.443,90.893
87,180.918,31.193,29.710,2.500,90.083
88,180.315,31.012,29.955,2.489,89.563
89,179.639,30.872,30.081,2.497,88.369
90,178.870,30.974,30.012,2.465,87.786
91,178.241,30.512,30.000,2.475,87.077
92,177.545,30.551,29.500,2.566,86.123
93,176.856,30.525,29.543,2.494,85.787
94,176.163,30.577,29.603,2.480,85.206
95,175.448,30.615,30.549,2.552,84.616
96,174.866,30.305,29.839,2.498,84.352
97,174.035,31.051,30.075,2.488,84.072
98,173.443,30.601,29.720,2.547,83.814
99,172.692,31.164,30.026,2.483,83.578
100,172.008,31.120,30.152,2.529,83.562
101,171.294,31.378,30.222,2.523,83.380
102,170.631,31.329,29.980,2.515,83.848
103,169.793,32.317,29.756,2.448,83.956
104,169.225,31.989,30.181,2.545,84.302
105,168.478,32.321,29.705,2.462,84.802
106,167.728,33.041,29.959,2.526,85.149
107,167.072,32.994,30.268,2.510,85.752
108,166.375,33.469,30.200,2.478,86.594
109,165.657,33.935,29.666,2.522,87.251
110,165.008,34.194,29.863,2.477,88.074
111,164.318,34.695,29.785,2.417,89.063
112,163.712,34.943,29.637,2.506,89.709
113,162.946,35.121,29.888,2.466,90.580
114,162.361,35.555,30.278,2.453,91.388
115,161.720,35.716,30.330,2.495,92.566
116,161.116,36.050,29.644,2.572,93.201
117,160.436,36.153,30.138,2.492,94.201
118,159.772,36.032,30.063,2.517,95.029
119,159.131,36.238,29.123,2.403,95.223
120,158.441,36.119,29.418,2.466,95.986
121,157.769,36.016,29.916,2.530,96.812
122,157.170,36.524,29.870,2.496,97.123
123,156.494,36.349,30.324,2.533,97.696
124,155.757,35.902,29.566,2.435,97.577
125,155.101,35.992,29.746,2.583,97.910
126,154.408,35.787,30.067,2.460,97.788
127,153.688,35.497,30.256,2.548,97.857
128,152.977,35.201,28.966,2.485,97.366
129,152.288,35.098,30.794,2.541,97.326
130,151.565,34.643,30.010,2.531,96.858
131,150.845,34.318,29.791,2.464,95.947
132,150.229,34.303,29.328,2.542,95.440
133,149.465,33.658,30.570,2.550,95.024
134,148.750,33.318,29.973,2.630,94.029
135,148.052,32.941,30.087,2.525,93.129
136,147.433,32.736,29.892,2.580,92.208
137,146.738,32.389,30.219,2.476,91.007
138,146.096,32.375,29.608,2.681,90.231
139,145.402,31.886,29.891,2.513,89.485
140,144.775,31.812,29.961,2.583,88.453
141,144.187,31.577,30.204,2.496,87.358
142,143.555,31.498,29.929,2.633,86.160
143,142.946,31.243,30.139,2.539,85.442
144,142.300,31.358,30.088,2.572,84.363
145,141.670,31.416,30.374,2.595,83.589
146,141.081,31.169,30.005,2.513,82.982
147,140.374,31.578,30.356,2.531,82.257
148,139.766,31.492,29.074,2.496,82.225
149,139.018,32.062,29.756,2.515,81.727
150,138.406,31.930,30.342,2.513,81.508
151,137.629,32.583,29.490,2.489,81.525
152,137.013,32.436,29.967,2.535,81.592
153,136.208,33.197,29.915,2.530,81.769
154,135.539,33.347,29.534,2.495,82.332
155,134.895,33.545,30.231,2.485,82.693
156,134.109,34.368,30.203,2.562,83.169
157,133.381,34.895,29.808,2.463,84.040
158,132.766,34.993,29.992,2.552,84.807
159,132.102,35.273,30.320,2.515,85.654
160,131.431,35.888,30.634,2.443,86.932
161,130.791,36.243,29.896,2.541,87.693
162,130.105,36.777,30.042,2.567,88.724
163,129.447,37.279,29.742,2.420,89.837
164,128.833,37.528,29.940,2.499,90.980
165,128.239,37.829,29.853,2.516,92.240
166,127.666,37.965,30.284,2.443,93.154
167,127.024,38.045,30.041,2.529,94.498
168,126.373,38.246,29.785,2.474,95.387
169,125.784,38.432,29.298,2.467,96.050
170,125.143,38.333,29.486,2.470,97.136
171,124.512,38.378,29.659,2.427,97.781
172,123.892,38.552,29.084,2.544,98.505
173,123.281,38.483,29.434,2.504,99.033
174,122.559,38.183,30.125,2.493,99.485
175,121.933,38.259,29.705,2.500,99.684
176,121.245,37.854,29.722,2.508,99.753
177,120.588,37.727,29.755,2.486,99.671
178,119.907,37.485,29.303,2.515,99.531
179,119.207,37.189,30.473,2.465,99.206
180,118.518,36.839,30.036,2.491,98.737
181,117.772,36.352,29.590,2.529,98.135
182,117.124,36.154,29.614,2.508,97.302
183,116.473,36.006,30.038,2.510,96.659
184,115.804,35.519,29.911,2.521,95.664
185,115.096,35.126,29.951,2.479,94.589
186,114.423,34.562,29.957,2.403,93.424
187,113.783,34.315,29.788,2.531,92.440
188,113.146,33.851,30.257,2.426,91.196
