 ,XM,YM,Major,Minor,Angle
1,236.449,43.997,25.156,2.081,89.480
2,235.695,43.916,25.266,2.140,89.689
3,234.927,44.195,25.246,2.209,89.962
4,234.191,44.192,25.240,2.074,90.132
5,233.424,44.180,25.266,2.218,90.517
6,232.690,44.225,25.245,2.108,90.653
7,231.914,44.332,25.181,2.102,90.820
8,231.153,44.177,25.101,2.120,91.116
9,230.428,44.320,25.220,2.121,91.245
10,229.680,44.260,24.816,2.167,91.413
11,228.953,44.402,25.051,2.101,91.653
12,228.183,44.538,25.098,2.109,91.644
13,227.457,44.362,25.121,2.050,91.847
14,226.688,44.376,25.258,2.140,92.067
15,225.946,44.200,24.728,2.152,91.928
16,225.226,44.195,25.744,2.166,92.205
17,224.464,44.220,24.669,2.122,91.900
18,223.747,44.122,25.574,2.092,92.133
19,222.991,44.375,25.163,2.103,91.689
20,222.242,43.965,25.089,2.121,91.922
21,221.501,43.869,25.392,2.129,91.909
22,220.731,43.879,25.298,2.171,91.475
23,220.031,43.857,25.504,2.153,91.598
24,219.265,43.727,25.256,2.163,91.317
25,218.547,43.604,25.451,2.113,91.099
26,217.810,43.551,25.000,2.140,91.214
27,217.085,43.576,25.687,2.116,90.718
28,216.323,43.441,25.216,2.144,90.485
29,215.598,43.240,25.418,2.160,90.342
30,214.877,43.360,25.822,2.127,90.162
31,214.139,43.368,25.642,2.219,90.025
32,213.417,43.173,25.713,2.114,89.828
33,212.670,42.959,25.122,2.197,89.509
34,211.974,43.206,25.159,2.126,89.432
35,211.217,42.937,25.193,2.191,89.092
36,210.490,43.172,25.937,2.150,88.937
37,209.775,42.806,25.032,2.205,88.982
38,209.031,43.163,25.675,2.072,88.541
39,208.333,42.639,25.217,2.166,88.720
40,207.583,43.101,25.830,2.038,88.377
41,206.897,42.655,25.329,2.191,88.640
42,206.126,43.023,25.454,2.057,88.311
43,205.436,42.834,24.566,2.177,88.754
44,204.678,43.178,25.663,2.073,88.366
45,203.933,43.405,24.706,2.200,88.572
46,203.242,43.064,25.745,2.089,88.435
47,202.482,43.521,24.908,2.148,88.724
48,201.807,43.327,25.318,2.124,88.734
49,201.049,43.452,25.468,2.111,88.951
50,200.326,43.313,24.975,2.199,89.124
51,199.618,43.587,25.692,2.093,89.166
52,198.861,43.558,25.252,2.118,89.372
53,198.186,43.683,25.220,2.065,89.607
54,197.425,43.682,25.176,2.125,89.576
55,196.751,43.758,25.682,2.050,89.877
56,196.009,43.634,25.044,2.136,90.012
57,195.313,43.564,25.747,2.078,90.333
58,194.576,43.757,25.400,2.106,90.442
59,193.900,43.765,25.591,2.057,90.619
60,193.166,43.760,25.202,2.100,90.771
61,192.483,43.788,25.037,2.011,91.063
62,191.791,43.925,25.216,2.099,91.218
63,191.084,43.878,24.809,2.041,91.374
64,190.368,43.984,25.413,2.082,91.359
65,189.653,43.880,25.104,2.029,91.505
66,188.950,44.220,25.490,2.065,91.538
67,188.253,43.661,25.669,2.051,91.693
68,187.533,44.038,24.983,2.096,91.579
69,186.834,43.682,25.886,2.066,91.715
70,186.121,44.069,25.114,2.051,91.584
71,185.421,43.792,25.144,2.048,91.783
72,184.716,43.898,25.301,2.080,91.533
73,184.018,43.717,25.334,2.066,91.660
74,183.302,43.805,25.485,2.088,91.485
75,182.606,43.681,25.215,2.088,91.499
76,181.888,43.694,25.351,2.110,91.351
77,181.200,43.607,25.372,2.075,91.407
78,180.470,43.576,25.402,2.106,91.215
79,179.786,43.319,24.966,2.074,91.139
80,179.073,43.498,24.906,2.171,91.089
81,178.401,43.333,24.973,2.062,90.536
82,177.675,43.319,25.256,2.129,90.783
83,177.001,43.244,25.326,2.056,90.439
84,176.299,43.272,24.962,2.109,90.391
85,175.604,43.296,24.938,2.054,90.213
86,174.914,43.211,25.489,2.065,90.222
87,174.201,43.137,25.489,2.065,89.947
88,173.542,43.194,25.251,2.051,89.866
89,172.794,43.207,25.360,2.042,89.681
90,172.146,43.134,25.076,2.054,89.467
91,171.424,43.144,25.108,2.096,89.473
92,170.745,43.262,25.227,2.030,89.547
93,170.019,43.067,25.465,2.112,89.416
94,169.345,43.148,25.223,2.064,89.367
95,168.628,43.049,25.540,2.128,89.272
96,167.965,43.139,25.444,2.102,89.282
97,167.253,43.208,25.496,2.176,89.252
98,166.579,43.231,25.175,2.080,89.359
99,165.865,43.332,25.396,2.173,89.110
100,165.191,43.301,25.354,2.042,89.576
101,164.493,43.340,25.062,2.134,89.311
102,163.814,43.363,25.317,2.057,89.558
103,163.119,43.339,25.305,2.058,89.403
104,162.419,43.425,25.080,2.099,89.623
105,161.768,43.482,25.411,2.049,89.805
106,161.048,43.606,25.225,2.109,89.886
107,160.395,43.538,25.195,2.033,90.061
108,159.662,43.504,25.258,2.129,89.966
109,159.017,43.688,25.333,2.055,90.182
110,158.321,43.613,24.867,2.140,90.585
111,157.635,43.565,25.036,2.057,90.540
112,156.954,43.788,25.460,2.079,90.666
113,156.258,43.673,25.165,2.069,90.771
114,155.579,43.699,25.408,2.049,90.847
115,154.886,43.874,25.203,2.100,91.055
116,154.216,43.623,24.981,2.016,91.147
117,153.525,43.830,25.421,2.104,91.213
118,152.848,43.717,25.189,2.124,91.194
119,152.154,43.742,25.070,2.134,91.332
120,151.485,43.859,25.063,2.077,91.181
121,150.807,43.696,25.388,2.040,91.410
122,150.150,43.942,25.502,2.109,91.407
123,149.466,43.592,25.057,2.021,91.268
124,148.780,43.787,25.603,2.089,91.322
125,148.099,43.534,24.986,2.095,91.279
126,147.407,43.673,25.139,2.162,91.275
127,146.741,43.443,25.435,2.125,91.247
128,146.045,43.563,25.560,2.082,91.265
129,145.386,43.493,24.879,2.081,91.030
130,144.705,43.589,25.091,2.064,91.013
131,144.029,43.601,25.415,2.138,91.078
132,143.376,43.350,25.267,2.106,90.971
133,142.680,43.589,24.733,2.163,91.072
134,142.028,43.324,24.913,2.090,90.650
135,141.333,43.319,25.469,2.111,90.661
136,140.658,43.429,25.077,2.088,90.566
137,139.976,43.376,24.886,2.138,90.463
138,139.302,43.185,25.145,2.150,90.305
139,138.667,43.316,25.237,2.063,90.154
140,137.984,43.405,25.349,2.178,90.280
141,137.313,43.429,25.168,2.080,90.163
142,136.652,43.176,25.355,2.110,90.182
143,135.982,43.075,25.018,2.104,89.912
144,135.322,43.260,25.450,2.001,89.944
145,134.602,43.083,24.925,2.112,89.872
146,133.973,43.270,25.321,2.045,89.913
147,133.270,43.326,24.840,2.108,89.892
148,132.617,43.229,25.237,2.074,89.766
149,131.969,43.360,25.470,2.044,89.774
150,131.275,43.119,24.968,2.108,89.847
151,130.632,43.398,25.125,2.050,89.967
152,129.932,43.343,25.288,2.104,89.914
153,129.287,43.290,25.491,2.065,89.947
154,128.648,43.277,25.384,2.062,89.994
155,127.959,43.259,25.028,2.103,89.952
156,127.320,43.370,25.366,2.019,89.980
157,126.657,43.557,25.133,2.083,90.116
158,125.973,43.439,24.958,2.041,90.218
159,125.340,43.333,25.434,2.081,90.228
160,124.644,43.391,25.295,2.103,90.297
161,124.021,43.625,24.932,2.020,90.511
162,123.345,43.495,24.808,2.030,90.605
163,122.672,43.542,24.901,2.045,90.509
164,122.003,43.523,25.405,2.050,90.576
165,121.327,43.491,25.369,2.086,90.590
166,120.688,43.381,25.297,2.058,90.775
167,120.001,43.547,25.439,2.170,90.923
168,119.365,43.613,25.276,2.049,90.855
169,118.717,43.643,24.971,1.994,91.054
170,118.067,43.793,25.416,2.071,91.208
171,117.416,43.505,25.221,2.087,91.215
172,116.778,43.503,25.993,2.014,91.309
173,116.152,43.673,25.563,2.037,91.391
174,115.491,43.604,25.488,2.054,91.448
175,114.867,43.586,25.240,2.007,91.596
176,114.227,43.701,25.086,2.087,91.521
177,113.564,43.551,25.330,2.022,91.499
178,112.933,43.518,25.448,2.024,91.617
179,112.256,43.467,24.834,2.108,91.335
180,111.601,43.479,25.498,2.020,91.520
181,110.953,43.661,25.170,2.103,91.427
182,110.280,43.454,24.891,2.080,91.345
183,109.651,43.439,25.038,2.068,91.529
184,108.978,43.548,24.908,2.079,90.893
185,108.312,43.334,24.987,2.027,91.260
186,107.651,43.383,25.123,2.073,91.185
187,107.045,43.487,24.887,2.001,90.954
188,106.412,43.278,25.085,2.008,90.974
189,105.811,43.407,25.108,2.108,91.210
190,105.242,43.540,25.427,2.093,91.112
