 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle
1,307,255,255,255,529.171,98.454,86.133,4.538,93.842
2,309,255,255,255,527.697,97.824,87.015,4.521,93.843
3,312,255,255,255,526.218,97.061,87.166,4.557,93.657
4,306,255,255,255,524.794,96.464,87.179,4.469,93.523
5,307,255,255,255,523.308,95.679,86.440,4.522,93.311
6,310,255,255,255,521.877,94.581,87.097,4.532,93.209
7,310,255,255,255,520.490,94.310,86.936,4.540,92.816
8,305,255,255,255,519.021,93.198,86.308,4.499,92.739
9,313,255,255,255,517.583,92.669,87.161,4.572,92.588
10,302,255,255,255,516.146,91.457,86.610,4.440,92.217
11,306,255,255,255,514.797,91.853,86.787,4.489,91.927
12,313,255,255,255,513.286,90.513,86.934,4.584,91.765
13,303,255,255,255,511.850,89.282,86.820,4.444,91.540
14,313,255,255,255,510.532,89.519,87.973,4.530,91.156
15,298,255,255,255,509.107,88.487,85.900,4.417,90.701
16,308,255,255,255,507.737,88.425,87.271,4.494,90.846
17,293,255,255,255,506.108,85.889,86.444,4.316,90.349
18,315,255,255,255,504.995,87.122,89.148,4.499,90.020
19,244,255,255,255,503.525,86.664,87.588,3.547,89.919
20,312,255,255,255,502.006,85.997,88.133,4.507,89.972
21,308,255,255,255,500.750,85.273,87.121,4.501,89.189
22,306,255,255,255,499.399,85.101,87.595,4.448,88.985
23,292,255,255,255,497.842,85.068,85.950,4.326,88.917
24,306,255,255,255,496.575,83.948,87.387,4.458,88.813
25,306,255,255,255,495.190,83.546,87.253,4.465,88.304
26,298,255,255,255,493.782,83.725,86.397,4.392,88.156
27,299,255,255,255,492.356,83.781,87.012,4.375,88.081
28,299,255,255,255,490.985,82.587,86.617,4.395,87.835
29,304,255,255,255,489.586,82.760,87.293,4.434,87.602
30,294,255,255,255,488.173,82.633,86.315,4.337,87.539
31,305,255,255,255,486.749,82.579,87.451,4.441,87.353
32,299,255,255,255,485.383,82.363,86.613,4.395,87.155
33,302,255,255,255,483.924,82.993,86.743,4.433,87.089
34,312,255,255,255,482.532,82.756,87.077,4.562,87.139
35,308,255,255,255,481.192,82.711,87.224,4.496,86.969
36,301,255,255,255,479.743,82.995,87.190,4.396,87.036
37,300,255,255,255,478.360,82.370,87.411,4.370,87.001
38,308,255,255,255,476.919,82.873,87.122,4.501,86.920
39,307,255,255,255,475.497,82.350,86.516,4.518,87.026
40,310,255,255,255,474.061,82.806,87.335,4.519,86.949
41,293,255,255,255,472.722,83.418,86.537,4.311,87.146
42,300,255,255,255,471.343,82.843,87.594,4.361,87.083
43,298,255,255,255,469.876,83.490,86.511,4.386,87.225
44,309,255,255,255,468.519,83.678,87.199,4.512,87.426
45,299,255,255,255,467.105,83.554,86.168,4.418,87.531
46,306,255,255,255,465.690,83.693,87.201,4.468,87.579
47,301,255,255,255,464.221,84.975,87.048,4.403,87.823
48,307,255,255,255,462.881,84.034,87.048,4.490,87.980
49,306,255,255,255,461.510,84.781,86.320,4.514,88.141
50,309,255,255,255,460.144,84.578,87.271,4.508,88.189
51,310,255,255,255,458.745,85.632,87.419,4.515,88.600
52,309,255,255,255,457.474,85.413,87.944,4.474,88.860
53,297,255,255,255,455.995,85.416,85.861,4.404,89.499
54,314,255,255,255,454.669,85.650,87.208,4.584,89.043
55,304,255,255,255,453.059,86.796,87.228,4.437,89.766
56,315,255,255,255,451.998,85.875,89.029,4.505,89.993
57,247,255,255,255,450.589,86.059,86.374,3.641,90.013
58,312,255,255,255,449.019,85.840,88.774,4.475,90.111
59,305,255,255,255,447.949,87.467,87.458,4.440,90.248
60,312,255,255,255,446.603,86.503,87.869,4.521,91.060
61,303,255,255,255,445.315,86.962,87.403,4.414,91.380
62,308,255,255,255,443.831,85.929,87.616,4.476,91.576
63,296,255,255,255,442.541,86.091,86.170,4.374,91.670
64,307,255,255,255,441.184,86.350,87.705,4.457,91.956
65,304,255,255,255,439.911,86.589,87.350,4.431,92.018
66,305,255,255,255,438.520,85.995,88.056,4.410,92.443
67,303,255,255,255,437.272,86.038,86.714,4.449,92.569
68,303,255,255,255,435.929,85.734,86.741,4.448,92.604
69,300,255,255,255,434.600,85.333,87.235,4.379,92.869
70,309,255,255,255,433.341,85.723,87.573,4.493,93.162
71,304,255,255,255,431.977,84.760,87.144,4.442,93.446
72,301,255,255,255,430.663,85.061,87.010,4.405,93.423
73,306,255,255,255,429.291,84.500,86.893,4.484,93.517
74,303,255,255,255,427.972,83.850,87.147,4.427,93.581
75,303,255,255,255,426.711,83.632,87.147,4.427,93.796
76,305,255,255,255,425.349,82.903,87.913,4.417,93.780
77,308,255,255,255,424.114,82.679,87.163,4.499,93.629
78,306,255,255,255,422.905,82.641,87.204,4.468,93.553
79,305,255,255,255,421.572,82.021,87.524,4.437,93.796
80,309,255,255,255,420.212,81.264,87.340,4.505,93.850
81,301,255,255,255,418.909,81.098,86.678,4.421,93.714
82,294,255,255,255,417.653,80.922,86.762,4.314,93.363
83,302,255,255,255,416.358,80.212,87.066,4.416,93.340
84,300,255,255,255,415.087,78.920,87.563,4.362,93.356
85,302,255,255,255,413.868,78.490,87.978,4.371,93.427
86,297,255,255,255,412.652,78.527,86.825,4.355,93.166
87,301,255,255,255,411.493,77.968,87.528,4.379,92.930
88,299,255,255,255,410.276,77.289,86.724,4.390,92.918
89,306,255,255,255,408.974,76.719,87.842,4.435,92.854
90,305,255,255,255,407.605,76.139,87.224,4.452,92.706
91,298,255,255,255,406.356,75.342,87.683,4.327,92.580
92,297,255,255,255,405.167,74.695,87.218,4.336,92.134
93,297,255,255,255,404.039,74.463,87.547,4.319,92.057
94,299,255,255,255,402.858,74.273,87.352,4.358,92.012
95,289,255,255,255,401.597,73.434,86.206,4.268,91.745
96,296,255,255,255,400.456,73.838,86.419,4.361,91.437
97,298,255,255,255,399.399,73.523,87.147,4.354,91.358
98,295,255,255,255,398.219,73.036,86.084,4.363,91.223
99,304,255,255,255,396.793,71.776,87.357,4.431,90.805
100,306,255,255,255,395.575,70.908,88.096,4.423,91.061
101,277,255,255,255,394.247,68.673,87.021,4.053,90.663
102,312,255,255,255,393.019,69.917,88.974,4.465,90.097
103,313,255,255,255,391.995,69.871,88.471,4.505,90.021
104,313,255,255,255,390.995,69.871,88.471,4.505,90.021
105,297,255,255,255,389.763,68.288,87.222,4.335,89.327
106,298,255,255,255,388.513,69.087,89.036,4.261,88.985
107,299,255,255,255,387.443,69.045,88.126,4.320,88.977
108,290,255,255,255,386.221,69.169,86.707,4.258,89.060
109,297,255,255,255,384.816,69.655,86.887,4.352,88.709
110,305,255,255,255,383.621,68.969,87.478,4.439,88.759
111,305,255,255,255,382.444,67.959,87.433,4.442,88.673
112,303,255,255,255,381.312,68.203,87.659,4.401,88.348
113,304,255,255,255,380.102,68.309,88.190,4.389,88.141
114,299,255,255,255,378.911,68.075,87.269,4.362,87.926
115,301,255,255,255,377.706,68.284,87.738,4.368,87.772
116,296,255,255,255,376.591,67.919,87.193,4.322,87.641
117,302,255,255,255,375.394,68.679,87.839,4.378,87.470
118,297,255,255,255,374.234,67.931,87.294,4.332,87.429
119,298,255,255,255,372.836,68.815,87.205,4.351,87.244
120,305,255,255,255,371.628,68.336,87.855,4.420,87.374
121,307,255,255,255,370.458,68.725,88.038,4.440,87.261
122,299,255,255,255,369.253,68.667,86.996,4.376,87.214
123,306,255,255,255,367.967,68.922,86.936,4.482,87.025
124,299,255,255,255,366.751,69.015,87.096,4.371,87.206
125,311,255,255,255,365.494,69.773,87.953,4.502,87.271
126,307,255,255,255,364.428,69.819,88.018,4.441,87.278
127,301,255,255,255,363.248,69.616,87.729,4.369,87.123
128,308,255,255,255,361.906,70.136,87.831,4.465,87.023
129,312,255,255,255,360.587,70.487,88.045,4.512,87.298
130,306,255,255,255,359.340,70.742,87.784,4.438,87.505
131,295,255,255,255,358.232,71.185,87.115,4.312,87.612
132,296,255,255,255,357.061,71.155,86.093,4.378,87.661
133,300,255,255,255,355.850,71.567,87.551,4.363,87.693
134,299,255,255,255,354.654,71.667,87.812,4.335,87.663
135,298,255,255,255,353.443,71.862,86.820,4.370,87.884
136,296,255,255,255,352.324,72.679,87.247,4.320,88.043
137,309,255,255,255,351.092,72.775,88.207,4.460,88.130
138,304,255,255,255,349.845,73.059,87.443,4.426,88.376
139,303,255,255,255,348.589,73.111,87.640,4.402,88.786
140,304,255,255,255,347.431,72.895,88.340,4.382,88.803
141,295,255,255,255,346.310,73.737,87.349,4.300,88.933
142,290,255,255,255,345.097,74.755,85.484,4.319,89.393
143,303,255,255,255,343.893,73.144,86.883,4.440,89.501
144,295,255,255,255,342.798,72.839,87.466,4.294,89.341
145,257,255,255,255,341.601,74.165,86.591,3.779,89.788
146,246,255,255,255,340.427,75.480,88.083,3.556,89.795
147,313,255,255,255,339.005,74.625,88.466,4.505,90.021
148,313,255,255,255,337.995,74.871,88.471,4.505,90.021
149,307,255,255,255,336.767,75.721,87.579,4.463,90.746
150,304,255,255,255,335.605,75.398,88.652,4.366,91.012
151,309,255,255,255,334.536,75.180,88.534,4.444,91.100
152,307,255,255,255,333.393,75.373,87.791,4.452,91.132
153,300,255,255,255,332.157,75.783,87.361,4.372,91.371
154,305,255,255,255,330.923,75.159,87.881,4.419,91.569
155,309,255,255,255,329.837,74.749,87.790,4.481,91.620
156,306,255,255,255,328.755,74.791,87.597,4.448,91.656
157,304,255,255,255,327.566,75.444,87.086,4.445,91.908
158,302,255,255,255,326.215,74.752,87.672,4.386,91.962
159,305,255,255,255,325.002,74.802,87.264,4.450,92.001
160,304,255,255,255,323.918,75.312,86.999,4.449,92.104
161,303,255,255,255,322.787,75.021,86.835,4.443,92.347
162,307,255,255,255,321.572,74.393,87.978,4.443,92.473
163,306,255,255,255,320.356,74.366,87.496,4.453,92.575
164,297,255,255,255,319.160,74.005,86.432,4.375,92.568
165,302,255,255,255,318.079,74.123,87.028,4.418,92.664
166,309,255,255,255,316.888,73.510,87.061,4.519,92.574
167,313,255,255,255,315.612,73.155,88.227,4.517,92.637
168,308,255,255,255,314.373,72.870,87.298,4.492,92.624
169,305,255,255,255,313.192,72.959,87.219,4.452,92.682
170,292,255,255,255,312.062,72.312,86.479,4.299,92.698
171,289,255,255,255,310.950,71.936,86.408,4.258,92.472
172,305,255,255,255,309.789,72.041,87.017,4.463,92.433
173,308,255,255,255,308.578,71.419,88.132,4.450,92.507
174,301,255,255,255,307.447,71.058,88.048,4.353,92.470
175,300,255,255,255,306.280,70.487,87.198,4.381,92.332
176,305,255,255,255,305.152,70.264,88.081,4.409,92.175
177,306,255,255,255,303.954,70.124,87.587,4.448,92.018
178,300,255,255,255,302.687,70.097,87.299,4.375,92.012
179,292,255,255,255,301.545,69.168,86.949,4.276,92.001
180,293,255,255,255,300.387,69.422,86.647,4.306,91.717
181,297,255,255,255,299.278,69.345,87.430,4.325,91.622
182,300,255,255,255,298.037,68.373,88.235,4.329,91.719
183,297,255,255,255,296.813,67.348,86.909,4.351,91.505
184,303,255,255,255,295.629,67.361,87.821,4.393,91.232
185,308,255,255,255,294.591,67.247,88.609,4.426,91.109
186,303,255,255,255,293.493,66.860,88.127,4.378,91.102
187,308,255,255,255,292.159,65.877,87.803,4.466,90.630
188,305,255,255,255,290.956,67.211,87.617,4.432,90.260
189,290,255,255,255,289.869,67.948,86.265,4.280,90.454
190,291,255,255,255,288.864,67.730,87.020,4.258,90.453
191,257,255,255,255,287.648,66.710,87.286,3.749,90.282
192,246,255,255,255,286.419,66.244,88.251,3.549,89.743
193,303,255,255,255,285.064,65.896,87.119,4.428,89.746
194,312,255,255,255,284.026,64.952,88.530,4.487,89.894
195,307,255,255,255,283.031,65.044,87.699,4.457,89.792
196,304,255,255,255,281.855,64.266,87.068,4.446,89.263
197,310,255,255,255,280.619,64.142,87.992,4.486,88.934
198,306,255,255,255,279.458,64.232,88.704,4.392,88.910
199,292,255,255,255,278.342,64.003,88.118,4.219,88.885
200,294,255,255,255,277.204,63.527,87.129,4.296,88.593
201,293,255,255,255,276.046,63.906,87.650,4.256,88.378
202,295,255,255,255,274.825,64.612,87.117,4.311,88.416
203,292,255,255,255,273.654,64.171,85.722,4.337,88.401
204,290,255,255,255,272.541,64.403,86.152,4.286,88.385
205,295,255,255,255,271.354,64.381,86.414,4.347,88.077
206,300,255,255,255,270.197,64.260,87.113,4.385,87.923
207,303,255,255,255,268.982,64.068,88.156,4.376,88.043
208,300,255,255,255,267.780,63.847,87.220,4.379,87.971
209,294,255,255,255,266.605,64.677,87.299,4.288,87.939
210,288,255,255,255,265.503,64.601,87.766,4.178,87.852
211,297,255,255,255,264.352,65.130,87.407,4.326,87.841
212,301,255,255,255,263.118,65.055,87.021,4.404,87.787
213,300,255,255,255,261.993,64.347,86.687,4.406,87.801
214,301,255,255,255,260.872,64.949,87.310,4.389,87.872
215,305,255,255,255,259.710,65.556,88.244,4.401,87.716
216,309,255,255,255,258.481,65.358,87.771,4.482,87.812
217,298,255,255,255,257.181,66.389,87.291,4.347,87.874
218,303,255,255,255,256.038,66.018,87.884,4.390,88.053
219,301,255,255,255,254.965,66.204,88.102,4.350,88.150
220,305,255,255,255,253.815,66.605,87.686,4.429,88.110
221,295,255,255,255,252.636,67.090,86.132,4.361,88.254
222,290,255,255,255,251.400,66.593,86.394,4.274,88.239
223,301,255,255,255,250.261,66.729,87.826,4.364,88.347
224,302,255,255,255,249.152,67.480,87.985,4.370,88.453
225,290,255,255,255,247.928,68.117,86.842,4.252,88.598
226,302,255,255,255,246.699,68.470,86.857,4.427,88.786
227,305,255,255,255,245.572,67.739,87.959,4.415,88.909
228,298,255,255,255,244.379,68.638,88.819,4.272,89.030
229,284,255,255,255,243.222,70.458,87.558,4.130,89.345
230,291,255,255,255,242.119,70.610,86.442,4.286,89.552
231,313,255,255,255,241.005,68.871,88.471,4.505,89.979
232,308,255,255,255,239.964,68.123,87.884,4.462,89.861
233,308,255,255,255,238.961,68.393,88.041,4.454,89.894
234,244,255,255,255,237.549,69.463,88.050,3.528,90.029
235,259,255,255,255,236.384,68.091,87.846,3.754,90.364
236,315,255,255,255,235.005,69.135,89.197,4.496,90.060
237,312,255,255,255,233.984,69.715,88.490,4.489,90.108
238,293,255,255,255,232.892,71.507,86.431,4.316,90.427
239,293,255,255,255,231.828,71.302,86.473,4.314,90.632
240,303,255,255,255,230.649,70.134,87.971,4.385,90.978
241,307,255,255,255,229.507,69.767,88.210,4.431,91.127
242,298,255,255,255,228.349,70.265,87.303,4.346,91.229
243,289,255,255,255,227.206,70.898,86.754,4.241,91.452
244,302,255,255,255,226.076,70.023,87.456,4.397,91.627
245,302,255,255,255,224.897,69.937,87.307,4.404,91.603
246,301,255,255,255,223.713,69.121,87.630,4.373,91.680
247,292,255,255,255,222.524,69.825,86.255,4.310,91.598
248,291,255,255,255,221.390,69.806,86.596,4.279,91.814
249,296,255,255,255,220.253,69.108,87.191,4.322,91.872
250,301,255,255,255,219.141,68.988,87.718,4.369,91.951
251,305,255,255,255,217.969,68.926,87.494,4.438,91.947
252,297,255,255,255,216.769,69.584,86.736,4.360,92.008
253,299,255,255,255,215.664,69.283,87.066,4.373,92.145
254,297,255,255,255,214.584,68.857,87.178,4.338,92.226
255,309,255,255,255,213.345,68.367,87.609,4.491,92.190
256,299,255,255,255,212.129,68.145,87.329,4.359,91.997
257,299,255,255,255,210.928,68.085,87.121,4.370,92.051
258,297,255,255,255,209.874,68.167,87.575,4.318,92.116
259,297,255,255,255,208.823,68.157,87.237,4.335,92.020
260,294,255,255,255,207.690,67.721,86.390,4.333,92.012
261,292,255,255,255,206.414,67.233,86.290,4.309,91.728
262,305,255,255,255,205.198,66.608,88.210,4.402,91.824
263,294,255,255,255,204.099,66.058,88.149,4.247,91.885
264,299,255,255,255,203.022,66.025,87.688,4.342,91.790
265,310,255,255,255,201.858,65.597,87.967,4.487,91.674
266,305,255,255,255,200.585,65.202,87.219,4.452,91.365
267,295,255,255,255,199.469,65.653,86.789,4.328,91.337
268,294,255,255,255,198.391,65.456,87.145,4.296,91.327
269,294,255,255,255,197.327,65.041,87.157,4.295,91.268
270,288,255,255,255,196.149,64.406,85.974,4.265,91.088
271,287,255,255,255,194.922,64.768,85.497,4.274,90.594
272,302,255,255,255,193.752,64.315,87.434,4.398,90.832
273,302,255,255,255,192.712,63.940,88.587,4.341,90.895
274,301,255,255,255,191.636,63.251,87.860,4.362,90.977
275,280,255,255,255,190.239,60.914,87.274,4.085,90.564
276,314,255,255,255,189.006,62.497,88.811,4.502,90.014
277,316,255,255,255,188.000,62.247,89.378,4.502,90.041
278,315,255,255,255,186.995,62.122,89.148,4.499,90.020
279,314,255,255,255,186.000,61.748,88.689,4.508,90.000
280,297,255,255,255,184.833,60.537,86.564,4.368,89.446
281,293,255,255,255,183.483,61.998,88.430,4.219,89.000
282,276,255,255,255,182.232,63.982,87.066,4.036,89.463
