 ,XM,YM,Major,Minor,Angle
145,162.228,39.120,26.714,2.394,90.818
146,161.434,38.781,27.126,2.128,90.310
147,160.828,38.789,27.406,2.173,90.401
148,160.131,38.990,26.324,2.401,90.332
149,159.306,38.807,26.991,2.098,90.086
150,158.701,38.733,27.015,2.191,90.074
151,158.014,38.772,26.452,2.321,89.974
152,157.205,38.703,26.188,2.149,89.870
153,156.575,38.819,27.195,2.177,89.814
154,155.946,38.357,27.130,2.249,89.414
155,155.163,38.592,25.703,2.289,89.575
156,154.446,38.724,27.147,2.140,89.660
157,153.827,38.270,27.416,2.199,89.369
158,153.080,38.442,25.921,2.439,89.206
159,152.312,38.665,26.896,2.133,89.549
160,151.696,38.493,27.048,2.175,89.292
161,151.003,38.294,26.588,2.364,88.923
162,150.214,38.654,26.575,2.159,89.520
163,149.578,38.583,26.802,2.168,89.388
164,148.923,38.503,27.195,2.338,89.176
165,148.146,38.618,25.885,2.259,89.484
166,147.461,38.667,27.311,2.167,89.606
167,146.836,38.643,27.010,2.259,89.377
168,146.110,38.549,25.742,2.441,89.428
169,145.346,38.815,26.861,2.149,89.757
170,144.742,38.682,27.266,2.198,89.606
171,144.036,38.741,26.317,2.430,89.798
172,143.242,38.687,26.218,2.160,89.777
173,142.633,38.710,26.921,2.199,89.932
174,141.976,38.781,26.504,2.302,90.237
175,141.260,38.808,26.235,2.409,90.126
176,140.511,38.650,26.770,2.170,90.062
177,139.915,38.816,27.227,2.214,90.325
178,139.189,38.857,25.921,2.439,90.582
179,138.411,38.521,26.791,2.141,90.256
180,137.803,38.510,26.772,2.184,90.464
181,137.150,38.801,26.637,2.359,90.680
182,136.440,38.804,26.120,2.406,90.782
183,135.699,38.669,26.953,2.142,90.535
184,135.100,38.657,27.040,2.149,90.706
185,134.411,38.851,26.742,2.391,91.054
186,133.621,38.447,26.688,2.136,90.554
187,132.988,38.704,27.058,2.147,90.715
188,132.373,38.770,26.813,2.221,90.873
189,131.640,38.552,26.126,2.406,90.829
190,130.884,38.399,26.901,2.119,90.529
191,130.279,38.472,27.367,2.163,90.660
192,129.613,38.492,27.124,2.371,90.985
193,128.810,38.360,26.570,2.187,90.444
194,128.186,38.347,26.656,2.166,90.248
195,127.571,38.407,27.387,2.201,90.466
196,126.856,38.375,26.023,2.415,90.538
197,126.086,38.114,26.964,2.114,90.190
198,125.495,38.237,27.357,2.177,90.126
199,124.853,38.203,27.414,2.226,90.152
200,124.098,38.035,26.211,2.370,90.000
201,123.387,38.190,26.581,2.144,89.974
202,122.791,38.006,27.395,2.187,89.724
203,122.118,38.194,26.657,2.303,89.806
204,121.299,37.995,26.375,2.120,89.757
205,120.698,38.112,27.171,2.152,89.739
206,120.092,37.754,27.022,2.164,89.447
207,119.346,37.937,25.834,2.404,89.427
208,118.593,38.199,26.795,2.100,89.710
209,117.989,37.998,27.105,2.157,89.489
210,117.362,37.865,27.035,2.284,89.376
211,116.636,38.035,25.685,2.418,89.448
212,115.892,38.096,27.022,2.136,89.693
213,115.289,38.009,27.014,2.191,89.527
214,114.652,37.955,26.883,2.324,89.320
215,113.868,37.893,26.182,2.205,89.591
216,113.200,38.040,26.995,2.152,89.772
217,112.612,38.009,27.512,2.178,89.550
218,111.930,38.118,26.314,2.333,89.758
219,111.141,37.837,26.028,2.148,89.727
220,110.512,38.091,26.784,2.169,89.869
221,109.921,37.885,27.164,2.206,89.834
222,109.217,37.974,25.808,2.379,90.060
223,108.417,37.946,26.594,2.102,89.993
224,107.833,38.114,26.770,2.170,90.062
225,107.220,38.369,26.694,2.217,90.344
226,106.495,38.164,26.401,2.394,90.439
227,105.744,38.074,26.561,2.160,90.252
228,105.140,38.125,26.567,2.159,90.352
229,104.520,38.163,27.365,2.243,90.551
230,103.817,38.253,26.264,2.407,90.708
231,103.051,38.071,26.810,2.112,90.380
232,102.447,38.220,26.365,2.162,90.517
233,101.821,38.162,26.748,2.281,90.686
234,101.114,38.099,25.551,2.402,90.737
235,100.369,37.888,26.843,2.110,90.306
236,99.767,37.956,27.321,2.167,90.577
237,99.142,38.011,26.817,2.275,90.737
238,98.425,38.026,26.348,2.413,90.670
239,97.684,37.856,26.815,2.126,90.342
240,97.086,37.951,26.923,2.171,90.497
241,96.457,38.008,26.830,2.274,90.645
242,95.750,37.918,26.107,2.435,90.612
243,95.012,37.719,26.788,2.114,90.185
244,94.411,37.911,26.989,2.166,90.304
245,93.773,37.754,26.489,2.276,90.369
246,93.046,37.818,25.842,2.390,90.228
247,92.314,37.696,26.662,2.152,90.087
248,91.745,37.843,27.342,2.178,90.059
249,91.096,37.838,26.795,2.264,90.150
250,90.361,37.728,25.778,2.325,89.845
251,89.644,37.625,26.544,2.134,89.891
252,89.069,37.761,27.178,2.178,89.907
253,88.411,37.654,26.486,2.290,89.720
254,87.692,37.618,26.016,2.374,89.661
255,86.967,37.607,26.887,2.134,89.798
256,86.382,37.469,26.968,2.168,89.669
257,85.748,37.583,26.804,2.263,89.605
258,85.018,37.562,26.033,2.414,89.534
259,84.288,37.784,26.888,2.134,89.816
260,83.697,37.725,27.472,2.181,89.630
261,83.064,37.612,27.051,2.283,89.462
262,82.351,37.761,26.098,2.366,89.623
263,81.615,37.722,26.679,2.123,89.769
264,81.029,37.827,27.069,2.173,89.779
265,80.385,37.716,26.607,2.280,89.575
266,79.679,37.529,26.098,2.422,89.560
267,78.927,37.692,26.696,2.135,89.857
268,78.351,37.687,27.040,2.176,89.847
269,77.707,37.754,26.285,2.252,89.776
270,76.992,37.805,26.119,2.350,89.892
271,76.261,37.767,26.499,2.124,90.000
272,75.677,37.622,27.173,2.178,89.974
273,75.044,37.862,26.804,2.236,90.200
274,74.323,37.923,25.756,2.383,90.297
275,73.584,37.699,27.088,2.118,90.087
276,72.994,37.847,27.040,2.176,90.153
277,72.359,37.908,26.506,2.261,90.338
278,71.658,37.931,26.005,2.389,90.461
279,70.909,37.808,26.997,2.111,90.243
280,70.315,37.771,26.874,2.175,90.333
281,69.698,38.072,27.125,2.250,90.554
282,68.991,37.814,26.135,2.405,90.620
283,68.224,37.777,26.967,2.127,90.278
284,67.638,37.804,26.789,2.155,90.433
285,67.033,37.884,27.356,2.204,90.648
286,66.311,37.767,26.353,2.399,90.568
287,65.547,37.572,26.553,2.119,90.252
288,64.949,37.686,26.606,2.170,90.417
289,64.337,37.761,26.921,2.267,90.539
290,63.615,37.734,26.244,2.450,90.433
291,62.875,37.603,26.588,2.103,90.216
292,62.286,37.664,26.378,2.161,90.321
293,61.651,37.728,26.992,2.247,90.356
294,60.949,37.691,26.402,2.422,90.371
295,60.194,37.549,26.710,2.120,90.118
296,59.601,37.420,27.492,2.193,90.079
297,58.967,37.594,26.791,2.237,90.190
298,58.236,37.518,26.073,2.410,90.076
299,57.509,37.444,26.901,2.119,89.905
300,56.925,37.336,27.319,2.194,89.927
301,56.279,37.607,26.542,2.299,90.004
302,55.556,37.606,25.441,2.427,89.908
303,54.815,37.757,26.010,2.149,90.087
304,54.233,37.784,26.862,2.217,90.052
305,53.581,37.479,27.084,2.334,89.790
306,52.873,37.202,26.365,2.522,89.801
307,52.114,37.414,27.244,2.200,89.986
308,51.542,37.369,27.540,2.229,89.848
309,50.862,37.234,26.875,2.420,89.879
310,50.192,37.252,26.631,2.483,89.449
311,49.488,37.352,26.632,2.264,89.726
312,48.874,37.455,27.216,2.215,89.641
313,48.167,37.512,26.251,2.394,89.708
314,47.426,37.468,26.001,2.291,89.844
315,46.773,37.666,26.966,2.154,89.893
316,46.171,37.573,26.896,2.214,89.967
317,45.471,37.548,26.156,2.389,89.954
318,44.687,37.496,26.626,2.141,90.051
319,44.080,37.499,26.604,2.170,90.000
320,43.451,37.571,26.585,2.254,90.043
321,42.715,37.758,26.121,2.434,90.201
322,41.981,37.578,26.964,2.114,90.190
323,41.378,37.541,27.602,2.197,90.187
324,40.718,37.636,26.770,2.334,90.372
325,40.013,37.670,26.397,2.450,90.422
326,39.280,37.649,27.025,2.150,90.255
327,38.679,37.663,27.333,2.192,90.397
328,38.006,37.739,26.565,2.380,90.450
329,37.235,37.450,26.209,2.258,90.368
330,36.581,37.491,27.440,2.170,90.361
331,35.967,37.833,26.937,2.225,90.567
332,35.250,37.752,26.265,2.448,90.696
333,34.467,37.534,26.669,2.137,90.250
334,33.867,37.540,26.656,2.193,90.484
335,33.218,37.611,26.616,2.348,90.602
336,32.417,37.504,26.086,2.255,90.315
337,31.767,37.440,26.723,2.174,90.185
338,31.142,37.603,26.838,2.219,90.575
339,30.418,37.495,25.862,2.416,90.530
340,29.649,37.242,26.504,2.137,90.235
341,29.054,37.464,26.737,2.173,90.327
342,28.392,37.416,26.224,2.341,90.329
343,27.618,37.371,26.122,2.308,90.188
344,26.940,37.158,26.928,2.185,90.084
345,26.325,37.434,26.723,2.242,90.235
346,25.580,37.365,26.266,2.504,90.050
347,24.811,37.313,26.555,2.160,90.064
348,24.223,37.341,27.363,2.217,89.926
349,23.493,37.499,26.353,2.468,89.903
350,22.705,37.238,26.451,2.127,89.937
351,22.097,37.419,27.104,2.197,89.845
352,21.439,37.337,26.731,2.365,89.827
353,20.681,37.303,26.161,2.402,89.857
354,19.968,37.369,26.676,2.192,89.930
355,19.341,37.266,27.168,2.313,89.683
356,18.608,37.281,25.830,2.461,89.625
357,17.850,37.214,26.409,2.158,89.900
358,17.238,37.254,27.227,2.214,89.675
359,16.498,37.275,25.478,2.467,89.676
360,15.713,37.245,26.440,2.142,89.863
361,15.112,37.270,27.232,2.214,89.866
362,14.371,37.256,26.121,2.490,89.773
363,13.585,37.245,26.374,2.161,89.938
364,12.975,37.410,27.194,2.217,89.893
365,12.253,37.373,25.906,2.454,89.862
366,11.435,37.263,26.465,2.140,89.963
367,10.847,37.205,27.090,2.199,89.994
368,10.117,37.388,25.835,2.419,89.942
369,9.375,23.839,0.604,0.604,0.000
370,9.298,37.606,25.678,2.177,90.175
371,8.699,37.647,26.626,2.196,90.124
372,7.966,37.414,25.906,2.482,90.153
373,7.149,37.432,26.474,2.139,90.090
374,6.548,37.307,26.889,2.215,90.158
375,5.813,37.393,26.258,2.533,90.327
376,5.003,37.280,26.386,2.146,90.119
377,4.384,37.365,26.874,2.230,90.310
378,3.662,37.414,25.668,2.463,90.370
379,2.851,37.265,26.763,2.157,90.196
380,2.242,37.496,27.136,2.181,90.463
381,1.542,37.512,26.478,2.263,90.503
382,0.847,37.369,28.287,1.757,90.248
383,0.502,37.932,28.984,1.185,90.217
384,269.727,0.268,1.813,0.604,0.000
385,276.156,2.411,0.604,0.604,0.000
386,56.517,10.982,0.604,0.604,0.000
387,268.656,12.321,1.209,0.604,90.000
388,275.084,12.053,0.604,0.604,0.000
389,272.559,14.196,1.653,1.547,90.000
390,268.120,14.196,0.604,0.604,0.000
391,269.192,14.732,0.604,0.604,0.000
392,203.836,15.803,0.604,0.604,0.000
393,217.094,17.812,1.710,0.855,161.565
394,269.192,18.482,0.604,0.604,0.000
395,256.870,19.018,0.604,0.604,0.000
396,278.834,23.839,0.604,0.604,0.000
397,54.374,24.375,0.604,0.604,0.000
398,0.268,38.571,29.015,0.604,90.000
399,50.892,27.053,1.209,0.604,0.000
400,271.067,30.267,1.209,0.604,0.000
401,269.459,30.803,1.209,0.604,0.000
402,50.624,33.482,0.604,0.604,0.000
403,264.370,46.874,0.604,0.604,0.000
404,265.977,47.410,0.604,0.604,0.000
405,271.067,50.088,1.209,0.604,0.000
406,268.388,50.892,1.390,0.526,45.000
407,182.943,58.928,1.209,0.604,90.000
408,250.442,59.731,0.604,0.604,0.000
409,31.339,61.338,0.604,0.604,0.000
410,45.133,1.138,1.919,1.523,70.670
411,52.767,0.268,0.604,0.604,0.000
412,118.301,0.893,2.214,0.990,77.067
413,183.785,0.727,2.285,1.119,138.421
414,210.264,0.268,0.604,0.604,0.000
415,273.867,1.266,8.421,1.909,164.680
416,278.834,0.268,0.604,0.604,0.000
417,24.375,0.804,0.604,0.604,0.000
418,65.624,0.804,0.604,0.604,0.000
419,47.946,1.339,0.604,0.604,0.000
420,51.160,1.339,0.604,0.604,0.000
421,49.017,1.875,0.604,0.604,0.000
422,160.979,1.875,0.604,0.604,0.000
423,162.229,2.054,1.267,0.865,45.000
424,253.120,1.875,0.604,0.604,0.000
425,46.874,2.411,0.604,0.604,0.000
426,125.623,2.411,0.604,0.604,0.000
427,14.410,3.589,1.684,1.085,108.435
428,79.552,2.946,0.604,0.604,0.000
429,188.836,2.946,0.604,0.604,0.000
430,265.977,2.946,0.604,0.604,0.000
431,118.123,4.783,2.477,1.033,94.844
432,279.370,3.482,0.604,0.604,0.000
433,66.695,4.018,0.604,0.604,0.000
434,219.371,4.018,0.604,0.604,0.000
435,44.731,4.553,0.604,0.604,0.000
436,57.588,4.553,0.604,0.604,0.000
437,139.015,4.821,1.209,0.604,90.000
438,256.156,4.732,1.267,0.865,135.000
439,278.393,6.854,4.627,2.685,105.263
440,20.089,5.089,0.604,0.604,0.000
441,167.408,5.089,0.604,0.604,0.000
442,268.924,5.089,1.209,0.604,0.000
443,44.196,5.625,0.604,0.604,0.000
444,149.729,5.625,0.604,0.604,0.000
445,241.871,5.625,0.604,0.604,0.000
446,248.299,7.666,4.355,1.762,77.146
447,246.156,6.161,0.604,0.604,0.000
448,1.875,6.696,0.604,0.604,0.000
449,27.589,6.696,0.604,0.604,0.000
450,118.257,7.098,1.710,0.855,71.565
451,139.551,6.696,0.604,0.604,0.000
452,200.621,6.964,1.209,0.604,90.000
453,275.084,6.696,0.604,0.604,0.000
454,107.409,7.232,0.604,0.604,0.000
455,141.158,7.232,0.604,0.604,0.000
456,165.265,7.232,0.604,0.604,0.000
457,167.331,8.303,2.313,1.106,48.260
458,169.015,7.232,0.604,0.604,0.000
459,215.085,7.232,0.604,0.604,0.000
460,250.978,7.232,0.604,0.604,0.000
461,198.479,7.768,0.604,0.604,0.000
462,42.971,9.298,2.212,1.156,112.500
463,274.013,8.303,0.604,0.604,0.000
464,203.631,14.226,12.140,4.876,139.708
465,164.863,10.178,2.126,0.687,107.609
466,264.370,9.375,0.604,0.604,0.000
467,44.731,9.911,0.604,0.604,0.000
468,143.837,9.911,0.604,0.604,0.000
469,168.077,10.178,1.547,0.945,14.872
470,197.407,9.911,0.604,0.604,0.000
471,270.920,15.020,10.606,6.856,45.856
472,60.802,10.446,0.604,0.604,0.000
473,149.194,10.446,0.604,0.604,0.000
474,170.086,10.446,0.604,0.604,0.000
475,239.014,10.625,1.267,0.865,135.000
476,243.478,10.446,0.604,0.604,0.000
477,249.371,10.446,0.604,0.604,0.000
478,44.196,10.982,0.604,0.604,0.000
479,56.963,11.161,2.214,0.990,167.067
480,262.763,10.982,0.604,0.604,0.000
481,263.835,10.982,0.604,0.604,0.000
482,84.909,11.518,0.604,0.604,0.000
483,145.444,11.518,0.604,0.604,0.000
484,146.515,11.518,0.604,0.604,0.000
485,167.741,14.637,5.563,2.956,80.142
486,216.693,11.518,0.604,0.604,0.000
487,249.585,12.268,2.554,0.715,45.000
488,43.392,12.053,1.209,0.604,0.000
489,45.401,13.125,2.719,1.075,58.990
490,80.624,12.053,0.604,0.604,0.000
491,166.336,12.053,0.604,0.604,0.000
492,42.818,13.814,2.572,0.994,122.528
493,57.588,13.125,0.604,0.604,0.000
494,118.123,13.393,1.209,0.604,90.000
495,170.086,13.125,0.604,0.604,0.000
496,260.620,13.393,1.209,0.604,90.000
497,253.656,13.660,0.604,0.604,0.000
498,30.267,14.196,0.604,0.604,0.000
499,40.981,14.196,0.604,0.604,0.000
500,220.978,14.196,0.604,0.604,0.000
501,229.549,14.196,0.604,0.604,0.000
502,32.410,15.268,0.604,0.604,0.000
503,169.551,15.268,0.604,0.604,0.000
504,253.013,15.803,2.125,1.720,0.000
505,40.981,15.803,0.604,0.604,0.000
506,64.017,15.803,0.604,0.604,0.000
507,137.944,15.803,0.604,0.604,0.000
508,255.263,15.803,0.604,0.604,0.000
509,143.301,16.339,0.604,0.604,0.000
510,169.729,16.875,1.721,0.637,61.845
511,217.946,18.128,6.273,3.087,170.968
512,152.408,16.875,0.604,0.604,0.000
513,248.299,16.875,0.604,0.604,0.000
514,197.943,17.410,0.604,0.604,0.000
515,256.996,18.828,3.396,1.829,97.523
516,6.696,17.946,0.604,0.604,0.000
517,118.123,17.946,0.604,0.604,0.000
518,200.175,18.214,2.064,1.062,174.690
519,252.789,20.191,4.981,1.541,74.508
520,71.517,18.482,0.604,0.604,0.000
521,100.980,18.482,0.604,0.604,0.000
522,102.587,18.482,0.604,0.604,0.000
