 ,XM,YM,Major,Minor,Angle
1,237.521,47.794,26.168,2.065,87.863
2,236.751,47.914,26.964,2.276,86.498
3,236.112,47.491,27.241,2.265,85.577
4,235.456,47.034,26.740,2.360,84.889
5,234.748,46.978,27.033,2.347,83.964
6,234.048,46.764,26.692,2.220,83.605
7,233.292,46.935,26.484,2.330,83.255
8,232.601,46.759,26.278,2.295,82.799
9,231.895,46.661,27.268,2.237,82.563
10,231.160,46.609,26.068,2.327,82.664
11,230.415,46.799,26.869,2.284,82.559
12,229.706,46.653,27.013,2.310,82.761
13,228.943,46.934,26.845,2.324,83.053
14,228.194,47.111,27.452,2.235,83.439
15,227.469,47.111,27.014,2.323,83.885
16,226.643,47.704,27.217,2.190,84.818
17,225.995,47.307,26.886,2.399,85.175
18,225.229,47.653,26.456,2.266,86.357
19,224.512,47.917,26.260,2.137,87.467
20,223.783,47.722,25.830,2.267,88.135
21,223.024,48.289,25.922,2.313,88.891
22,222.330,48.278,27.178,2.181,89.834
23,221.618,48.727,26.424,2.335,90.908
24,220.925,48.809,26.758,2.241,91.804
25,220.123,48.675,27.322,2.297,93.255
26,219.540,49.342,26.423,2.282,93.737
27,218.805,49.149,27.274,2.352,95.012
28,218.076,49.143,27.264,2.263,96.016
29,217.384,49.332,26.541,2.312,96.615
30,216.670,49.201,27.076,2.292,97.419
31,215.921,49.053,27.689,2.304,98.198
32,215.183,48.831,26.328,2.304,98.455
33,214.363,48.408,26.849,2.233,99.137
34,213.621,48.300,27.680,2.280,99.489
35,212.856,47.975,26.793,2.251,99.487
36,212.098,47.780,27.120,2.262,99.670
37,211.311,47.495,26.949,2.264,99.573
38,210.514,47.063,27.458,2.323,99.536
39,209.683,46.487,26.220,2.300,99.140
40,208.998,46.489,26.960,2.328,98.684
41,208.149,45.771,27.483,2.296,98.283
42,207.361,45.296,26.913,2.370,97.592
43,206.570,44.670,26.158,2.226,96.770
44,205.830,44.372,26.590,2.281,96.104
45,205.126,44.263,26.888,2.282,95.250
46,204.364,43.742,26.187,2.237,93.915
47,203.631,42.943,25.854,2.063,92.811
48,202.850,42.651,26.396,2.377,92.371
49,202.196,42.122,26.155,2.386,91.265
50,201.472,41.754,27.084,2.175,90.311
51,200.804,41.314,27.074,2.266,89.205
52,200.086,41.056,26.423,2.388,87.740
53,199.425,40.824,26.178,2.211,87.584
