 ,XM,YM,Major,Minor,Angle
1,275.800,38.139,30.366,2.756,83.307
2,274.615,38.664,31.252,2.724,83.066
3,273.477,38.926,31.043,2.825,82.596
4,272.209,39.618,29.936,2.685,83.139
5,271.096,39.517,29.710,2.816,83.297
6,269.972,39.511,29.856,2.790,83.427
7,268.851,39.757,30.219,2.757,83.564
8,267.694,40.124,29.347,2.739,83.819
9,266.545,40.791,29.300,2.706,84.563
10,265.488,40.942,29.583,2.717,84.702
11,264.411,41.100,29.746,2.715,84.933
12,263.362,41.208,29.318,2.742,85.508
13,262.328,41.444,29.633,2.700,86.183
14,261.315,41.862,29.463,2.679,86.882
15,260.248,42.263,29.469,2.691,87.310
16,259.270,42.493,29.858,2.753,87.937
17,258.342,42.542,29.826,2.658,88.604
18,257.382,43.001,29.350,2.751,89.360
19,256.428,43.387,29.643,2.687,89.737
20,255.527,43.211,30.199,2.311,90.498
21,254.706,43.455,29.649,2.798,91.029
22,253.744,43.459,29.650,2.699,91.516
23,252.998,43.977,29.512,2.551,91.764
24,252.074,43.771,29.572,2.632,92.346
25,251.346,44.080,29.583,2.569,92.673
26,250.465,43.720,29.547,2.548,92.690
27,249.739,44.044,29.847,2.546,93.356
28,248.958,44.081,29.313,2.555,93.469
29,248.187,43.917,29.258,2.573,93.515
30,247.479,44.144,30.035,2.543,93.842
31,246.780,44.078,28.957,2.536,93.691
32,245.967,43.583,29.744,2.568,93.884
33,245.322,43.764,29.887,2.518,93.899
34,244.562,43.604,29.080,2.626,93.522
35,243.839,43.458,29.443,2.631,93.667
36,243.151,43.310,29.519,2.599,93.410
37,242.364,43.108,29.209,2.502,93.092
38,241.651,43.264,29.359,2.726,93.032
39,240.895,42.880,29.848,2.473,92.643
40,240.109,42.726,29.204,2.690,92.598
41,239.382,42.604,29.433,2.632,92.261
42,238.598,42.508,29.388,2.636,91.756
43,237.838,42.231,29.481,2.652,91.733
44,237.078,42.132,28.774,2.654,91.188
45,236.361,42.038,29.499,2.614,90.914
46,235.550,41.563,29.772,2.553,90.621
47,234.843,41.406,29.465,2.741,90.041
48,234.082,41.517,29.977,2.328,89.584
49,233.319,41.118,29.227,2.700,89.282
50,232.624,40.846,29.952,2.611,88.717
51,231.828,40.896,29.629,2.479,88.271
52,231.080,40.739,29.130,2.634,88.046
53,230.338,40.663,29.091,2.688,87.295
54,229.593,40.593,29.857,2.411,87.284
55,228.814,40.519,29.867,2.692,86.562
56,228.112,40.380,29.632,2.528,86.593
57,227.275,40.812,29.518,2.624,86.371
58,226.636,40.431,29.519,2.649,86.036
59,225.878,40.399,29.309,2.556,85.871
60,225.059,40.802,29.355,2.602,85.813
61,224.398,40.308,29.438,2.520,85.730
62,223.511,41.119,29.578,2.594,85.683
63,222.880,40.608,29.590,2.606,85.856
64,222.093,40.929,28.831,2.484,86.079
65,221.310,41.195,30.000,2.655,86.183
66,220.600,41.202,29.593,2.519,86.610
67,219.852,41.196,29.221,2.563,87.095
68,219.140,41.413,28.801,2.740,87.328
69,218.383,41.822,29.860,2.447,87.717
70,217.662,41.708,29.176,2.630,88.301
71,216.876,42.176,30.078,2.478,88.650
72,216.179,42.107,29.190,2.704,89.413
73,215.481,42.180,29.479,2.553,89.804
74,214.770,42.259,30.209,2.359,90.405
75,214.031,42.593,29.271,2.696,90.836
76,213.349,42.853,29.866,2.581,91.444
77,212.591,42.636,29.257,2.510,92.059
78,211.900,42.660,29.878,2.483,92.506
79,211.172,42.787,29.262,2.660,93.234
80,210.481,42.899,29.246,2.586,93.590
81,209.767,42.753,28.847,2.483,93.916
82,208.994,42.576,29.511,2.600,94.116
83,208.353,42.836,29.429,2.496,94.472
84,207.608,42.669,30.168,2.580,95.112
85,206.851,42.254,29.201,2.565,94.624
86,206.184,42.567,29.206,2.477,94.812
87,205.453,42.123,30.558,2.571,95.188
88,204.690,41.766,28.933,2.526,94.587
89,204.036,42.071,29.658,2.476,94.579
90,203.241,41.376,29.879,2.654,94.537
91,202.543,41.215,30.103,2.561,94.107
92,201.849,40.860,29.725,2.495,93.608
93,201.082,40.698,29.683,2.560,93.053
94,200.402,40.576,29.000,2.646,92.841
95,199.668,40.063,29.984,2.425,92.162
96,198.972,39.932,29.378,2.687,91.577
97,198.280,39.664,29.840,2.449,90.837
98,197.621,39.421,29.871,2.361,90.215
99,196.871,39.129,29.602,2.753,89.729
100,196.210,38.685,29.379,2.599,88.934
101,195.446,38.939,29.458,2.456,88.344
102,194.804,38.771,29.854,2.436,87.624
103,194.157,38.429,29.683,2.413,87.009
104,193.444,38.407,29.969,2.634,86.209
105,192.814,37.958,29.880,2.470,85.751
106,192.073,38.222,30.054,2.565,85.019
107,191.404,38.192,29.382,2.525,84.882
108,190.692,38.235,28.604,2.504,84.971
109,189.947,38.556,29.692,2.523,84.217
110,189.329,38.244,29.483,2.466,84.133
111,188.612,38.461,29.795,2.612,83.761
112,187.821,38.984,29.462,2.468,84.058
113,187.216,38.604,29.866,2.484,84.128
114,186.549,38.543,29.022,2.581,84.221
115,185.711,39.372,29.867,2.496,84.460
116,185.053,39.349,30.380,2.550,84.673
117,184.326,39.749,29.407,2.522,85.527
118,183.690,39.504,29.912,2.480,85.916
119,182.943,40.209,29.525,2.351,86.677
120,182.253,40.220,29.255,2.635,86.911
121,181.523,40.659,29.451,2.494,87.955
122,180.906,40.971,29.845,2.424,88.407
123,180.208,40.741,29.458,2.704,89.330
124,179.491,41.200,29.881,2.336,90.134
125,178.890,41.404,30.066,2.297,90.647
126,178.192,41.520,28.826,2.510,91.688
127,177.555,41.839,29.693,2.523,92.447
128,176.888,42.012,29.422,2.620,93.375
129,176.242,42.170,30.117,2.499,93.971
130,175.619,42.538,29.330,2.504,94.462
131,174.897,42.129,30.135,2.546,95.304
132,174.289,42.578,29.311,2.568,95.556
133,173.446,41.578,29.702,2.485,95.880
134,172.816,41.790,29.291,2.470,96.000
135,172.144,41.720,29.592,2.482,96.446
136,171.466,41.627,30.080,2.600,96.751
137,170.782,41.557,29.807,2.501,96.667
138,170.064,41.249,29.036,2.466,96.384
139,169.340,40.994,30.253,2.609,96.615
140,168.546,40.326,29.520,2.488,95.944
141,167.946,40.622,29.647,2.514,95.774
142,167.192,40.074,28.596,2.504,94.920
143,166.515,40.051,29.473,2.492,94.842
144,165.743,39.129,29.709,2.497,94.411
145,165.053,39.041,29.830,2.597,93.788
146,164.352,38.836,29.836,2.486,92.904
147,163.684,38.374,30.114,2.463,92.203
148,163.008,38.310,29.663,2.611,91.234
149,162.330,37.767,29.802,2.330,90.224
150,161.654,37.786,29.496,2.490,89.248
151,161.003,37.107,29.307,2.519,88.494
152,160.324,37.033,29.722,2.582,87.809
153,159.663,36.811,29.528,2.648,86.764
154,159.019,36.484,29.909,2.443,86.097
155,158.316,36.628,30.335,2.493,85.026
156,157.710,36.212,29.814,2.512,84.543
157,156.991,36.416,30.278,2.631,83.826
158,156.309,36.343,29.596,2.494,83.581
159,155.622,36.572,28.578,2.429,83.430
160,154.888,36.871,29.207,2.527,82.865
161,154.288,36.527,29.253,2.573,82.734
162,153.609,36.597,30.233,2.502,82.446
163,152.832,37.192,30.176,2.494,82.461
