 ,XM,YM,Major,Minor,Angle
1,278.126,34.280,27.350,2.699,92.715
2,276.966,34.180,26.966,2.669,92.591
3,275.762,33.808,26.381,2.618,92.261
4,274.631,33.724,26.219,2.620,92.042
5,273.516,33.783,26.657,2.659,91.876
6,272.425,33.687,27.662,2.589,91.812
7,271.242,33.745,26.769,2.771,91.970
8,270.120,33.694,26.749,2.759,92.065
9,268.943,33.502,26.617,2.457,91.325
10,267.840,33.295,26.584,2.447,91.028
11,266.730,33.494,26.571,2.448,91.213
12,265.626,33.519,26.660,2.549,91.093
13,264.556,33.670,26.510,2.550,90.925
14,263.493,33.391,26.753,2.595,90.523
15,262.431,33.289,26.889,2.609,90.404
16,261.376,33.065,26.122,2.588,90.398
17,260.372,33.134,27.045,2.418,90.421
18,259.398,32.672,28.027,2.269,90.054
19,258.356,32.812,27.137,2.262,89.993
20,257.394,32.859,26.240,2.479,89.904
21,256.410,33.044,26.527,2.548,90.051
22,255.441,32.889,26.616,2.608,89.892
23,254.501,32.851,26.976,2.370,89.849
24,253.543,32.814,27.010,2.246,89.786
25,252.658,33.055,26.176,2.541,90.055
26,251.734,32.889,26.666,2.562,89.943
27,250.850,32.747,27.196,2.203,89.775
28,250.000,32.911,26.108,2.547,90.059
29,249.194,32.811,27.260,2.238,90.085
30,248.305,32.841,25.868,2.444,89.960
31,247.481,32.934,26.722,2.461,90.023
32,246.626,32.703,26.639,2.236,89.881
33,245.919,32.709,27.213,2.336,90.149
34,245.138,32.863,26.576,2.475,90.232
35,244.374,32.885,27.533,2.230,90.277
36,243.577,32.958,26.515,2.522,90.405
37,242.787,32.746,27.356,2.217,90.295
38,241.989,33.133,26.397,2.575,90.550
39,241.202,32.653,27.024,2.177,90.324
40,240.406,32.910,26.153,2.529,90.546
41,239.627,32.621,26.906,2.241,90.387
42,238.839,33.120,26.502,2.509,90.706
43,238.051,32.598,26.826,2.288,90.310
44,237.316,32.980,26.791,2.332,90.827
45,236.504,32.650,26.316,2.360,90.333
46,235.774,32.809,27.171,2.259,90.655
47,234.978,32.842,26.431,2.502,90.630
48,234.198,32.554,27.502,2.219,90.538
49,233.405,32.829,26.408,2.532,90.564
50,232.607,32.521,27.172,2.205,90.541
51,231.817,32.862,26.506,2.550,90.688
52,231.031,32.436,27.334,2.219,90.414
53,230.267,32.660,26.271,2.504,90.572
54,229.475,32.381,27.065,2.241,90.308
55,228.730,32.659,26.660,2.357,90.619
56,227.964,32.533,26.175,2.443,90.281
57,227.231,32.487,27.588,2.225,90.390
58,226.425,32.529,26.219,2.509,90.311
59,225.646,32.372,27.577,2.213,90.221
60,224.850,32.654,26.117,2.518,90.364
61,224.069,32.147,27.152,2.220,90.094
62,223.287,32.680,26.010,2.487,90.414
63,222.512,32.259,26.581,2.199,89.969
64,221.833,32.257,27.432,2.278,90.040
65,221.006,32.279,25.900,2.412,89.895
66,220.282,32.152,28.141,2.207,89.954
67,219.475,32.599,25.753,2.497,90.011
68,218.711,32.123,27.263,2.198,89.812
69,217.938,32.228,26.051,2.553,89.898
70,217.149,32.225,26.913,2.199,89.779
71,216.469,32.303,26.929,2.307,89.718
72,215.661,32.275,25.856,2.473,89.813
73,214.934,32.183,27.019,2.204,89.769
74,214.135,32.498,25.825,2.504,89.950
75,213.360,32.157,27.279,2.183,89.773
76,212.628,32.260,26.157,2.501,89.849
77,211.789,32.623,25.528,2.233,90.009
78,211.162,32.051,27.464,2.222,89.752
79,210.330,32.304,25.662,2.449,89.860
80,209.604,32.123,27.263,2.198,89.812
81,208.813,32.327,25.832,2.475,90.117
82,208.044,32.070,26.799,2.168,89.809
83,207.382,32.175,27.395,2.214,90.015
84,206.558,32.275,25.789,2.409,89.931
85,205.854,32.149,27.976,2.194,89.954
86,205.059,32.587,25.958,2.477,90.357
87,204.292,32.142,26.800,2.209,90.000
88,203.612,32.338,26.724,2.229,90.423
89,202.802,32.326,26.137,2.391,90.059
90,202.082,32.178,27.183,2.205,90.285
91,201.321,32.541,26.317,2.499,90.595
92,200.539,32.078,26.946,2.210,90.034
93,199.874,32.407,27.078,2.186,90.642
94,199.077,32.389,26.267,2.490,90.324
95,198.330,32.324,26.863,2.204,90.320
