 ,XM,YM,Major,Minor,Angle
145,163.672,46.220,27.549,2.520,90.175
146,162.993,46.363,27.642,2.578,90.204
147,162.301,46.109,27.724,2.280,90.095
148,161.622,46.062,27.794,2.366,90.008
149,160.910,46.179,27.858,2.636,89.944
150,160.201,45.994,27.845,2.349,89.882
151,159.568,46.146,27.431,2.264,89.739
152,158.848,46.134,27.749,2.489,89.599
153,158.141,45.885,27.759,2.475,89.569
154,157.476,45.907,27.632,2.301,89.675
155,156.780,46.389,27.116,2.426,89.213
156,156.046,45.986,27.603,2.475,89.210
157,155.377,45.861,27.580,2.318,89.456
158,154.691,46.365,27.895,2.358,89.200
159,153.989,46.219,27.153,2.476,89.046
160,153.304,45.749,27.253,2.413,89.174
161,152.597,46.256,28.013,2.296,89.250
162,151.923,46.368,27.105,2.427,88.869
163,151.203,46.015,27.396,2.454,89.003
164,150.530,46.092,27.852,2.309,89.415
165,149.847,46.412,27.932,2.394,89.130
166,149.151,46.451,27.169,2.555,89.056
167,148.472,46.056,27.694,2.428,89.309
168,147.794,46.357,28.049,2.293,89.375
169,147.094,46.702,27.502,2.485,89.240
170,146.378,46.159,28.078,2.486,89.328
171,145.712,46.284,27.907,2.304,89.643
172,145.038,46.768,27.549,2.348,89.501
173,144.319,46.504,28.065,2.617,89.672
174,143.604,46.484,27.378,2.362,89.821
175,142.966,46.605,27.435,2.277,89.887
176,142.272,46.874,27.851,2.493,89.876
177,141.587,46.699,27.408,2.613,90.002
178,140.895,46.729,27.886,2.319,90.062
179,140.238,46.720,27.835,2.323,90.154
180,139.526,46.675,27.314,2.622,90.372
181,138.818,47.013,27.806,2.392,90.441
182,138.179,46.664,27.541,2.295,90.358
183,137.484,46.631,27.713,2.439,90.424
184,136.807,46.795,27.445,2.609,90.666
185,136.109,47.191,28.033,2.359,90.467
186,135.454,46.611,28.490,2.219,90.653
187,134.759,46.900,27.037,2.487,90.553
188,134.071,46.762,27.121,2.519,90.733
189,133.383,46.921,27.629,2.288,90.416
190,132.769,46.483,28.214,2.215,90.592
191,132.021,46.717,27.174,2.609,90.619
192,131.315,46.957,27.919,2.382,90.415
193,130.681,46.723,27.900,2.279,90.291
194,130.030,46.408,27.675,2.324,90.271
195,129.317,46.610,27.914,2.631,90.322
196,128.616,46.587,27.831,2.350,90.109
197,127.992,46.414,27.651,2.246,90.027
198,127.303,46.512,27.406,2.427,89.901
199,126.609,46.552,28.175,2.607,89.943
200,125.921,46.463,27.650,2.326,89.819
201,125.276,46.537,27.782,2.275,89.715
202,124.591,46.800,27.475,2.487,89.483
203,123.892,46.336,27.802,2.445,89.222
204,123.223,46.354,27.548,2.295,89.611
205,122.561,46.704,27.955,2.340,89.286
206,121.896,46.677,27.185,2.446,89.159
207,121.202,46.186,27.581,2.424,89.084
208,120.538,46.348,27.586,2.291,89.339
209,119.837,46.805,28.221,2.395,88.947
210,119.194,46.703,27.384,2.469,88.938
211,118.518,46.318,27.556,2.427,88.942
212,117.818,46.514,27.964,2.274,89.309
213,117.150,46.920,27.996,2.415,88.917
214,116.480,46.815,27.082,2.429,88.762
215,115.816,46.523,27.718,2.452,89.162
216,115.150,46.687,27.885,2.293,89.393
217,114.472,47.180,28.129,2.390,89.042
218,113.789,47.099,27.427,2.505,89.119
219,113.109,46.617,27.542,2.401,89.427
220,112.463,46.909,28.017,2.217,89.664
221,111.780,47.257,27.629,2.407,89.347
222,111.115,47.152,27.663,2.576,89.755
223,110.421,47.015,27.773,2.408,89.823
224,109.798,47.092,27.828,2.258,89.952
225,109.133,47.254,27.930,2.342,89.988
226,108.440,47.361,27.837,2.599,90.156
227,107.738,47.236,27.929,2.381,90.203
228,107.108,47.410,27.691,2.256,90.227
229,106.468,47.252,27.983,2.298,90.371
230,105.757,47.266,27.040,2.608,90.624
231,105.094,47.442,27.451,2.409,90.569
232,104.444,47.401,27.682,2.297,90.551
233,103.821,47.245,28.053,2.240,90.624
234,103.090,47.304,27.210,2.578,90.819
235,102.453,47.599,27.352,2.498,90.738
236,101.767,47.458,28.394,2.303,90.753
237,101.153,47.274,28.641,2.220,90.757
238,100.453,47.267,27.093,2.482,90.862
239,99.785,47.485,27.009,2.516,90.845
240,99.104,47.323,27.580,2.292,90.600
241,98.479,47.039,28.089,2.237,90.607
242,97.801,47.212,27.054,2.485,90.499
243,97.130,47.318,27.517,2.563,90.485
244,96.436,47.207,27.389,2.321,90.167
245,95.817,47.175,27.627,2.235,90.227
246,95.152,47.143,27.277,2.451,90.083
247,94.472,47.253,27.412,2.599,90.111
248,93.780,47.078,27.988,2.337,89.936
249,93.169,47.019,27.866,2.229,89.879
250,92.522,47.322,27.083,2.375,89.689
251,91.834,47.287,27.486,2.552,89.522
252,91.175,46.822,27.364,2.457,89.406
253,90.528,46.896,27.826,2.285,89.606
254,89.857,47.210,27.771,2.395,89.176
255,89.233,47.235,27.281,2.424,88.901
256,88.576,47.090,27.094,2.441,88.833
257,87.989,46.968,27.466,2.435,88.938
258,87.432,47.009,27.357,2.391,88.957
259,86.828,46.944,28.034,2.307,89.179
260,86.260,46.937,28.390,2.291,88.970
261,85.633,47.278,27.906,2.344,88.866
262,85.031,47.314,27.902,2.410,88.691
263,84.432,47.340,27.454,2.436,88.504
264,83.804,47.304,26.929,2.402,88.587
265,83.167,47.218,27.002,2.422,88.690
266,82.538,47.368,27.997,2.323,88.996
267,81.881,47.560,28.257,2.315,88.968
268,81.262,47.598,27.847,2.388,88.763
269,80.629,47.695,27.073,2.456,88.743
270,79.964,47.457,27.062,2.457,88.862
271,79.323,47.468,27.587,2.318,89.278
272,78.667,47.615,27.816,2.299,89.263
273,78.051,48.037,27.512,2.417,89.096
274,77.387,47.907,27.351,2.578,89.257
275,76.712,47.606,27.543,2.468,89.386
276,76.076,47.819,27.908,2.278,89.781
277,75.448,48.146,27.517,2.271,89.885
278,74.789,47.977,27.462,2.462,90.045
279,74.124,48.024,27.544,2.613,90.203
280,73.441,48.170,27.275,2.371,90.194
281,72.817,48.268,27.848,2.244,90.458
282,72.181,48.163,27.585,2.318,90.467
283,71.480,48.138,26.970,2.601,90.681
284,70.832,48.531,27.282,2.464,90.935
285,70.177,48.454,28.599,2.300,90.895
286,69.565,48.159,28.364,2.203,90.952
287,68.870,48.317,26.834,2.492,91.045
288,68.220,48.425,26.775,2.579,91.163
289,67.537,48.347,27.687,2.309,91.093
290,66.911,48.244,28.598,2.223,91.095
291,66.250,48.215,27.249,2.373,90.985
292,65.572,48.195,26.709,2.558,91.138
293,64.915,48.281,27.058,2.417,91.033
294,64.246,48.157,28.279,2.261,90.926
295,63.630,48.177,27.447,2.250,90.782
296,62.917,48.079,26.927,2.605,90.812
297,62.262,48.137,27.464,2.461,90.742
298,61.603,48.051,27.530,2.283,90.365
299,60.966,47.915,27.871,2.281,90.313
300,60.295,47.960,27.392,2.495,90.221
301,59.604,47.926,27.257,2.547,90.040
302,58.938,47.835,27.589,2.318,89.892
303,58.299,47.842,27.201,2.297,89.723
304,57.640,48.140,27.336,2.473,89.380
305,56.941,47.669,27.816,2.470,89.237
306,56.309,47.687,27.677,2.376,89.320
307,55.628,47.892,28.159,2.323,89.141
308,54.993,47.889,27.718,2.386,88.834
309,54.304,47.746,27.026,2.393,88.575
310,53.671,47.735,27.518,2.430,88.857
311,52.947,48.006,27.702,2.348,88.837
312,52.301,48.186,27.056,2.471,88.417
313,51.632,47.976,26.873,2.407,88.500
314,50.986,48.075,27.575,2.412,88.479
315,50.283,48.182,27.409,2.386,88.624
316,49.633,48.236,27.038,2.446,88.365
317,48.973,48.288,26.512,2.371,88.415
318,48.312,48.085,27.343,2.459,88.827
319,47.598,48.315,28.088,2.303,88.917
320,46.962,48.490,27.483,2.433,88.788
321,46.258,48.368,27.377,2.402,88.766
322,45.623,48.177,27.638,2.446,89.279
323,44.933,48.552,27.976,2.286,89.421
324,44.285,48.930,27.497,2.379,89.382
325,43.575,48.718,28.035,2.541,89.720
326,42.895,48.675,27.882,2.359,89.921
327,42.260,48.867,27.425,2.238,90.075
328,41.580,48.853,27.488,2.472,90.134
329,40.898,49.041,27.616,2.620,90.494
330,40.216,49.202,27.628,2.341,90.552
331,39.571,48.805,28.567,2.226,90.743
332,38.841,48.825,27.339,2.606,91.047
333,38.209,49.164,27.128,2.600,91.004
334,37.521,49.029,28.583,2.365,91.205
335,36.910,49.097,28.771,2.223,91.139
336,36.163,49.135,27.323,2.554,91.400
337,35.522,49.172,27.335,2.593,91.548
338,34.839,48.894,28.136,2.312,91.479
339,34.198,49.351,28.010,2.283,91.493
340,33.453,48.900,26.758,2.567,91.568
341,32.788,48.868,27.579,2.478,91.613
342,32.129,49.017,28.496,2.270,91.315
343,31.440,48.806,27.563,2.386,91.224
344,30.745,48.931,27.397,2.574,91.230
345,30.048,48.713,27.507,2.364,91.073
346,29.397,48.472,28.246,2.238,90.824
347,28.677,48.401,27.093,2.535,90.778
348,28.002,48.596,27.571,2.545,90.629
349,27.318,48.488,27.498,2.286,90.271
350,26.665,48.398,27.602,2.303,90.218
351,25.941,48.311,27.540,2.627,89.997
352,25.248,48.120,26.906,2.458,89.724
353,24.586,48.340,27.506,2.325,89.533
354,23.879,48.632,27.429,2.518,89.184
355,23.182,48.021,27.252,2.480,88.994
356,22.486,48.158,27.861,2.348,88.996
357,21.784,48.504,27.909,2.474,88.588
358,21.101,48.028,27.127,2.438,88.368
359,20.447,48.336,27.274,2.465,88.430
360,19.683,48.216,27.902,2.436,88.302
361,19.026,48.155,27.131,2.411,88.103
362,18.337,48.336,27.667,2.443,88.142
363,17.578,48.313,27.437,2.464,88.310
364,16.925,48.411,27.099,2.454,88.114
365,16.212,48.431,27.190,2.432,88.152
366,15.468,48.452,27.764,2.422,88.476
367,14.794,48.664,27.223,2.443,88.221
368,14.088,48.580,26.978,2.424,88.420
369,13.357,48.743,28.111,2.366,88.857
370,12.655,48.977,27.295,2.490,88.525
