 ,XM,YM,Major,Minor,Angle
1,274.975,23.985,25.662,2.649,82.893
2,273.756,24.203,26.598,2.661,82.358
3,272.617,24.109,26.444,2.702,82.025
4,271.371,24.403,27.004,2.737,81.807
5,270.214,24.499,27.320,2.705,81.528
6,269.098,24.417,27.276,2.646,81.742
7,267.906,24.634,27.434,2.770,81.750
8,266.664,25.215,27.278,2.620,82.186
9,265.502,25.353,27.966,2.618,82.056
10,264.400,25.458,28.286,2.588,82.258
11,263.172,26.325,27.462,2.526,83.175
12,262.024,26.902,27.200,2.474,83.554
13,260.855,27.503,26.853,2.532,84.080
14,259.771,27.609,27.683,2.481,84.658
15,258.715,27.733,26.046,2.490,85.530
16,257.637,28.113,26.294,2.466,86.530
17,256.603,28.608,26.862,2.557,87.137
18,255.582,28.917,27.759,2.600,87.793
19,254.576,29.220,26.963,2.573,88.314
20,253.580,29.370,27.125,2.532,88.976
21,252.546,29.831,26.532,2.523,90.028
22,251.577,30.427,26.915,2.474,90.832
23,250.611,30.455,26.666,2.366,91.322
24,249.720,30.644,27.205,2.422,91.817
25,248.799,30.887,27.298,2.465,92.589
26,247.819,30.817,26.795,2.446,92.779
27,247.033,31.589,26.507,2.525,93.586
28,246.164,31.356,26.686,2.338,93.439
29,245.280,31.376,27.179,2.463,94.281
30,244.390,31.248,26.762,2.514,94.385
31,243.646,31.680,26.935,2.369,94.337
32,242.755,31.171,27.166,2.515,94.502
33,242.001,31.642,26.450,2.241,94.122
34,241.175,31.126,27.634,2.498,94.458
35,240.413,31.391,26.825,2.248,93.899
36,239.619,31.307,27.155,2.529,94.222
37,238.827,31.169,27.158,2.298,93.470
38,238.110,31.426,26.667,2.366,93.294
39,237.289,30.813,27.057,2.396,92.946
40,236.476,30.681,26.629,2.226,92.088
41,235.739,30.776,27.409,2.493,92.206
42,234.913,30.469,26.769,2.266,91.489
43,234.207,30.529,26.735,2.504,90.996
44,233.366,30.262,26.903,2.371,90.440
45,232.612,30.111,26.255,2.390,89.898
46,231.804,30.016,26.929,2.382,89.243
47,231.096,29.959,26.290,2.440,88.785
48,230.240,29.917,26.671,2.248,88.229
49,229.526,29.863,26.803,2.393,87.462
50,228.781,29.545,27.124,2.455,86.901
51,227.946,29.986,26.697,2.363,86.927
52,227.260,29.468,26.753,2.280,86.145
53,226.426,29.834,27.376,2.343,85.846
54,225.674,29.827,25.957,2.323,85.885
55,224.938,29.636,27.308,2.426,85.177
56,224.061,30.349,26.014,2.305,85.484
57,223.367,29.910,27.296,2.376,85.023
58,222.508,30.370,25.889,2.343,85.413
59,221.791,30.296,27.055,2.397,85.059
60,220.964,30.639,25.741,2.262,85.727
61,220.216,30.638,27.446,2.401,85.218
62,219.409,30.952,26.083,2.272,86.019
63,218.640,31.172,27.397,2.443,85.714
64,217.875,31.131,27.216,2.254,86.379
65,217.052,31.691,25.705,2.292,87.045
66,216.356,31.611,27.333,2.296,87.001
67,215.502,32.193,26.207,2.301,87.919
68,214.823,31.967,26.809,2.393,87.999
69,214.013,32.522,26.652,2.302,88.840
