 ,XM,YM,Major,Minor,Angle
1,271.308,41.156,28.169,2.594,83.669
2,270.293,41.657,27.944,2.602,83.870
3,269.348,42.373,28.326,2.696,84.139
4,268.380,42.418,27.498,2.631,84.769
5,267.315,42.892,28.039,2.619,85.458
6,266.260,43.321,28.747,2.695,86.022
7,265.186,43.568,27.344,2.739,86.418
8,264.076,43.832,27.333,2.754,87.217
9,262.997,44.312,27.474,2.806,87.837
10,261.931,44.618,27.778,2.683,88.771
11,260.862,44.852,27.091,2.630,89.603
12,259.854,45.182,27.695,2.480,90.270
13,258.819,45.223,28.517,2.511,90.745
14,257.878,45.596,27.643,2.670,91.467
15,256.876,45.826,28.510,2.653,92.058
16,255.904,45.803,27.886,2.529,92.324
17,255.057,46.177,27.835,2.665,92.956
18,254.141,46.336,28.007,2.596,93.078
19,253.191,46.042,27.443,2.530,93.351
20,252.280,46.533,28.795,2.652,94.110
21,251.307,46.068,28.382,2.601,94.348
22,250.482,46.397,27.643,2.657,94.378
23,249.593,46.291,28.332,2.605,94.335
24,248.673,45.970,27.727,2.570,94.238
25,247.939,46.052,28.484,2.540,94.111
26,247.069,45.969,27.620,2.593,93.964
27,246.262,45.517,27.864,2.531,93.511
28,245.460,45.705,28.268,2.624,93.402
29,244.629,45.216,27.753,2.475,92.722
30,243.973,45.208,28.142,2.597,92.325
31,243.224,44.967,28.057,2.253,91.611
32,242.483,44.983,28.171,2.542,91.492
33,241.803,44.915,27.445,2.636,90.737
34,241.050,44.508,28.228,2.265,90.196
35,240.285,44.563,27.962,2.627,89.597
36,239.578,44.135,27.621,2.461,89.073
37,238.783,44.342,27.898,2.541,88.490
38,238.058,44.047,27.865,2.465,87.994
39,237.336,44.079,27.280,2.532,87.126
40,236.540,44.207,28.383,2.395,86.978
41,235.844,43.788,27.889,2.516,86.397
42,235.094,44.077,27.654,2.563,86.003
43,234.368,43.782,27.749,2.252,86.199
44,233.602,43.949,28.501,2.474,85.369
45,232.946,43.472,27.667,2.443,85.241
46,232.026,44.452,28.080,2.446,85.201
47,231.400,43.943,27.699,2.493,85.116
48,230.721,43.725,26.837,2.342,85.392
49,229.868,44.503,28.189,2.463,85.275
50,229.236,44.031,27.975,2.547,85.351
51,228.469,44.243,27.331,2.259,86.133
52,227.681,44.674,28.709,2.507,85.695
53,226.880,45.047,28.293,2.299,86.491
54,226.269,44.430,27.851,2.427,86.846
55,225.384,45.337,27.738,2.411,87.451
56,224.706,45.221,28.435,2.544,87.692
57,223.978,45.576,28.526,2.331,88.473
58,223.229,45.740,28.112,2.457,88.912
59,222.515,45.741,28.125,2.585,89.629
60,221.780,45.881,28.485,2.271,90.121
61,221.041,45.923,28.132,2.546,90.979
62,220.361,46.260,27.526,2.535,91.347
63,219.612,46.320,28.516,2.255,91.892
64,218.892,46.220,28.093,2.471,92.590
65,218.237,46.871,28.319,2.413,92.996
66,217.450,46.255,28.263,2.495,93.775
67,216.723,46.248,27.838,2.336,93.573
68,215.998,46.333,28.086,2.459,94.379
69,215.325,46.375,28.433,2.467,94.563
70,214.531,46.087,26.922,2.375,94.373
71,213.782,45.747,28.363,2.474,94.791
72,213.150,46.209,27.915,2.500,94.790
73,212.276,45.303,28.348,2.475,94.985
74,211.617,45.348,28.644,2.449,94.690
75,210.985,45.786,28.461,2.491,94.579
76,210.156,45.130,27.695,2.428,94.202
77,209.434,44.920,28.613,2.465,94.252
78,208.680,44.527,28.732,2.404,93.208
79,208.044,44.817,28.380,2.420,92.979
80,207.237,44.076,27.937,2.394,92.500
81,206.570,44.176,28.082,2.511,92.055
82,205.832,43.812,27.994,2.389,91.311
83,205.144,43.617,28.480,2.258,90.485
84,204.415,43.323,27.916,2.579,90.010
85,203.716,43.030,27.715,2.479,89.358
86,203.020,43.028,28.890,2.251,88.890
87,202.318,42.918,28.236,2.485,87.976
88,201.646,42.608,28.649,2.462,87.396
89,200.956,42.554,27.437,2.450,86.939
90,200.194,42.942,27.833,2.468,86.529
91,199.541,42.367,27.977,2.246,86.235
92,198.796,42.671,28.466,2.490,85.428
93,198.180,42.163,27.948,2.484,85.149
94,197.465,42.175,28.419,2.250,85.120
95,196.668,42.830,27.771,2.421,85.002
96,196.033,42.349,27.742,2.450,84.903
97,195.306,42.676,29.262,2.435,84.283
98,194.518,43.268,28.097,2.380,85.010
99,193.881,42.723,28.124,2.430,85.003
100,193.125,43.164,26.899,2.214,85.845
101,192.374,43.685,28.462,2.465,85.401
102,191.729,43.397,28.502,2.564,85.719
103,190.973,43.844,28.373,2.292,86.530
104,190.342,43.589,28.001,2.349,86.998
105,189.526,44.273,28.068,2.343,87.657
106,188.882,44.372,28.119,2.443,87.940
107,188.174,44.559,27.753,2.409,88.751
108,187.491,44.713,28.514,2.255,89.640
109,186.876,45.013,28.206,2.319,89.948
110,186.127,44.800,27.445,2.583,90.747
111,185.435,45.195,28.351,2.294,91.090
112,184.806,45.351,28.648,2.194,91.529
113,184.115,45.224,27.979,2.442,92.295
114,183.482,45.444,28.595,2.441,92.870
115,182.851,45.791,28.316,2.336,93.164
116,182.147,45.622,28.687,2.458,93.862
117,181.378,44.977,27.956,2.340,93.535
118,180.794,45.450,27.809,2.273,93.789
119,180.067,44.960,28.577,2.455,94.585
120,179.454,45.191,28.841,2.395,94.653
121,178.780,45.213,27.739,2.371,94.383
122,178.096,45.029,27.228,2.268,94.075
123,177.348,44.575,28.855,2.393,94.642
124,176.758,44.839,29.027,2.379,94.584
125,176.016,44.368,27.532,2.309,93.784
126,175.422,44.613,28.138,2.298,93.624
127,174.793,44.689,27.945,2.314,93.478
128,174.047,44.087,27.623,2.355,92.963
129,173.398,43.940,27.884,2.385,92.848
130,172.790,43.933,28.240,2.484,92.529
131,172.109,43.872,28.260,2.418,91.903
132,171.436,43.734,28.802,2.195,91.276
133,170.836,43.684,28.720,2.226,91.007
134,170.173,43.447,27.772,2.447,90.736
135,169.508,43.510,28.151,2.596,90.155
136,168.817,43.069,28.318,2.271,89.641
137,168.217,43.248,28.770,2.261,89.451
138,167.617,43.273,28.899,2.238,89.002
139,166.944,43.187,27.873,2.451,88.430
140,166.293,43.107,27.793,2.445,87.968
141,165.691,43.248,28.367,2.447,87.838
142,165.032,43.068,28.424,2.185,87.904
143,164.350,43.190,28.109,2.314,87.370
144,163.711,43.420,28.755,2.440,87.023
145,163.113,43.224,28.452,2.286,86.679
146,162.528,42.700,28.354,2.358,86.708
147,161.859,43.018,27.524,2.416,86.553
148,161.119,43.910,28.266,2.379,86.645
149,160.493,43.805,28.661,2.359,86.664
150,159.905,43.413,28.485,2.283,86.529
151,159.321,43.181,27.980,2.338,86.567
152,158.692,43.313,28.217,2.357,86.603
153,157.953,43.909,27.674,2.297,87.105
154,157.292,44.241,28.606,2.401,86.907
155,156.699,44.184,29.192,2.316,86.949
156,156.089,44.167,28.160,2.413,87.252
157,155.462,44.084,28.009,2.309,87.512
158,154.814,44.160,28.604,2.133,88.060
159,154.209,44.226,28.424,2.275,88.185
160,153.549,44.466,27.786,2.446,88.243
161,152.912,44.543,27.714,2.479,88.449
162,152.288,44.459,27.722,2.412,88.758
163,151.666,44.615,28.366,2.306,89.031
164,151.067,44.656,28.735,2.251,89.405
165,150.488,44.747,28.369,2.228,89.479
166,149.905,44.858,28.577,2.263,89.516
167,149.222,45.100,27.861,2.518,89.707
168,148.631,45.002,28.091,2.549,89.921
169,147.995,44.847,28.503,2.436,90.023
170,147.353,44.919,28.558,2.226,90.228
171,146.789,44.870,28.653,2.219,90.251
172,146.230,44.930,28.480,2.220,90.329
173,145.656,45.141,28.581,2.224,90.502
174,145.030,44.868,28.025,2.399,90.668
175,144.367,44.731,27.412,2.546,90.641
176,143.779,44.968,27.761,2.567,90.738
177,143.128,45.008,28.636,2.297,90.717
178,142.532,45.107,28.906,2.237,90.512
179,141.959,44.990,28.197,2.229,90.533
180,141.394,45.022,28.534,2.215,90.587
181,140.770,44.776,28.310,2.336,90.930
182,140.151,44.964,27.956,2.496,90.885
183,139.543,44.871,28.166,2.582,90.668
184,138.963,44.974,27.846,2.546,90.546
185,138.329,45.174,28.558,2.367,90.576
186,137.712,45.017,29.199,2.253,90.394
187,137.151,44.820,28.702,2.228,90.206
188,136.591,44.940,28.536,2.241,90.190
189,136.029,45.070,28.152,2.258,90.120
190,135.448,45.081,28.152,2.284,90.193
191,134.772,45.002,27.705,2.506,89.865
192,134.180,45.006,27.922,2.552,89.883
193,133.578,44.877,27.483,2.486,89.755
194,132.935,44.834,28.249,2.289,89.637
195,132.356,44.868,28.664,2.244,89.542
196,131.799,44.954,28.576,2.250,89.549
197,131.234,45.068,28.688,2.229,89.532
198,130.663,44.938,29.088,2.211,89.315
199,130.093,45.052,28.947,2.234,89.169
200,129.478,45.069,28.109,2.392,88.979
201,128.876,44.968,27.616,2.514,88.997
202,128.267,45.076,27.706,2.479,88.947
203,127.668,44.971,27.621,2.394,88.905
204,127.046,45.014,28.114,2.313,89.020
205,126.458,45.037,28.868,2.240,89.110
206,125.904,45.181,28.405,2.251,89.160
207,125.328,45.081,29.102,2.210,88.980
208,124.761,45.381,28.738,2.212,89.036
209,124.192,45.052,28.700,2.317,88.814
210,123.586,45.424,28.058,2.357,88.792
211,122.981,45.167,27.634,2.486,88.636
212,122.394,45.191,27.665,2.509,88.624
213,121.793,45.214,27.653,2.405,88.644
214,121.239,45.380,27.971,2.417,88.469
215,120.652,45.375,28.031,2.333,88.532
216,120.075,45.639,28.713,2.291,88.446
217,119.501,45.625,29.038,2.240,88.323
218,118.947,45.484,28.837,2.192,88.290
219,118.400,45.460,28.930,2.172,88.175
220,117.855,45.415,28.927,2.147,88.159
221,117.303,45.486,28.378,2.137,88.043
222,116.747,45.362,28.323,2.180,87.988
223,116.168,45.561,28.546,2.266,87.714
224,115.611,45.484,28.326,2.322,87.656
225,115.045,45.664,28.073,2.356,87.497
226,114.468,45.947,28.088,2.420,87.413
227,113.926,45.851,28.228,2.421,87.248
228,113.358,46.123,28.871,2.392,86.946
229,112.804,46.157,28.590,2.339,86.792
230,112.254,46.168,28.860,2.304,86.693
231,111.718,46.105,28.518,2.293,86.585
232,111.174,46.154,28.697,2.254,86.465
233,110.638,46.271,28.491,2.244,86.395
234,110.325,45.731,28.279,2.300,84.905
235,109.935,45.803,28.153,2.284,83.659
236,109.413,46.274,28.004,2.270,82.814
237,108.945,46.321,28.665,2.320,82.160
238,108.405,46.437,28.359,2.371,81.941
239,107.813,46.731,28.522,2.344,81.878
240,107.243,46.815,28.388,2.330,81.975
241,106.619,47.156,27.651,2.313,82.214
242,106.043,47.270,28.578,2.301,82.530
243,105.448,47.536,28.923,2.299,82.858
244,104.857,47.742,28.530,2.331,83.089
245,104.257,48.268,27.941,2.367,83.478
246,103.711,48.225,28.753,2.364,83.824
247,103.178,48.304,28.870,2.367,83.980
248,102.628,48.347,29.207,2.339,84.156
249,102.139,48.215,28.790,2.272,84.788
250,101.556,48.458,27.244,2.173,85.526
251,100.984,48.832,27.005,2.192,85.914
252,100.441,48.921,27.654,2.207,86.063
253,99.906,48.979,27.754,2.212,86.107
254,99.367,48.939,28.161,2.219,86.218
255,98.828,48.971,28.287,2.261,86.352
256,98.284,49.097,28.532,2.305,86.526
257,97.721,49.020,28.517,2.409,86.732
258,97.166,49.220,28.355,2.448,87.106
259,96.566,49.597,28.005,2.388,87.556
260,95.951,49.752,28.479,2.245,88.026
261,95.372,49.831,28.935,2.185,88.361
262,94.827,49.923,28.827,2.218,88.729
263,94.280,49.927,28.839,2.268,89.070
264,93.729,50.146,28.694,2.254,89.496
265,93.193,50.024,28.447,2.248,89.687
266,92.644,50.129,28.309,2.233,89.826
267,92.078,50.203,27.848,2.270,90.049
268,91.465,50.165,27.762,2.382,90.327
269,90.885,50.031,27.525,2.496,90.600
270,90.336,50.125,27.737,2.529,90.653
271,89.742,50.094,27.503,2.524,90.738
272,89.198,50.022,27.977,2.521,90.686
273,88.640,50.077,27.697,2.533,90.755
274,88.118,50.029,27.420,2.519,90.635
275,87.640,50.365,27.686,2.428,90.156
276,87.227,50.367,28.278,2.261,89.331
277,86.740,50.290,28.994,2.205,88.869
278,86.226,50.125,29.091,2.198,88.493
279,85.697,50.176,28.787,2.183,88.318
280,85.145,50.503,28.511,2.217,88.015
281,84.632,50.280,28.423,2.160,88.053
282,84.101,50.319,28.455,2.144,88.008
283,83.553,50.437,28.616,2.158,87.944
284,83.006,50.531,28.431,2.211,87.911
285,82.456,50.540,28.221,2.214,87.945
286,81.894,50.710,28.312,2.259,87.826
287,81.336,50.723,28.308,2.311,87.782
288,80.772,50.911,27.946,2.367,87.720
289,80.209,50.918,27.946,2.432,87.685
290,79.643,50.984,28.204,2.449,87.728
291,79.057,50.870,27.614,2.594,87.889
292,78.455,51.247,27.439,2.530,88.190
293,77.863,51.177,27.833,2.494,88.225
294,77.270,51.469,27.681,2.336,88.527
295,76.697,51.378,28.269,2.314,88.691
296,76.115,51.547,28.465,2.221,88.905
297,75.570,51.591,28.615,2.235,89.067
298,75.020,51.683,28.572,2.251,89.113
299,74.485,51.692,28.307,2.246,89.205
300,73.946,51.548,28.290,2.247,89.206
301,73.381,51.533,28.557,2.239,89.151
302,72.836,51.442,28.324,2.232,89.251
303,72.282,51.708,28.646,2.232,89.159
304,71.741,51.766,28.548,2.227,89.204
305,71.191,51.860,28.631,2.208,89.164
306,70.655,51.945,28.881,2.201,89.165
307,70.113,51.942,29.253,2.198,89.154
308,69.559,51.985,28.641,2.245,89.091
309,69.007,51.981,28.616,2.273,89.088
310,68.466,52.109,28.626,2.298,88.938
311,67.896,52.060,28.221,2.356,88.805
312,67.351,52.063,27.552,2.361,88.793
313,66.785,52.086,27.901,2.423,88.802
314,66.244,52.240,27.807,2.431,88.850
315,65.660,52.316,27.919,2.487,88.889
316,65.077,52.338,27.428,2.478,88.867
317,64.509,52.228,27.258,2.480,88.996
318,63.955,52.231,27.356,2.431,88.994
319,63.396,52.208,27.506,2.418,88.933
320,62.854,52.234,27.657,2.405,88.868
321,62.276,52.359,27.555,2.334,88.923
322,61.683,52.407,27.964,2.274,89.117
323,61.118,52.281,28.336,2.231,89.251
324,60.564,52.308,28.375,2.254,89.376
325,60.010,52.295,28.669,2.256,89.498
326,59.449,52.565,28.281,2.261,89.656
327,58.908,52.540,28.420,2.250,89.731
328,58.366,52.577,28.628,2.234,89.670
329,57.793,52.597,28.322,2.232,89.614
330,57.240,52.591,28.231,2.252,89.704
331,56.680,52.508,28.250,2.251,89.652
332,56.105,52.730,27.716,2.281,89.767
333,55.479,52.829,27.584,2.530,89.838
334,54.910,52.733,27.524,2.549,89.956
335,54.366,52.830,27.690,2.560,89.878
336,53.779,52.736,27.855,2.505,89.919
337,53.195,52.804,27.954,2.470,89.979
338,52.603,52.746,28.380,2.317,89.938
339,52.036,52.686,28.797,2.259,89.926
340,51.466,52.703,28.619,2.234,89.946
341,50.915,52.578,28.247,2.238,89.974
342,50.373,52.709,28.527,2.242,89.904
343,49.824,52.764,28.455,2.234,89.858
344,49.271,52.822,28.510,2.243,89.952
345,48.719,52.779,28.638,2.246,89.859
346,48.163,52.871,28.428,2.249,89.995
347,47.573,52.732,28.063,2.226,89.957
348,46.984,52.892,27.532,2.323,89.912
349,46.355,52.764,27.551,2.507,89.917
350,45.789,52.913,27.936,2.498,89.961
351,45.200,52.722,28.028,2.503,90.030
352,44.621,52.733,28.138,2.467,90.013
353,43.987,52.643,28.622,2.260,89.968
354,43.421,52.718,28.564,2.239,90.045
355,42.875,52.798,28.636,2.220,90.019
356,42.325,52.715,28.499,2.244,90.047
357,41.780,52.819,28.499,2.244,90.047
358,41.219,53.035,28.621,2.247,90.000
359,40.637,52.915,28.000,2.271,90.105
360,39.968,52.839,27.418,2.479,90.260
361,39.377,52.706,27.403,2.560,90.284
362,38.794,52.703,27.680,2.561,90.440
363,38.193,52.866,27.869,2.491,90.314
364,37.569,52.838,28.882,2.290,90.388
365,37.006,52.910,28.753,2.237,90.283
366,36.449,52.776,28.481,2.232,90.142
367,35.892,52.767,28.560,2.252,90.000
368,35.347,52.767,28.438,2.236,90.000
369,34.796,52.850,28.322,2.245,89.920
370,34.230,52.850,28.098,2.263,89.800
371,33.596,52.841,27.984,2.376,89.661
372,32.979,53.024,27.807,2.523,89.848
373,32.388,52.980,28.111,2.548,89.774
374,31.801,52.829,27.798,2.497,89.634
375,31.210,52.873,28.367,2.409,89.635
376,30.592,52.791,28.582,2.276,89.712
377,30.025,52.691,28.731,2.251,89.716
378,29.459,52.823,28.072,2.252,89.803
